id,list_name,party,session,date,value,category,description,claim_number
3969,"Hinds, Damian",Conservative,12_13,2012-11-21,47.80,travel,Public Tr RAIL Other,0000231354
3969,"Hinds, Damian",Conservative,12_13,2013-01-08,16.35,travel,Public Tr RAIL - SGL,0000290116
3969,"Hinds, Damian",Conservative,12_13,2012-06-11,380,accommodation,Interim Hotel London Area,0000188835
3969,"Hinds, Damian",Conservative,12_13,2012-10-29,119,accommodation,Hotel London Area,0000227359
3969,"Hinds, Damian",Conservative,12_13,2012-10-23,85.75,office costs,Stationery Purchase,Payment to Supplier
3969,"Hinds, Damian",Conservative,10_11,2010-07-26,15.5,travel,Public Tr RAIL - SGL,27248
3969,"Hinds, Damian",Conservative,10_11,2011-03-07,16.3,travel,Public Tr RAIL - SGL,82037
3969,"Hinds, Damian",Conservative,10_11,2010-11-04,15.5,travel,Public Tr RAIL - SGL,54621
3969,"Hinds, Damian",Conservative,10_11,2011-01-17,30,constituency rental,Const Office Hire of Premises,71268
3969,"Hinds, Damian",Conservative,10_11,2010-10-30,9,constituency rental,Const Office Hire of Premises,50041
3969,"Hinds, Damian",Conservative,10_11,2010-10-28,15.5,travel,Public Tr RAIL - SGL,54621
3969,"Hinds, Damian",Conservative,10_11,2011-02-10,18,constituency rental,Const Office Hire of Premises,71268
3969,"Hinds, Damian",Conservative,10_11,2011-03-18,16.3,travel,Public Tr RAIL - SGL,82037
3969,"Hinds, Damian",Conservative,10_11,2010-07-15,15.5,travel,Public Tr RAIL - SGL,19425
3969,"Hinds, Damian",Conservative,10_11,2010-09-02,15.5,travel,Public Tr RAIL - SGL,37672
3969,"Hinds, Damian",Conservative,10_11,2010-11-25,15.5,travel,Public Tr RAIL - SGL,62081
3969,"Hinds, Damian",Conservative,10_11,2011-01-17,39.49,general admin,Stationery Purchase,71272
3969,"Hinds, Damian",Conservative,10_11,2010-09-06,15.5,travel,Public Tr RAIL - SGL,37672
3969,"Hinds, Damian",Conservative,10_11,2010-09-13,15.5,travel,Public Tr RAIL - SGL,37672
3969,"Hinds, Damian",Conservative,10_11,2010-10-01,969.37,staffing,Pooled Staffing Services,50008
3969,"Hinds, Damian",Conservative,10_11,2011-02-17,1440,accommodation,Accommodation Rent,70927
3969,"Hinds, Damian",Conservative,10_11,2010-07-19,15.5,travel,Public Tr RAIL - SGL,19425
3969,"Hinds, Damian",Conservative,10_11,2011-03-11,3.2,travel,Own Car MP,86584
3969,"Hinds, Damian",Conservative,10_11,2010-06-24,47.23,general admin,Stationery Purchase,20511
3969,"Hinds, Damian",Conservative,10_11,2010-05-25,15.5,travel,Public Tr RAIL - SGL,11225
3969,"Hinds, Damian",Conservative,10_11,2010-09-16,309,accommodation,Interim Hotel London Area,41810
3969,"Hinds, Damian",Conservative,10_11,2011-03-05,10.4,travel,Own Car MP,86584
3969,"Hinds, Damian",Conservative,10_11,2010-09-22,29.6,travel,Own Car MP,41831
3969,"Hinds, Damian",Conservative,10_11,2010-11-12,18,travel,Own Car MP,41831
3969,"Hinds, Damian",Conservative,10_11,2011-01-17,20,constituency rental,Const Office Hire of Premises,71268
3969,"Hinds, Damian",Conservative,10_11,2010-10-22,68.09,constituency rental,Const Office Hire of Premises,50041
3969,"Hinds, Damian",Conservative,10_11,2010-09-24,49.6,travel,Own Car MP,41831
3969,"Hinds, Damian",Conservative,10_11,2011-03-14,84.66,general admin,Stationery Purchase,79515
3969,"Hinds, Damian",Conservative,10_11,2010-10-11,15.5,travel,Public Tr RAIL - SGL,44410
3969,"Hinds, Damian",Conservative,10_11,2010-12-06,15.5,travel,Public Tr RAIL - SGL,62081
3969,"Hinds, Damian",Conservative,10_11,2010-10-08,10.4,travel,Own Car MP,41831
3969,"Hinds, Damian",Conservative,10_11,2010-06-08,13.35,general admin,Stationery Purchase,20511
3969,"Hinds, Damian",Conservative,10_11,2010-09-02,15.5,travel,Public Tr RAIL - SGL,37672
3969,"Hinds, Damian",Conservative,10_11,2010-06-21,260,accommodation,Interim Hotel London Area,20463
3969,"Hinds, Damian",Conservative,10_11,2010-05-27,15.5,travel,Public Tr RAIL - SGL,11225
3969,"Hinds, Damian",Conservative,10_11,2010-08-31,17.9,travel,Public Tr RAIL - RTN,37672
3969,"Hinds, Damian",Conservative,10_11,2010-10-22,9,constituency rental,Const Office Hire of Premises,50041
3969,"Hinds, Damian",Conservative,10_11,2011-02-20,1440,accommodation,Accommodation Rent,70293
3969,"Hinds, Damian",Conservative,10_11,2010-09-20,29,travel,Public Tr RAIL - RTN,37672
3969,"Hinds, Damian",Conservative,10_11,2010-06-21,15.5,travel,Public Tr RAIL - SGL,11225
3969,"Hinds, Damian",Conservative,10_11,2010-07-28,15.5,travel,Public Tr RAIL - SGL,27248
