id,list_name,party,session,date,value,category,description,claim_number
4016,"Hollingbery, George",Conservative,12_13,2012-07-11,51.2,travel,Public Tr RAIL MP Staff - RTN,0000193466
4016,"Hollingbery, George",Conservative,10_11,2010-10-23,46.14,general admin,Payment Telephone/Mobile,53478
4016,"Hollingbery, George",Conservative,10_11,2011-03-24,18.9,travel,Public Tr RAIL MP Staff - RTN,78408
4016,"Hollingbery, George",Conservative,10_11,2011-03-22,18.9,travel,Public Tr RAIL MP Staff - RTN,78402
4016,"Hollingbery, George",Conservative,10_11,2010-05-21,15.6,travel,Own Car MP Staff,15358
4016,"Hollingbery, George",Conservative,10_11,2011-02-28,20.6,travel,Public Tr RAIL MP Staff - RTN,78415
4016,"Hollingbery, George",Conservative,10_11,2010-06-23,54.84,general admin,Payment Telephone/Mobile,23334
4016,"Hollingbery, George",Conservative,10_11,2010-08-16,100.58,general admin,Stationery Purchase,23563
4016,"Hollingbery, George",Conservative,10_11,2010-05-24,29.23,general admin,Stationery Purchase,14298
4016,"Hollingbery, George",Conservative,10_11,2010-08-16,32.18,general admin,Stationery Purchase,23563
4016,"Hollingbery, George",Conservative,10_11,2010-11-29,58.15,general admin,Payment Telephone/Mobile,53481
4016,"Hollingbery, George",Conservative,10_11,2010-11-29,29.1,travel,Public Tr RAIL MP Staff - RTN,53482
4016,"Hollingbery, George",Conservative,10_11,2010-05-24,23.48,general admin,Stationery Purchase,14298
4016,"Hollingbery, George",Conservative,10_11,2010-11-29,24,travel,Own Car MP Staff,60292
4016,"Hollingbery, George",Conservative,10_11,2010-10-15,16,travel,Own Car MP Staff,60285
4016,"Hollingbery, George",Conservative,10_11,2010-06-25,22,travel,Own Car MP Staff,15358
4016,"Hollingbery, George",Conservative,10_11,2010-08-16,29.05,general admin,Stationery Purchase,23563
4016,"Hollingbery, George",Conservative,10_11,2010-07-23,47.15,general admin,Payment Telephone/Mobile,23347
4016,"Hollingbery, George",Conservative,10_11,2010-05-24,48.8,travel,Own Car MP Staff,12444
4016,"Hollingbery, George",Conservative,10_11,2010-05-14,10.8,travel,Own Car MP Staff,12444
4016,"Hollingbery, George",Conservative,10_11,2010-09-09,3877.5,staffing,Pooled Staffing Services,33618
