id,list_name,party,session,date,value,category,description,claim_number
1537,"Hollobone, Philip",Conservative,12_13,2012-11-24,41.5,travel,Public Tr RAIL - RTN,0000235278
1537,"Hollobone, Philip",Conservative,10_11,2011-01-31,87,travel,Public Tr RAIL - RTN,74008
1537,"Hollobone, Philip",Conservative,10_11,2010-12-16,79.5,travel,Public Tr RAIL - RTN,62064
1537,"Hollobone, Philip",Conservative,10_11,2010-11-01,79.5,travel,Public Tr RAIL - RTN,54605
1537,"Hollobone, Philip",Conservative,10_11,2010-11-08,79.5,travel,Public Tr RAIL - RTN,54605
1537,"Hollobone, Philip",Conservative,10_11,2010-09-10,31.6,travel,Parking MP,37656
1537,"Hollobone, Philip",Conservative,10_11,2010-10-06,7.9,travel,Parking MP,45924
1537,"Hollobone, Philip",Conservative,10_11,2010-09-29,7.9,travel,Public Tr RAIL - RTN,44393
1537,"Hollobone, Philip",Conservative,10_11,2010-06-01,79.5,travel,Public Tr RAIL - RTN,34732
1537,"Hollobone, Philip",Conservative,10_11,2011-03-03,34,travel,Parking MP,82019
1537,"Hollobone, Philip",Conservative,10_11,2011-03-18,8.5,travel,Parking MP,82019
1537,"Hollobone, Philip",Conservative,10_11,2010-11-24,47.9,travel,Public Tr RAIL Other,54605
1537,"Hollobone, Philip",Conservative,10_11,2011-03-11,34,travel,Parking MP,82019
1537,"Hollobone, Philip",Conservative,10_11,2010-12-06,47.17,general admin,Payment Telephone/Mobile,72969
1537,"Hollobone, Philip",Conservative,10_11,2010-09-02,79.5,travel,Public Tr RAIL - RTN,37656
1537,"Hollobone, Philip",Conservative,10_11,2010-08-16,30,travel,Parking MP,27232
1537,"Hollobone, Philip",Conservative,10_11,2010-09-23,39.5,travel,Public Tr RAIL - RTN,37656
1537,"Hollobone, Philip",Conservative,10_11,2010-10-06,48.94,general admin,Payment Telephone/Mobile,45927
1537,"Hollobone, Philip",Conservative,10_11,2010-12-08,13.6,travel,Public Tr RAIL Other,62064
1537,"Hollobone, Philip",Conservative,10_11,2011-03-17,29.7,travel,Parking MP,82019
1537,"Hollobone, Philip",Conservative,10_11,2011-02-04,59.6,travel,Public Tr RAIL Other,74008
1537,"Hollobone, Philip",Conservative,10_11,2011-02-09,1.3,travel,Public Tr RAIL Other,74008
1537,"Hollobone, Philip",Conservative,10_11,2010-12-20,79.5,travel,Public Tr RAIL - RTN,62064
1537,"Hollobone, Philip",Conservative,10_11,2010-05-24,30,travel,Parking MP,34732
1537,"Hollobone, Philip",Conservative,10_11,2010-11-19,28.4,travel,Public Tr RAIL Other,54605
1537,"Hollobone, Philip",Conservative,10_11,2010-07-05,30,travel,Parking MP,19408
1537,"Hollobone, Philip",Conservative,10_11,2011-03-03,87,travel,Public Tr RAIL - RTN,82019
1537,"Hollobone, Philip",Conservative,10_11,2010-10-18,79.5,travel,Public Tr RAIL - RTN,44393
1537,"Hollobone, Philip",Conservative,10_11,2011-02-17,87,travel,Public Tr RAIL - RTN,74008
1537,"Hollobone, Philip",Conservative,10_11,2010-08-31,79.5,travel,Public Tr RAIL - RTN,37656
1537,"Hollobone, Philip",Conservative,10_11,2011-02-08,25.6,travel,Public Tr RAIL Other,74008
1537,"Hollobone, Philip",Conservative,10_11,2010-07-12,30,travel,Parking MP,19408
1537,"Hollobone, Philip",Conservative,10_11,2010-05-13,53,travel,Public Tr RAIL - RTN,34732
1537,"Hollobone, Philip",Conservative,10_11,2011-01-21,34,travel,Parking MP,66705
1537,"Hollobone, Philip",Conservative,10_11,2010-12-13,79.5,travel,Public Tr RAIL - RTN,62064
1537,"Hollobone, Philip",Conservative,10_11,2011-03-14,41,travel,Public Tr RAIL - RTN,82019
1537,"Hollobone, Philip",Conservative,10_11,2011-03-11,87,travel,Public Tr RAIL - RTN,82019
1537,"Hollobone, Philip",Conservative,10_11,2011-02-14,41,travel,Public Tr RAIL - RTN,74008
1537,"Hollobone, Philip",Conservative,10_11,2011-02-17,29.7,travel,Parking MP,74008
1537,"Hollobone, Philip",Conservative,10_11,2010-05-10,79.5,travel,Public Tr RAIL - RTN,34732
1537,"Hollobone, Philip",Conservative,10_11,2011-02-24,87,travel,Public Tr RAIL - RTN,82019
1537,"Hollobone, Philip",Conservative,10_11,2010-08-11,79.5,travel,Public Tr RAIL - RTN,27232
1537,"Hollobone, Philip",Conservative,10_11,2010-10-11,48,travel,Public Tr RAIL - RTN,44393
1537,"Hollobone, Philip",Conservative,10_11,2011-01-16,58,travel,Public Tr RAIL - RTN,66705
1537,"Hollobone, Philip",Conservative,10_11,2011-01-13,29.7,travel,Parking MP,66705
1537,"Hollobone, Philip",Conservative,10_11,2010-12-09,31.6,travel,Parking MP,62064
