id,list_name,party,session,date,value,category,description,claim_number
582,"Hood, Jim",Labour,12_13,2013-02-04,60,travel,Taxi,0000243414
582,"Hood, Jim",Labour,12_13,2012-10-29,155.5,office costs,Newspapers/Journals,0000219652
582,"Hood, Jim",Labour,12_13,2012-10-28,29,accommodation,Electricity,0000223035
582,"Hood, Jim",Labour,12_13,2013-01-16,51.31,office costs,Hospitality,0000236341
582,"Hood, Jim",Labour,12_13,2013-02-28,402.5,accommodation,Hotel London Area,0000255731
582,"Hood, Jim",Labour,12_13,2012-09-01,96.76,accommodation,Service Charges,0000201640
582,"Hood, Jim",Labour,12_13,2013-02-19,50.11,office costs,Stationery Purchase,Payment to Supplier
582,"Hood, Jim",Labour,12_13,2012-09-06,18,travel,Own Vehicle Car,0000203818
582,"Hood, Jim",Labour,10_11,2010-11-15,14.4,travel,Own Car MP,50202
582,"Hood, Jim",Labour,10_11,2010-11-19,5.95,staffing,Food & Drink Intern/Volunteer,50064
582,"Hood, Jim",Labour,10_11,2011-02-16,127.32,general admin,Telephone/Mobile Hire,71078
582,"Hood, Jim",Labour,10_11,2010-07-16,26.65,general admin,Professional Services,24040
582,"Hood, Jim",Labour,10_11,2010-10-19,6.89,travel,Food & Drink MP,41624
582,"Hood, Jim",Labour,10_11,2010-11-22,145.5,accommodation,Television Licence,50187
582,"Hood, Jim",Labour,10_11,2011-02-28,373.65,constituency rental,Parliamentary Accountancy,91970
582,"Hood, Jim",Labour,10_11,2010-07-23,4.1,travel,Parking MP,27395
582,"Hood, Jim",Labour,10_11,2010-08-09,23.56,accommodation,Home Contents Insurance,29811
582,"Hood, Jim",Labour,10_11,2010-10-11,6.5,travel,Food & Drink MP,41624
582,"Hood, Jim",Labour,10_11,2011-03-28,40,accommodation,Electricity,85772
582,"Hood, Jim",Labour,10_11,2010-10-27,14.4,travel,Own Car MP,45888
582,"Hood, Jim",Labour,10_11,2010-09-01,16,travel,Own Car MP,30302
582,"Hood, Jim",Labour,10_11,2010-06-29,20,general admin,Computer SW Purchase,23009
