id,list_name,party,session,date,value,category,description,claim_number
4043,"Hopkins, Kris",Conservative,12_13,2012-05-18,243.65,office costs,Stationery Purchase,0000179292
4043,"Hopkins, Kris",Conservative,12_13,2012-06-18,108.3,travel,Public Tr RAIL MP Staff - RTN,0000189042
4043,"Hopkins, Kris",Conservative,12_13,2012-04-17,1447.33,accommodation,Accommodation Rent,Payment to Supplier
4043,"Hopkins, Kris",Conservative,12_13,2012-11-22,4.3,travel,Public Tr UND,0000227574
4043,"Hopkins, Kris",Conservative,10_11,2011-03-03,124,travel,Public Tr RAIL - SGL,82218
4043,"Hopkins, Kris",Conservative,10_11,2010-11-30,110,travel,Hotel London Area MP Staff,55063
4043,"Hopkins, Kris",Conservative,10_11,2010-11-01,604.16,constituency rental,Const Office Rent,53796
4043,"Hopkins, Kris",Conservative,10_11,2010-11-09,104.58,general admin,Office Furniture Purchase,46887
4043,"Hopkins, Kris",Conservative,10_11,2010-08-16,2.69,general admin,Stationery Purchase,26562
4043,"Hopkins, Kris",Conservative,10_11,2010-05-18,145.3,travel,Public Tr RAIL - RTN,768
4043,"Hopkins, Kris",Conservative,10_11,2010-07-22,380.7,accommodation,Interim Hotel London Area,17727
4043,"Hopkins, Kris",Conservative,10_11,2011-03-08,5,travel,Public Tr UND MP Staff,92213
4043,"Hopkins, Kris",Conservative,10_11,2010-07-15,2.25,general admin,Install/Maint Office Equip.,22103
4043,"Hopkins, Kris",Conservative,10_11,2010-08-16,15.85,general admin,Stationery Purchase,26562
4043,"Hopkins, Kris",Conservative,10_11,2010-07-16,15,general admin,Install/Maint Office Equip.,22103
4043,"Hopkins, Kris",Conservative,10_11,2011-02-07,92.6,travel,Public Tr RAIL - SGL,74205
4043,"Hopkins, Kris",Conservative,10_11,2010-07-22,2.24,general admin,Hospitality,22103
4043,"Hopkins, Kris",Conservative,10_11,2011-01-13,127,travel,Public Tr RAIL - SGL,66896
4043,"Hopkins, Kris",Conservative,10_11,2010-11-24,129.25,accommodation,Interim Hotel London Area,51515
4043,"Hopkins, Kris",Conservative,10_11,2010-07-27,115.5,travel,Public Tr RAIL Railcard,27387
4043,"Hopkins, Kris",Conservative,10_11,2011-02-14,388.8,accommodation,Interim Hotel London Area,70333
4043,"Hopkins, Kris",Conservative,10_11,2011-03-03,4,travel,Public Tr Underground MP,82218
4043,"Hopkins, Kris",Conservative,10_11,2011-03-16,1.19,general admin,Stationery Purchase,78163
4043,"Hopkins, Kris",Conservative,10_11,2011-03-31,4,travel,Public Tr Underground MP,91087
4043,"Hopkins, Kris",Conservative,10_11,2011-01-28,4.45,general admin,Stationery Purchase,68518
4043,"Hopkins, Kris",Conservative,10_11,2011-01-28,9.98,general admin,Stationery Purchase,68518
4043,"Hopkins, Kris",Conservative,10_11,2010-10-19,604.16,constituency rental,Const Office Rent,42708
4043,"Hopkins, Kris",Conservative,10_11,2011-01-13,4,travel,Public Tr Underground MP,66896
4043,"Hopkins, Kris",Conservative,10_11,2010-10-14,334.49,accommodation,Interim Hotel London Area,41412
4043,"Hopkins, Kris",Conservative,10_11,2010-07-27,129.25,accommodation,Interim Hotel London Area,17730
4043,"Hopkins, Kris",Conservative,10_11,2011-03-14,4,travel,Public Tr Underground MP,82218
4043,"Hopkins, Kris",Conservative,10_11,2010-10-20,105,travel,Hotel London Area MP Staff,41557
4043,"Hopkins, Kris",Conservative,10_11,2011-01-27,4,travel,Public Tr Underground MP,74205
4043,"Hopkins, Kris",Conservative,10_11,2010-07-16,6,general admin,Computer HW Purchase,22103
4043,"Hopkins, Kris",Conservative,10_11,2011-01-28,120,general admin,Install/Maint Office Equip.,68518
4043,"Hopkins, Kris",Conservative,10_11,2010-05-10,85.7,travel,Public Tr RAIL - RTN,768
4043,"Hopkins, Kris",Conservative,10_11,2011-01-04,151.97,general admin,Payment Telephone/Mobile,59426
4043,"Hopkins, Kris",Conservative,10_11,2011-01-28,1.2,general admin,Stationery Purchase,68518
4043,"Hopkins, Kris",Conservative,10_11,2011-01-28,10.63,general admin,Stationery Purchase,68518
4043,"Hopkins, Kris",Conservative,10_11,2010-11-22,89.7,travel,Public Tr RAIL MP Staff - RTN,55063
4043,"Hopkins, Kris",Conservative,10_11,2010-07-18,7.85,general admin,Install/Maint Office Equip.,22103
4043,"Hopkins, Kris",Conservative,10_11,2010-12-16,387.75,accommodation,Interim Hotel London Area,56821
4043,"Hopkins, Kris",Conservative,10_11,2010-08-16,0.53,general admin,Stationery Purchase,26562
4043,"Hopkins, Kris",Conservative,10_11,2010-08-16,7.37,general admin,Stationery Purchase,26562
4043,"Hopkins, Kris",Conservative,10_11,2011-03-10,5,travel,Public Tr UND MP Staff,92213
4043,"Hopkins, Kris",Conservative,10_11,2010-09-06,91.7,travel,Public Tr RAIL Railcard,37839
4043,"Hopkins, Kris",Conservative,10_11,2010-10-19,68.5,travel,Public Tr RAIL MP Staff - RTN,41557
