id,list_name,party,session,date,value,category,description,claim_number
1606,"Howell, John",Conservative,12_13,2013-02-01,31.59,travel,Own Vehicle Car MP Staff,0000252587
1606,"Howell, John",Conservative,12_13,2012-09-07,14.76,travel,Own Vehicle Car MP Staff,0000215880
1606,"Howell, John",Conservative,10_11,2011-03-02,17.52,travel,Own Car MP Staff,73026
1606,"Howell, John",Conservative,10_11,2010-06-29,1386.67,accommodation,Accommodation Rent,8521
1606,"Howell, John",Conservative,10_11,2011-02-01,34.56,general admin,Advertising,65910
1606,"Howell, John",Conservative,10_11,2010-10-01,25.2,travel,Own Car MP Staff,35607
1606,"Howell, John",Conservative,10_11,2010-11-15,71.12,travel,Own Car MP Staff,48227
1606,"Howell, John",Conservative,10_11,2011-02-01,1450,accommodation,Accommodation Rent,65907
1606,"Howell, John",Conservative,10_11,2010-10-01,45.2,travel,Own Car MP Staff,35607
1606,"Howell, John",Conservative,10_11,2010-10-01,59.4,travel,Own Car MP Staff,35607
1606,"Howell, John",Conservative,10_11,2011-03-02,125.75,general admin,Professional Services,73036
1606,"Howell, John",Conservative,10_11,2010-08-09,1386.67,accommodation,Accommodation Rent,21923
1606,"Howell, John",Conservative,10_11,2010-09-30,44.38,general admin,Stationery Purchase,35191
1606,"Howell, John",Conservative,10_11,2011-01-20,18,constituency rental,Const Office Hire of Premises,63437
1606,"Howell, John",Conservative,10_11,2011-03-02,16.6,travel,Own Car MP Staff,73026
1606,"Howell, John",Conservative,10_11,2010-08-09,40,general admin,Payment Telephone/Mobile,21933
1606,"Howell, John",Conservative,10_11,2010-11-15,85.77,accommodation,Water,48162
1606,"Howell, John",Conservative,10_11,2010-06-29,1386.67,accommodation,Accommodation Rent,8608
1606,"Howell, John",Conservative,10_11,2011-01-13,13.36,travel,Own Car MP Staff,61309
1606,"Howell, John",Conservative,10_11,2010-10-01,30.2,travel,Own Car MP Staff,35607
1606,"Howell, John",Conservative,10_11,2011-01-20,51,constituency rental,Const Office Hire of Premises,63446
1606,"Howell, John",Conservative,10_11,2010-08-09,79.67,general admin,Stationery Purchase,22034
1606,"Howell, John",Conservative,10_11,2010-11-15,13.84,travel,Own Car MP Staff,48227
1606,"Howell, John",Conservative,10_11,2010-09-30,40.15,general admin,Telephone/Mobile Hire,35315
1606,"Howell, John",Conservative,10_11,2010-09-30,35.25,general admin,Advertising,35195
1606,"Howell, John",Conservative,10_11,2011-03-02,33.04,travel,Own Car MP Staff,73026
1606,"Howell, John",Conservative,10_11,2011-01-20,10,constituency rental,Const Office Hire of Premises,63438
1606,"Howell, John",Conservative,10_11,2011-01-20,40.41,general admin,Payment Telephone/Mobile,63431
1606,"Howell, John",Conservative,10_11,2010-09-30,174.85,constituency rental,Const Office Tel. Usage/Rental,35210
1606,"Howell, John",Conservative,10_11,2010-12-02,1450,accommodation,Accommodation Rent,52663
1606,"Howell, John",Conservative,10_11,2011-03-02,1450,accommodation,Accommodation Rent,73010
