id,list_name,party,session,date,value,category,description,claim_number
4111,"Hunt, Tristram",Labour,11_12,2011-07-07,430.55,constituency rental,Const Office Tel. Usage/Rental,104828
4111,"Hunt, Tristram",Labour,11_12,2011-07-07,777.57,constituency rental,Const Office Gas,104845
4111,"Hunt, Tristram",Labour,12_13,2012-08-08,2.48,travel,Own Vehicle Car MP Staff,0000204945
4111,"Hunt, Tristram",Labour,12_13,2013-02-15,5.76,travel,Own Vehicle Car MP Staff,0000246374
4111,"Hunt, Tristram",Labour,12_13,2012-06-04,49.29,accommodation,Water,0000192554
4111,"Hunt, Tristram",Labour,12_13,2012-11-16,9.41,travel,Own Vehicle Car MP Staff,0000231969
4111,"Hunt, Tristram",Labour,12_13,2012-12-28,71.46,travel,Own Vehicle Car MP Staff,0000244170
4111,"Hunt, Tristram",Labour,12_13,2013-02-22,1.19,office costs,Stationery Purchase,Payment to Supplier
4111,"Hunt, Tristram",Labour,10_11,2010-10-29,2,travel,Own Car MP Staff,55893
4111,"Hunt, Tristram",Labour,10_11,2010-10-12,15,travel,Food & Drink @ Parliament,43767
4111,"Hunt, Tristram",Labour,10_11,2010-07-01,47,travel,Public Tr RAIL - SGL,19678
4111,"Hunt, Tristram",Labour,10_11,2010-09-24,0.8,travel,Own Car MP Staff,48662
4111,"Hunt, Tristram",Labour,10_11,2010-08-16,0.92,travel,Own Car MP Staff,40376
4111,"Hunt, Tristram",Labour,10_11,2010-09-29,587.5,general admin,Other,39711
4111,"Hunt, Tristram",Labour,10_11,2010-08-20,1027.39,constituency rental,Const Office Rent,24286
4111,"Hunt, Tristram",Labour,10_11,2010-11-16,5.3,travel,Food & Drink @ Parliament,52793
4111,"Hunt, Tristram",Labour,10_11,2010-11-26,0.84,travel,Own Car MP Staff,55935
4111,"Hunt, Tristram",Labour,10_11,2010-10-12,1250,constituency rental,Const Office Rent,39377
4111,"Hunt, Tristram",Labour,10_11,2010-11-17,326.07,general admin,Contact Cards,48914
4111,"Hunt, Tristram",Labour,10_11,2010-06-21,15.55,general admin,Stationery Purchase,18430
4111,"Hunt, Tristram",Labour,10_11,2010-09-10,0.8,travel,Own Car MP Staff,48662
4111,"Hunt, Tristram",Labour,10_11,2010-10-15,1.16,travel,Own Car MP Staff,55893
4111,"Hunt, Tristram",Labour,10_11,2010-08-18,0.4,travel,Own Car MP Staff,40376
4111,"Hunt, Tristram",Labour,10_11,2010-08-06,1,travel,Own Car MP Staff,40376
4111,"Hunt, Tristram",Labour,10_11,2010-08-02,12.16,general admin,Other,34280
4111,"Hunt, Tristram",Labour,10_11,2010-09-23,0.52,travel,Own Car MP Staff,48662
4111,"Hunt, Tristram",Labour,10_11,2010-07-23,4,travel,Own Car MP Staff,35484
4111,"Hunt, Tristram",Labour,10_11,2010-07-24,1.12,travel,Own Car MP Staff,35484
4111,"Hunt, Tristram",Labour,10_11,2010-11-26,0.4,travel,Own Car MP Staff,55935
4111,"Hunt, Tristram",Labour,10_11,2011-03-21,279.61,general admin,Stationery Purchase,77692
4111,"Hunt, Tristram",Labour,10_11,2010-09-29,10.63,general admin,Stationery Purchase,39711
4111,"Hunt, Tristram",Labour,10_11,2010-07-29,94,travel,Public Tr RAIL - RTN,27455
4111,"Hunt, Tristram",Labour,10_11,2010-11-26,1.84,travel,Own Car MP Staff,55935
4111,"Hunt, Tristram",Labour,10_11,2010-07-16,1,travel,Parking MP Staff,35502
4111,"Hunt, Tristram",Labour,10_11,2010-11-29,10,travel,Taxi After Late Sitting,57099
4111,"Hunt, Tristram",Labour,10_11,2011-01-27,57.7,travel,Public Tr RAIL - RTN,74293
4111,"Hunt, Tristram",Labour,10_11,2010-09-24,1.4,travel,Own Car MP Staff,48662
4111,"Hunt, Tristram",Labour,10_11,2010-08-18,130.8,general admin,Other,40371
4111,"Hunt, Tristram",Labour,10_11,2010-07-23,5.48,travel,Own Car MP Staff,35484
4111,"Hunt, Tristram",Labour,10_11,2011-03-29,92.35,travel,Public Tr RAIL - RTN,91168
4111,"Hunt, Tristram",Labour,10_11,2010-08-12,45.1,general admin,Payment Telephone/Mobile,33160
4111,"Hunt, Tristram",Labour,10_11,2010-11-18,0.4,travel,Own Car MP Staff,55935
4111,"Hunt, Tristram",Labour,10_11,2010-08-17,3.5,general admin,Professional Services,34280
4111,"Hunt, Tristram",Labour,10_11,2010-06-30,2.2,travel,Parking MP Staff,18441
4111,"Hunt, Tristram",Labour,10_11,2010-07-09,117.5,travel,Public Tr RAIL - RTN,19678
4111,"Hunt, Tristram",Labour,10_11,2010-07-24,1,travel,Parking MP,33175
4111,"Hunt, Tristram",Labour,10_11,2011-02-18,15.96,travel,Own Car MP Staff,73097
4111,"Hunt, Tristram",Labour,10_11,2010-11-26,0.76,travel,Own Car MP Staff,55935
4111,"Hunt, Tristram",Labour,10_11,2010-08-12,102.25,travel,Public Tr RAIL MP Staff - RTN,27455
4111,"Hunt, Tristram",Labour,10_11,2011-02-03,159.52,accommodation,Gas,74293
4111,"Hunt, Tristram",Labour,10_11,2010-07-23,1,travel,Parking MP,33175
4111,"Hunt, Tristram",Labour,10_11,2011-01-18,5.25,travel,Food & Drink @ Parliament,73034
4111,"Hunt, Tristram",Labour,10_11,2011-02-17,6.63,general admin,Other,70359
4111,"Hunt, Tristram",Labour,10_11,2010-11-02,3.5,general admin,Professional Services,47535
4111,"Hunt, Tristram",Labour,10_11,2010-10-29,2,travel,Parking MP Staff,55405
4111,"Hunt, Tristram",Labour,10_11,2010-07-30,0.16,travel,Own Car MP Staff,35484
4111,"Hunt, Tristram",Labour,10_11,2010-10-01,1.88,travel,Own Car MP Staff,55893
4111,"Hunt, Tristram",Labour,10_11,2010-11-19,0.08,travel,Own Car MP Staff,55935
4111,"Hunt, Tristram",Labour,10_11,2010-07-27,1,travel,Parking MP Staff,35502
4111,"Hunt, Tristram",Labour,10_11,2010-12-03,23,travel,Taxi After Late Sitting,57099
