id,list_name,party,session,date,value,category,description,claim_number
1598,"Hunter, Mark",Liberal Democrat,11_12,2011-08-29,126.62,accommodation,Electricity,113340
1598,"Hunter, Mark",Liberal Democrat,11_12,2012-02-24,148,travel,Public Tr RAIL - SGL,0000164161
1598,"Hunter, Mark",Liberal Democrat,12_13,2012-05-22,1118.4,office costs,Const Office Electricity,0000175768
1598,"Hunter, Mark",Liberal Democrat,12_13,2012-06-14,36.5,travel,Public Tr RAIL - SGL,0000188879
1598,"Hunter, Mark",Liberal Democrat,12_13,2012-07-16,62.5,travel,Public Tr RAIL - SGL,0000196447
1598,"Hunter, Mark",Liberal Democrat,12_13,2013-01-02,184.78,office costs,Stationery Purchase,Payment to Supplier
1598,"Hunter, Mark",Liberal Democrat,12_13,2012-06-14,36.5,travel,Public Tr RAIL - SGL,0000188879
1598,"Hunter, Mark",Liberal Democrat,12_13,2012-04-10,49.92,office costs,Professional Services,0000165736
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-11,10,travel,Public Tr RAIL - SGL,66758
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-21,55,general admin,Professional Services,66180
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-01,74,travel,Public Tr RAIL - SGL,11633
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-21,57,travel,Public Tr RAIL - SGL,44449
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-12-16,74,travel,Public Tr RAIL - SGL,62121
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-01,74,travel,Public Tr RAIL - SGL,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-10,108.5,travel,Public Tr RAIL - SGL,82074
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-17,68.5,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-11,139.5,travel,Public Tr RAIL - SGL,66758
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-19,45.5,travel,Public Tr RAIL - SGL,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-11,242.03,general admin,Printer Purchase,45299
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-13,87.5,accommodation,Water,39502
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-08,62,accommodation,Council Tax,28520
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-04,148.22,constituency rental,Const Office Water,33652
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-26,57,travel,Public Tr RAIL - SGL,17814
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-04,19.23,constituency rental,Const Office Water,68211
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-10,99,travel,Public Tr RAIL - SGL,11633
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-04,1700,constituency rental,Const Office Rent,68211
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-21,46,travel,Public Tr RAIL - SGL,82074
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-16,28.2,general admin,Payment Internet,50254
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-22,64.7,travel,Public Tr RAIL - SGL,17814
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-09,145.5,general admin,Television Licence Purchase,68717
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-14,45.5,travel,Public Tr RAIL - SGL,17814
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-22,108.5,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-26,172.27,general admin,Postage Purchase,49904
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-25,22.98,general admin,Install/Maint Office Equip.,33677
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-05,31.5,general admin,Advertising,45299
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-14,5.5,general admin,Professional Services,62476
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-02,-64,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-16,99,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-27,59.5,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-30,90.63,general admin,Computer HW Purchase,52762
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-22,135.13,general admin,Advertising,52762
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-21,24.29,general admin,Computer SW Purchase,33643
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-24,99,travel,Public Tr RAIL - SGL,11633
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-04,544.8,constituency rental,Const Office Electricity,33652
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-18,99,travel,Public Tr RAIL - SGL,1963
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-16,28.8,general admin,Payment Telephone/Mobile,72309
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-06,99,travel,Public Tr RAIL - SGL,11633
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-04,19.34,constituency rental,Const Office Water,68211
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-09,45.5,travel,Public Tr RAIL - SGL,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-17,21.32,constituency rental,Const Office Water,49906
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-08,393.25,general admin,Landline Hire,68717
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-04,566.66,constituency rental,Const Office Rent,33652
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-04,48.88,constituency rental,Const Office Other Fuel,68211
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-12-23,59,travel,Public Tr RAIL - SGL,62121
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-29,108.5,travel,Public Tr RAIL - SGL,90946
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-05,34.99,general admin,Other,47836
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-11,45.5,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-14,361.32,general admin,Computer HW Purchase,62476
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-02,188.4,general admin,Other,68717
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-25,57,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-25,22.98,general admin,Install/Maint Office Equip.,8899
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-13,62,accommodation,Council Tax,39502
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-17,453.65,general admin,Landline Hire,49907
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-14,45.5,travel,Public Tr RAIL - SGL,11633
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-17,544.8,constituency rental,Const Office Electricity,49906
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-27,46,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-03,45.5,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-08-10,235,general admin,Professional Services,23724
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-12-03,24.4,general admin,Other,55964
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-04,244.8,constituency rental,Business Rates,33652
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-01,86.85,travel,Public Tr RAIL MP Staff - RTN,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-18,45.5,travel,Public Tr RAIL - SGL,44449
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-04,566.66,constituency rental,Const Office Water,33652
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-23,14.25,general admin,Venue Hire,33643
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-12-22,58.75,general admin,Advertising,62476
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-04,544.8,constituency rental,Const Office Other Fuel,68211
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-16,28.2,general admin,Payment Telephone/Mobile,47836
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-29,45.5,travel,Public Tr RAIL - SGL,62121
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-17,48.88,constituency rental,Const Office Other Fuel,49906
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-01,1057.2,accommodation,Accommodation Rent,72755
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-29,1450,accommodation,Accommodation Rent,51355
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-16,407.49,general admin,Other,66180
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-08-16,0,general admin,Payment Telephone/Mobile,45296
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-12,131,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-22,57,travel,Public Tr RAIL - SGL,11250
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-17,99,travel,Public Tr RAIL - SGL,11633
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-22,45.5,travel,Public Tr RAIL - SGL,11250
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-10,108.5,travel,Public Tr RAIL - SGL,66758
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-26,46,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-13,1450,accommodation,Accommodation Rent,39502
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-20,7.4,travel,Own Car MP Staff,9891
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-04,19.34,constituency rental,Contents Insurance,33652
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-07,1222.58,accommodation,Accommodation Rent,10623
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-10,45.85,travel,Public Tr RAIL MP Staff - RTN,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-01,86.85,travel,Public Tr RAIL MP Staff - RTN,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-26,0,general admin,Other,45296
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-24,45.5,travel,Public Tr RAIL - SGL,1963
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-18,-64,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-15,46,travel,Public Tr RAIL - SGL,74062
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-01,54.02,accommodation,Electricity,72755
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-14,74,travel,Public Tr RAIL - SGL,44449
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-20,2.6,general admin,Other,15386
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-25,139.5,travel,Public Tr RAIL - SGL,82074
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-29,62,accommodation,Council Tax,51355
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-08,29,travel,Public Tr RAIL - SGL,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-01,86.85,travel,Public Tr RAIL MP Staff - RTN,19462
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-14,46,travel,Public Tr RAIL - SGL,82074
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-03,77,travel,Public Tr RAIL - SGL,82074
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-30,436.08,general admin,Computer SW Purchase,83409
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-08,243.29,general admin,Other,45299
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-12-07,11,general admin,Professional Services,62476
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-28,43.35,travel,Public Tr RAIL MP Staff - RTN,44449
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-14,74,travel,Public Tr RAIL - SGL,37706
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-07-27,2369,staffing,Pooled Staffing Services,41121
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-11-03,74,travel,Public Tr RAIL - SGL,54662
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-09,76,travel,Own Car MP Staff,16798
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-06-01,1450,accommodation,Accommodation Rent,10623
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-10,0,general admin,Payment Telephone/Mobile,45296
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-10-12,108.5,travel,Public Tr RAIL - SGL,44449
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-05-14,125.91,general admin,Install/Maint Office Equip.,8899
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-12-16,22.56,general admin,Payment Telephone/Mobile,58518
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-03-29,46,travel,Public Tr RAIL - SGL,90946
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-13,108.5,travel,Public Tr RAIL - SGL,66758
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-01-25,166.81,accommodation,Electricity,64226
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-08-10,235,general admin,Professional Services,23724
1598,"Hunter, Mark",Liberal Democrat,10_11,2010-09-16,74,travel,Public Tr RAIL - SGL,37706
1598,"Hunter, Mark",Liberal Democrat,10_11,2011-02-02,-98.5,travel,Public Tr RAIL - SGL,74062
