id,list_name,party,session,date,value,category,description,claim_number
3931,"Huppert, Julian",Liberal Democrat,11_12,2011-12-08,5,staffing,Own Vehicle Car Intern/Vlntr,0000134304
3931,"Huppert, Julian",Liberal Democrat,11_12,2011-05-09,21,travel,Public Tr RAIL MP Staff - RTN,97983
3931,"Huppert, Julian",Liberal Democrat,11_12,2012-03-09,2.7,staffing,Own Vehicle Car Intern/Vlntr,0000163759
3931,"Huppert, Julian",Liberal Democrat,12_13,2012-06-22,75,office costs,Other,0000200403
3931,"Huppert, Julian",Liberal Democrat,12_13,2012-05-24,7.7,staffing,Parking Int/Volntr,0000190500
3931,"Huppert, Julian",Liberal Democrat,12_13,2012-05-24,7.29,staffing,Food & Drink Int/Volntr,0000190461
3931,"Huppert, Julian",Liberal Democrat,12_13,2012-12-21,33.6,office costs,Const Office Water,0000230636
3931,"Huppert, Julian",Liberal Democrat,12_13,2012-04-12,4.78,office costs,Stationery Purchase,0000165510
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-11-25,21.8,general admin,Payment Telephone/Mobile,50832
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-12-02,49.42,general admin,Stationery Purchase,52693
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-05-20,17.5,travel,Public Tr RAIL - RTN,9520
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-01-27,7.8,travel,Taxi MP,66017
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-07-20,13,travel,Public Tr RAIL - RTN,19567
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-01-31,58.9,general admin,Payment Telephone/Mobile,66123
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-11-08,37,travel,Public Tr RAIL - RTN,54773
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-01-11,23,travel,Public Tr RAIL - SGL,66868
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-02-14,34,travel,Public Tr RAIL MP Staff - RTN,84828
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-07-12,21.8,travel,Public Tr RAIL - RTN,19567
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-06-17,26.5,travel,Public Tr RAIL - RTN,11327
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-02-11,15.6,constituency rental,Const Office Water,70856
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-10-24,21.43,general admin,Payment Telephone/Mobile,45546
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-06-29,14.35,travel,Food & Drink @ Parliament,9520
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-07-29,22.45,travel,Public Tr RAIL MP Staff - RTN,40104
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-03-10,100.11,general admin,Stationery Purchase,75691
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-12-03,26.5,travel,Public Tr RAIL - RTN,62234
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-07-06,115,travel,Hotel Late Sitting > 1.00,11721
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-07-22,13,travel,Public Tr RAIL - SGL,27360
3931,"Huppert, Julian",Liberal Democrat,10_11,2011-02-16,43.27,accommodation,Electricity,75687
3931,"Huppert, Julian",Liberal Democrat,10_11,2010-07-01,75,general admin,Other,12276
