id,list_name,party,session,date,value,category,description,claim_number
175,"Jackson, Glenda",Labour,11_12,2011-09-22,5.25,staffing,Food & Drink Intern/Volunteer,118106
175,"Jackson, Glenda",Labour,11_12,2011-09-29,5.25,staffing,Food & Drink Intern/Volunteer,119796
175,"Jackson, Glenda",Labour,11_12,2012-01-30,34.2,staffing,Public Tr UND Int/Volntr,0000147812
175,"Jackson, Glenda",Labour,11_12,2011-10-19,18.6,office costs,Payment Telephone/Mobile,125093
175,"Jackson, Glenda",Labour,12_13,2012-06-19,5,staffing,Public Tr UND Int/Volntr,0000183877
175,"Jackson, Glenda",Labour,12_13,2013-03-21,1.58,office costs,Stationery Purchase,Payment to Supplier
175,"Jackson, Glenda",Labour,12_13,2012-05-31,7,staffing,Public Tr UND Int/Volntr,0000180492
175,"Jackson, Glenda",Labour,12_13,2012-08-29,3.1,staffing,Public Tr UND Int/Volntr,0000206998
175,"Jackson, Glenda",Labour,12_13,2012-06-27,4.29,staffing,Food & Drink Int/Volntr,0000185186
175,"Jackson, Glenda",Labour,12_13,2012-04-25,7,staffing,Public Tr UND Int/Volntr,0000183872
175,"Jackson, Glenda",Labour,12_13,2012-09-25,5,staffing,Food & Drink Int/Volntr,0000207427
175,"Jackson, Glenda",Labour,10_11,2011-01-31,50,constituency rental,Const Office Hire of Premises,65921
175,"Jackson, Glenda",Labour,10_11,2011-02-02,18.46,general admin,Payment Telephone/Mobile,67282
175,"Jackson, Glenda",Labour,10_11,2011-03-29,-2.56,general admin,Mobile Usage/Rental,89669
175,"Jackson, Glenda",Labour,10_11,2011-01-31,209.98,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2011-02-02,26.06,general admin,Payment Telephone/Mobile,67282
175,"Jackson, Glenda",Labour,10_11,2011-01-31,22.48,general admin,Payment Internet,65916
175,"Jackson, Glenda",Labour,10_11,2011-02-02,118.47,general admin,Payment Telephone/Mobile,67298
175,"Jackson, Glenda",Labour,10_11,2010-05-28,264.38,general admin,Stationery Purchase,18337
175,"Jackson, Glenda",Labour,10_11,2010-12-19,36,general admin,Stationery Purchase,65355
175,"Jackson, Glenda",Labour,10_11,2010-05-28,564,general admin,Stationery Purchase,7270
175,"Jackson, Glenda",Labour,10_11,2011-01-31,4.36,general admin,Stationery Purchase,65922
175,"Jackson, Glenda",Labour,10_11,2010-09-29,58.95,general admin,Hospitality,45713
175,"Jackson, Glenda",Labour,10_11,2011-01-31,35.25,constituency rental,Const Office Hire of Premises,65921
175,"Jackson, Glenda",Labour,10_11,2011-01-31,-22.21,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2011-02-02,29.76,general admin,Payment Telephone/Mobile,67298
175,"Jackson, Glenda",Labour,10_11,2010-10-01,50,constituency rental,Const Office Hire of Premises,42838
175,"Jackson, Glenda",Labour,10_11,2011-01-31,29.29,general admin,Payment Telephone/Mobile,65918
175,"Jackson, Glenda",Labour,10_11,2011-02-02,22.48,general admin,Payment Internet,67298
175,"Jackson, Glenda",Labour,10_11,2011-03-16,11.32,general admin,Mobile Usage/Rental,89669
175,"Jackson, Glenda",Labour,10_11,2011-03-04,37.55,general admin,Stationery Purchase,76461
175,"Jackson, Glenda",Labour,10_11,2010-10-11,9.56,general admin,Hospitality,45713
175,"Jackson, Glenda",Labour,10_11,2010-09-24,40,constituency rental,Const Office Hire of Premises,45043
175,"Jackson, Glenda",Labour,10_11,2010-11-05,44.78,general admin,Stationery Purchase,65355
175,"Jackson, Glenda",Labour,10_11,2010-10-16,32.24,general admin,Payment Telephone/Mobile,42840
175,"Jackson, Glenda",Labour,10_11,2011-02-02,110,constituency rental,Const Office Hire of Premises,67285
175,"Jackson, Glenda",Labour,10_11,2011-03-04,55.32,general admin,Stationery Purchase,76461
175,"Jackson, Glenda",Labour,10_11,2010-06-30,59.95,general admin,Hospitality,18323
175,"Jackson, Glenda",Labour,10_11,2010-09-16,18.35,general admin,Payment Telephone/Mobile,45701
175,"Jackson, Glenda",Labour,10_11,2010-07-16,31.76,general admin,Payment Telephone/Mobile,28588
175,"Jackson, Glenda",Labour,10_11,2011-01-31,-34.62,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2010-06-01,511.13,general admin,Stationery Purchase,18355
175,"Jackson, Glenda",Labour,10_11,2010-12-10,32.21,general admin,Stationery Purchase,65355
175,"Jackson, Glenda",Labour,10_11,2010-10-16,21.19,general admin,Payment Telephone/Mobile,42827
175,"Jackson, Glenda",Labour,10_11,2010-10-22,40,constituency rental,Const Office Hire of Premises,45043
175,"Jackson, Glenda",Labour,10_11,2011-03-04,31.37,general admin,Stationery Purchase,76461
175,"Jackson, Glenda",Labour,10_11,2011-03-21,55.65,general admin,Stationery Purchase,89660
175,"Jackson, Glenda",Labour,10_11,2010-09-01,50,constituency rental,Const Office Hire of Premises,42838
175,"Jackson, Glenda",Labour,10_11,2011-01-31,34.62,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2011-01-31,21.24,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2011-03-18,645.2,general admin,Stationery Purchase,89660
175,"Jackson, Glenda",Labour,10_11,2010-12-10,335,general admin,Professional Services,65371
175,"Jackson, Glenda",Labour,10_11,2010-06-23,44.95,general admin,Hospitality,18311
175,"Jackson, Glenda",Labour,10_11,2010-12-14,1715.61,general admin,Stationery Purchase,65355
175,"Jackson, Glenda",Labour,10_11,2010-09-15,35,general admin,Other,45036
175,"Jackson, Glenda",Labour,10_11,2011-03-15,467.73,general admin,Stationery Purchase,89660
175,"Jackson, Glenda",Labour,10_11,2011-02-03,426.23,general admin,Stationery Purchase,76461
175,"Jackson, Glenda",Labour,10_11,2011-01-31,31.37,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2010-06-16,38.03,general admin,Payment Telephone/Mobile,28588
175,"Jackson, Glenda",Labour,10_11,2011-01-31,22.51,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2010-09-01,40,constituency rental,Const Office Hire of Premises,42833
175,"Jackson, Glenda",Labour,10_11,2010-11-24,37.55,general admin,Stationery Purchase,65355
175,"Jackson, Glenda",Labour,10_11,2011-02-01,33.36,general admin,Payment Telephone/Mobile,67298
175,"Jackson, Glenda",Labour,10_11,2011-03-04,57.28,general admin,Stationery Purchase,76461
175,"Jackson, Glenda",Labour,10_11,2011-03-17,6,general admin,Stationery Purchase,89660
175,"Jackson, Glenda",Labour,10_11,2011-01-31,17.59,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2011-01-31,8.26,general admin,Stationery Purchase,65922
175,"Jackson, Glenda",Labour,10_11,2011-01-31,737.92,general admin,Stationery Purchase,65922
175,"Jackson, Glenda",Labour,10_11,2011-01-31,-128.5,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2011-03-04,30.86,general admin,Mobile Usage/Rental,89669
175,"Jackson, Glenda",Labour,10_11,2010-08-20,50,constituency rental,Const Office Hire of Premises,45032
175,"Jackson, Glenda",Labour,10_11,2010-09-22,114.15,general admin,Payment Telephone/Mobile,42844
175,"Jackson, Glenda",Labour,10_11,2011-03-04,44.78,general admin,Stationery Purchase,76461
175,"Jackson, Glenda",Labour,10_11,2010-08-16,18.21,general admin,Payment Telephone/Mobile,44977
175,"Jackson, Glenda",Labour,10_11,2011-03-04,32.04,general admin,Payment Telephone/Mobile,76273
175,"Jackson, Glenda",Labour,10_11,2010-11-25,5.56,general admin,Stationery Purchase,65355
175,"Jackson, Glenda",Labour,10_11,2010-08-16,28.8,general admin,Payment Telephone/Mobile,45701
175,"Jackson, Glenda",Labour,10_11,2011-01-31,34.62,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,10_11,2010-11-16,28.71,general admin,Payment Telephone/Mobile,65375
175,"Jackson, Glenda",Labour,10_11,2011-03-29,-3.58,general admin,Mobile Usage/Rental,89669
175,"Jackson, Glenda",Labour,10_11,2011-01-31,728.5,general admin,Stationery Purchase,44979
175,"Jackson, Glenda",Labour,11_12,2011-07-11,4.55,staffing,Food & Drink Intern/Volunteer,108332
175,"Jackson, Glenda",Labour,11_12,2012-03-21,110,office costs,Const Office Hire of Premises,0000160102
175,"Jackson, Glenda",Labour,11_12,2011-09-28,0.65,staffing,Food & Drink Intern/Volunteer,119314
175,"Jackson, Glenda",Labour,11_12,2011-11-09,10.01,staffing,Food & Drink Intern/Volunteer,131184
175,"Jackson, Glenda",Labour,11_12,2011-07-06,4.1,staffing,Food & Drink Intern/Volunteer,108182
175,"Jackson, Glenda",Labour,11_12,2011-12-14,4.3,staffing,Food & Drink Intern/Volunteer,0000138631
175,"Jackson, Glenda",Labour,11_12,2011-11-09,5.85,staffing,Food & Drink Intern/Volunteer,131195
175,"Jackson, Glenda",Labour,11_12,2011-07-26,9.17,office costs,Stationery Purchase,107705
175,"Jackson, Glenda",Labour,11_12,2011-05-16,15.52,office costs,Mobile Usage/Rental,89669
175,"Jackson, Glenda",Labour,11_12,2011-07-13,19,travel,Taxi MP Staff,116875
175,"Jackson, Glenda",Labour,11_12,2011-09-22,10,staffing,Public Tr UND Int/Volntr,118106
175,"Jackson, Glenda",Labour,11_12,2012-02-21,10.6,staffing,Public Tr UND Int/Volntr,0000153747
175,"Jackson, Glenda",Labour,11_12,2012-02-20,4.45,staffing,Food & Drink Int/Volntr,0000153747
175,"Jackson, Glenda",Labour,11_12,2012-02-23,7,staffing,Public Tr UND Int/Volntr,0000156674
175,"Jackson, Glenda",Labour,11_12,2011-09-28,27.6,staffing,Public Tr UND Int/Volntr,119314
175,"Jackson, Glenda",Labour,11_12,2012-02-21,5.3,staffing,Food & Drink Int/Volntr,0000153229
175,"Jackson, Glenda",Labour,11_12,2011-10-13,3.3,staffing,Food & Drink Intern/Volunteer,123717
175,"Jackson, Glenda",Labour,11_12,2011-06-29,3.85,staffing,Food & Drink Intern/Volunteer,108182
175,"Jackson, Glenda",Labour,11_12,2012-02-21,6,staffing,Food & Drink Int/Volntr,0000153234
175,"Jackson, Glenda",Labour,11_12,2011-11-24,0.75,staffing,Food & Drink Intern/Volunteer,0000135604
175,"Jackson, Glenda",Labour,11_12,2011-12-22,27.6,staffing,Public Tr UND Int/Volntr,0000140126
175,"Jackson, Glenda",Labour,11_12,2011-11-29,4.5,staffing,Food & Drink Intern/Volunteer,0000135596
175,"Jackson, Glenda",Labour,11_12,2011-09-11,19.3,staffing,Public Tr UND Int/Volntr,118098
175,"Jackson, Glenda",Labour,11_12,2011-11-22,4.25,staffing,Food & Drink Intern/Volunteer,0000132773
175,"Jackson, Glenda",Labour,11_12,2011-12-05,27.6,staffing,Public Tr UND Int/Volntr,0000138638
175,"Jackson, Glenda",Labour,11_12,2011-12-19,5,staffing,Food & Drink Intern/Volunteer,0000139742
175,"Jackson, Glenda",Labour,11_12,2011-07-16,18.6,office costs,Payment Telephone/Mobile,107660
175,"Jackson, Glenda",Labour,11_12,2012-01-30,7,staffing,Public Tr UND Int/Volntr,0000147804
175,"Jackson, Glenda",Labour,11_12,2011-06-09,29.9,staffing,Health and Welfare Costs,99433
175,"Jackson, Glenda",Labour,11_12,2012-01-30,0.95,staffing,Food & Drink Int/Volntr,0000147814
175,"Jackson, Glenda",Labour,11_12,2011-10-05,3.9,staffing,Food & Drink Intern/Volunteer,123717
175,"Jackson, Glenda",Labour,11_12,2011-09-21,4.15,staffing,Food & Drink Intern/Volunteer,118106
175,"Jackson, Glenda",Labour,11_12,2012-02-06,7,staffing,Public Tr UND Int/Volntr,0000151017
175,"Jackson, Glenda",Labour,11_12,2012-02-20,5.6,staffing,Food & Drink Int/Volntr,0000153229
175,"Jackson, Glenda",Labour,11_12,2012-03-09,5.4,staffing,Food & Drink Intern/Volunteer,0000159643
175,"Jackson, Glenda",Labour,11_12,2011-07-26,16.67,office costs,Stationery Purchase,107705
175,"Jackson, Glenda",Labour,11_12,2012-02-01,112.2,staffing,Public Tr UND Int/Volntr,0000152592
175,"Jackson, Glenda",Labour,11_12,2012-02-15,41.55,office costs,Stationery Purchase,0000152307
175,"Jackson, Glenda",Labour,11_12,2012-02-28,7,staffing,Public Tr UND Int/Volntr,0000156674
175,"Jackson, Glenda",Labour,11_12,2012-02-28,16,staffing,Public Tr UND Int/Volntr,0000155929
175,"Jackson, Glenda",Labour,11_12,2012-03-27,1.6,staffing,Food & Drink Intern/Volunteer,0000164614
175,"Jackson, Glenda",Labour,11_12,2011-12-19,2.75,staffing,Food & Drink Intern/Volunteer,0000139748
175,"Jackson, Glenda",Labour,11_12,2011-10-05,4.4,staffing,Food & Drink Intern/Volunteer,122210
175,"Jackson, Glenda",Labour,11_12,2011-11-23,4.55,staffing,Food & Drink Intern/Volunteer,0000133750
175,"Jackson, Glenda",Labour,11_12,2011-09-20,18.6,office costs,Payment Telephone/Mobile,117840
175,"Jackson, Glenda",Labour,11_12,2011-11-07,3.55,staffing,Food & Drink Intern/Volunteer,131184
175,"Jackson, Glenda",Labour,11_12,2011-06-22,12.4,staffing,Public Tr Bus Int/Volntr,108182
175,"Jackson, Glenda",Labour,11_12,2011-09-01,10,staffing,Public Tr UND Int/Volntr,116806
175,"Jackson, Glenda",Labour,11_12,2012-03-05,648.35,office costs,Computer SW Purchase,0000156669
175,"Jackson, Glenda",Labour,11_12,2012-01-24,5.15,staffing,Food & Drink Int/Volntr,0000147804
175,"Jackson, Glenda",Labour,11_12,2012-03-11,30,staffing,Public Tr UND Int/Volntr,0000159646
175,"Jackson, Glenda",Labour,11_12,2012-03-15,4.2,staffing,Food & Drink Intern/Volunteer,0000159646
175,"Jackson, Glenda",Labour,11_12,2012-02-01,4.25,staffing,Food & Drink Int/Volntr,0000151028
175,"Jackson, Glenda",Labour,11_12,2012-02-20,5.6,staffing,Public Tr UND Int/Volntr,0000153234
175,"Jackson, Glenda",Labour,11_12,2011-10-18,3.2,staffing,Food & Drink Intern/Volunteer,125103
175,"Jackson, Glenda",Labour,11_12,2011-11-23,0.75,staffing,Food & Drink Intern/Volunteer,0000133738
175,"Jackson, Glenda",Labour,11_12,2012-02-09,5,staffing,Food & Drink Int/Volntr,0000152312
175,"Jackson, Glenda",Labour,11_12,2011-09-05,10,staffing,Public Tr UND Int/Volntr,116806
175,"Jackson, Glenda",Labour,11_12,2011-06-30,3.1,staffing,Food & Drink Intern/Volunteer,108338
175,"Jackson, Glenda",Labour,11_12,2012-03-07,4.6,staffing,Food & Drink Intern/Volunteer,0000160098
175,"Jackson, Glenda",Labour,11_12,2011-09-13,1.25,staffing,Food & Drink Intern/Volunteer,117820
175,"Jackson, Glenda",Labour,11_12,2011-11-17,495,office costs,Const Office Hire of Premises,0000131939
175,"Jackson, Glenda",Labour,11_12,2012-01-16,5.25,staffing,Food & Drink Intern/Volunteer,0000145452
175,"Jackson, Glenda",Labour,11_12,2011-07-06,19.3,staffing,Public Tr UND Int/Volntr,108182
175,"Jackson, Glenda",Labour,11_12,2011-12-14,5.05,staffing,Food & Drink Intern/Volunteer,0000139748
175,"Jackson, Glenda",Labour,11_12,2011-07-14,19.3,staffing,Public Tr UND Int/Volntr,108182
175,"Jackson, Glenda",Labour,11_12,2011-07-27,4.95,staffing,Food & Drink Intern/Volunteer,108182
175,"Jackson, Glenda",Labour,11_12,2011-09-14,18.6,office costs,Payment Telephone/Mobile,116874
175,"Jackson, Glenda",Labour,11_12,2011-11-17,6,office costs,Stationery Purchase,131942
175,"Jackson, Glenda",Labour,11_12,2011-11-14,27.6,staffing,Public Tr UND Int/Volntr,131485
175,"Jackson, Glenda",Labour,11_12,2011-11-09,25,travel,Taxi MP Staff,130326
175,"Jackson, Glenda",Labour,11_12,2011-12-16,7.5,staffing,Food & Drink Intern/Volunteer,0000140126
175,"Jackson, Glenda",Labour,11_12,2011-09-15,4.2,staffing,Food & Drink Intern/Volunteer,117613
175,"Jackson, Glenda",Labour,11_12,2011-07-05,3.45,staffing,Food & Drink Intern/Volunteer,108332
175,"Jackson, Glenda",Labour,11_12,2011-12-13,5,staffing,Food & Drink Intern/Volunteer,0000138233
175,"Jackson, Glenda",Labour,11_12,2011-11-02,3.95,staffing,Food & Drink Intern/Volunteer,128549
175,"Jackson, Glenda",Labour,11_12,2011-09-08,4.35,staffing,Food & Drink Intern/Volunteer,117820
175,"Jackson, Glenda",Labour,11_12,2011-07-25,3.9,staffing,Food & Drink Intern/Volunteer,108324
175,"Jackson, Glenda",Labour,11_12,2011-06-22,18.6,office costs,Payment Telephone/Mobile,99432
175,"Jackson, Glenda",Labour,11_12,2012-03-21,79.13,office costs,Stationery Purchase,0000160104
175,"Jackson, Glenda",Labour,11_12,2011-11-24,0.95,staffing,Food & Drink Intern/Volunteer,0000133750
175,"Jackson, Glenda",Labour,11_12,2011-10-06,2.95,staffing,Food & Drink Intern/Volunteer,122217
175,"Jackson, Glenda",Labour,11_12,2012-01-16,3.75,staffing,Food & Drink Int/Volntr,0000146444
175,"Jackson, Glenda",Labour,11_12,2011-12-14,3.45,staffing,Food & Drink Intern/Volunteer,0000139742
175,"Jackson, Glenda",Labour,11_12,2012-03-05,639,office costs,Computer HW Purchase,0000156669
175,"Jackson, Glenda",Labour,11_12,2011-12-01,27.6,staffing,Public Tr UND Int/Volntr,0000136678
175,"Jackson, Glenda",Labour,11_12,2011-10-19,14.5,staffing,Public Tr UND Int/Volntr,125109
175,"Jackson, Glenda",Labour,11_12,2011-09-20,19.3,staffing,Public Tr UND Int/Volntr,118098
175,"Jackson, Glenda",Labour,11_12,2011-11-14,0.6,staffing,Food & Drink Intern/Volunteer,131952
175,"Jackson, Glenda",Labour,11_12,2011-12-12,4.9,staffing,Food & Drink Intern/Volunteer,0000138233
175,"Jackson, Glenda",Labour,11_12,2011-07-07,4.55,staffing,Food & Drink Intern/Volunteer,108332
175,"Jackson, Glenda",Labour,11_12,2011-11-22,3.95,staffing,Food & Drink Intern/Volunteer,0000132762
175,"Jackson, Glenda",Labour,11_12,2012-02-07,5.05,staffing,Food & Drink Int/Volntr,0000151039
175,"Jackson, Glenda",Labour,11_12,2011-09-15,4.8,staffing,Food & Drink Intern/Volunteer,117820
175,"Jackson, Glenda",Labour,11_12,2012-03-15,5,staffing,Food & Drink Intern/Volunteer,0000159649
175,"Jackson, Glenda",Labour,11_12,2011-09-14,4,staffing,Food & Drink Intern/Volunteer,117613
175,"Jackson, Glenda",Labour,11_12,2011-09-08,0.6,staffing,Food & Drink Intern/Volunteer,117820
175,"Jackson, Glenda",Labour,11_12,2012-01-31,1.2,staffing,Food & Drink Int/Volntr,0000151048
175,"Jackson, Glenda",Labour,11_12,2011-11-09,9.56,staffing,Food & Drink Intern/Volunteer,131485
175,"Jackson, Glenda",Labour,11_12,2011-09-28,1.5,staffing,Food & Drink Intern/Volunteer,118783
175,"Jackson, Glenda",Labour,11_12,2011-09-14,18.6,office costs,Payment Telephone/Mobile,116874
175,"Jackson, Glenda",Labour,11_12,2012-02-05,23.9,staffing,Public Tr UND Int/Volntr,0000155672
175,"Jackson, Glenda",Labour,11_12,2012-03-21,165,office costs,Const Office Hire of Premises,0000160102
175,"Jackson, Glenda",Labour,11_12,2011-11-23,3.55,staffing,Food & Drink Intern/Volunteer,0000133738
175,"Jackson, Glenda",Labour,11_12,2012-02-21,3.4,staffing,Food & Drink Int/Volntr,0000155919
175,"Jackson, Glenda",Labour,11_12,2011-11-10,2.95,staffing,Food & Drink Intern/Volunteer,131485
175,"Jackson, Glenda",Labour,11_12,2011-09-27,4.65,staffing,Food & Drink Intern/Volunteer,119314
175,"Jackson, Glenda",Labour,11_12,2012-01-10,8.4,staffing,Public Tr UND Int/Volntr,0000146444
175,"Jackson, Glenda",Labour,11_12,2011-12-13,15,staffing,Public Tr UND Int/Volntr,0000142115
175,"Jackson, Glenda",Labour,11_12,2011-06-27,2.9,staffing,Food & Drink Intern/Volunteer,108338
175,"Jackson, Glenda",Labour,11_12,2011-06-30,74.2,staffing,Public Tr UND Int/Volntr,108324
175,"Jackson, Glenda",Labour,11_12,2011-11-28,4,staffing,Food & Drink Intern/Volunteer,0000133756
175,"Jackson, Glenda",Labour,11_12,2012-02-21,18.6,office costs,Mobile Usage/Rental,0000155917
175,"Jackson, Glenda",Labour,11_12,2012-02-13,5.54,staffing,Food & Drink Int/Volntr,0000153229
175,"Jackson, Glenda",Labour,11_12,2012-03-15,566.35,office costs,Stationery Purchase,0000159117
175,"Jackson, Glenda",Labour,11_12,2011-12-15,14.5,staffing,Public Tr Bus Int/Volntr,0000139748
175,"Jackson, Glenda",Labour,11_12,2011-11-21,0.6,staffing,Food & Drink Intern/Volunteer,0000132773
175,"Jackson, Glenda",Labour,11_12,2011-09-09,120,office costs,Const Office Hire of Premises,117832
175,"Jackson, Glenda",Labour,11_12,2012-01-15,7,staffing,Public Tr UND Int/Volntr,0000147804
175,"Jackson, Glenda",Labour,11_12,2011-09-01,3.65,staffing,Food & Drink Intern/Volunteer,116806
175,"Jackson, Glenda",Labour,11_12,2011-07-27,5.8,staffing,Food & Drink Intern/Volunteer,116806
175,"Jackson, Glenda",Labour,11_12,2012-02-21,6,staffing,Public Tr UND Int/Volntr,0000155919
175,"Jackson, Glenda",Labour,11_12,2011-11-02,0.6,staffing,Food & Drink Intern/Volunteer,128547
175,"Jackson, Glenda",Labour,11_12,2011-10-03,4.75,staffing,Food & Drink Intern/Volunteer,122376
175,"Jackson, Glenda",Labour,11_12,2012-01-24,3.6,staffing,Food & Drink Int/Volntr,0000146659
175,"Jackson, Glenda",Labour,11_12,2011-07-04,380,staffing,Reward and Recognition Payment,101646
175,"Jackson, Glenda",Labour,11_12,2011-09-28,3.6,staffing,Food & Drink Intern/Volunteer,118783
175,"Jackson, Glenda",Labour,11_12,2011-11-16,1.35,staffing,Food & Drink Intern/Volunteer,0000132773
175,"Jackson, Glenda",Labour,11_12,2011-10-19,16.73,office costs,Hospitality,125101
175,"Jackson, Glenda",Labour,11_12,2012-02-13,34.2,staffing,Public Tr UND Int/Volntr,0000153747
175,"Jackson, Glenda",Labour,11_12,2011-12-08,5.1,staffing,Food & Drink Intern/Volunteer,0000138645
175,"Jackson, Glenda",Labour,11_12,2012-02-16,5,staffing,Public Tr UND Int/Volntr,0000152594
175,"Jackson, Glenda",Labour,11_12,2011-07-19,5.3,staffing,Public Tr UND Int/Volntr,116806
175,"Jackson, Glenda",Labour,11_12,2011-10-31,27.6,staffing,Public Tr UND Int/Volntr,128549
175,"Jackson, Glenda",Labour,11_12,2011-06-22,19.39,office costs,Payment Telephone/Mobile,99432
175,"Jackson, Glenda",Labour,11_12,2011-07-28,5.1,staffing,Food & Drink Intern/Volunteer,116806
175,"Jackson, Glenda",Labour,11_12,2012-01-19,7,staffing,Public Tr UND Int/Volntr,0000148386
175,"Jackson, Glenda",Labour,11_12,2011-07-26,6.88,office costs,Stationery Purchase,107705
175,"Jackson, Glenda",Labour,11_12,2012-02-06,4.45,staffing,Food & Drink Int/Volntr,0000151017
175,"Jackson, Glenda",Labour,11_12,2011-05-16,100,constituency rental,Const Office Hire of Premises,90506
175,"Jackson, Glenda",Labour,11_12,2012-02-20,7,staffing,Public Tr UND Int/Volntr,0000153229
175,"Jackson, Glenda",Labour,11_12,2012-03-15,1.7,staffing,Food & Drink Intern/Volunteer,0000159646
175,"Jackson, Glenda",Labour,11_12,2011-10-31,5.2,staffing,Food & Drink Intern/Volunteer,128549
175,"Jackson, Glenda",Labour,11_12,2011-12-12,2.7,staffing,Food & Drink Intern/Volunteer,0000138631
175,"Jackson, Glenda",Labour,11_12,2011-07-26,13.75,office costs,Stationery Purchase,107705
175,"Jackson, Glenda",Labour,11_12,2011-07-27,10,staffing,Public Tr UND Int/Volntr,116806
175,"Jackson, Glenda",Labour,11_12,2011-09-13,3.1,staffing,Food & Drink Intern/Volunteer,118098
175,"Jackson, Glenda",Labour,11_12,2012-02-21,7,staffing,Public Tr UND Int/Volntr,0000156674
175,"Jackson, Glenda",Labour,11_12,2011-12-07,2.45,staffing,Food & Drink Intern/Volunteer,0000138233
175,"Jackson, Glenda",Labour,11_12,2012-02-02,3,staffing,Food & Drink Int/Volntr,0000148386
175,"Jackson, Glenda",Labour,11_12,2012-02-23,3.45,staffing,Food & Drink Int/Volntr,0000156674
175,"Jackson, Glenda",Labour,11_12,2011-09-26,19.3,staffing,Public Tr UND Int/Volntr,119310
175,"Jackson, Glenda",Labour,11_12,2011-09-07,1.2,staffing,Food & Drink Intern/Volunteer,116818
175,"Jackson, Glenda",Labour,11_12,2011-12-07,5.15,staffing,Food & Drink Intern/Volunteer,0000138631
175,"Jackson, Glenda",Labour,11_12,2012-01-10,359.98,office costs,Stationery Purchase,0000142120
175,"Jackson, Glenda",Labour,11_12,2011-10-05,27.6,staffing,Public Tr UND Int/Volntr,119314
175,"Jackson, Glenda",Labour,11_12,2012-01-21,5,staffing,Food & Drink Int/Volntr,0000146643
175,"Jackson, Glenda",Labour,11_12,2011-09-12,4.25,staffing,Food & Drink Intern/Volunteer,117820
175,"Jackson, Glenda",Labour,11_12,2011-12-13,90,office costs,Professional Services,0000138234
175,"Jackson, Glenda",Labour,11_12,2012-01-12,3.15,staffing,Food & Drink Int/Volntr,0000146444
175,"Jackson, Glenda",Labour,11_12,2011-09-20,5.5,staffing,Food & Drink Intern/Volunteer,118106
175,"Jackson, Glenda",Labour,11_12,2011-07-19,1.45,staffing,Food & Drink Intern/Volunteer,116806
175,"Jackson, Glenda",Labour,11_12,2011-11-21,3.7,staffing,Food & Drink Intern/Volunteer,0000133756
175,"Jackson, Glenda",Labour,11_12,2011-06-20,4.65,staffing,Food & Drink Intern/Volunteer,108324
175,"Jackson, Glenda",Labour,11_12,2011-09-20,1.85,staffing,Food & Drink Intern/Volunteer,117820
175,"Jackson, Glenda",Labour,11_12,2011-10-05,0.6,staffing,Food & Drink Intern/Volunteer,123717
175,"Jackson, Glenda",Labour,11_12,2012-03-21,35.14,office costs,Payment Telephone/Mobile,0000160107
175,"Jackson, Glenda",Labour,11_12,2011-11-24,0.95,staffing,Food & Drink Intern/Volunteer,0000138230
175,"Jackson, Glenda",Labour,11_12,2011-11-16,15.18,office costs,Stationery Purchase,131722
175,"Jackson, Glenda",Labour,11_12,2011-10-04,4.85,staffing,Food & Drink Intern/Volunteer,119314
175,"Jackson, Glenda",Labour,11_12,2011-11-29,4.8,staffing,Food & Drink Intern/Volunteer,0000135603
175,"Jackson, Glenda",Labour,11_12,2011-09-06,3.55,staffing,Food & Drink Intern/Volunteer,118098
175,"Jackson, Glenda",Labour,11_12,2011-11-14,4.35,staffing,Food & Drink Intern/Volunteer,131669
175,"Jackson, Glenda",Labour,11_12,2012-01-24,16,staffing,Public Tr UND Int/Volntr,0000147813
175,"Jackson, Glenda",Labour,11_12,2011-10-19,4.2,staffing,Food & Drink Intern/Volunteer,125103
