id,list_name,party,session,date,value,category,description,claim_number
1551,"Jackson, Stewart",Conservative,11_12,2011-06-28,23.9,travel,Public Tr RAIL MP Staff - SGL,100645
1551,"Jackson, Stewart",Conservative,12_13,2012-09-02,-39.5,travel,Public Tr RAIL - SGL,0000209613
1551,"Jackson, Stewart",Conservative,12_13,2012-11-28,107.4,travel,Public Tr RAIL - RTN,0000235245
1551,"Jackson, Stewart",Conservative,12_13,2012-09-25,106.7,travel,Public Tr RAIL - RTN,0000219164
1551,"Jackson, Stewart",Conservative,12_13,2012-04-24,30,travel,Public Tr UND,0000172218
1551,"Jackson, Stewart",Conservative,12_13,2012-07-16,99,travel,Public Tr RAIL Dependant - RTN,0000196344
1551,"Jackson, Stewart",Conservative,12_13,2013-03-20,30,travel,Public Tr RAIL MP Staff - SGL,0000252489
1551,"Jackson, Stewart",Conservative,12_13,2012-07-20,72,office costs,Tel/Mobile Purchase,0000198389
1551,"Jackson, Stewart",Conservative,10_11,2011-03-14,18.15,travel,Public Tr RAIL MP Staff - SGL,89070
1551,"Jackson, Stewart",Conservative,10_11,2011-01-07,0.2,travel,Own Bicycle MP Staff,73043
1551,"Jackson, Stewart",Conservative,10_11,2010-06-11,34.4,travel,Own Car MP,21537
1551,"Jackson, Stewart",Conservative,10_11,2010-09-07,10.45,travel,Food & Drink @ Parliament,30111
1551,"Jackson, Stewart",Conservative,10_11,2010-11-09,224,accommodation,Electricity,60109
1551,"Jackson, Stewart",Conservative,10_11,2010-10-01,198,accommodation,Council Tax,39291
1551,"Jackson, Stewart",Conservative,10_11,2010-11-15,34.4,travel,Own Car MP,49107
1551,"Jackson, Stewart",Conservative,10_11,2010-10-17,34.4,travel,Own Car MP,49107
1551,"Jackson, Stewart",Conservative,10_11,2010-09-06,10.7,travel,Food & Drink @ Parliament,30106
1551,"Jackson, Stewart",Conservative,10_11,2010-12-05,34.4,travel,Own Car MP,60133
1551,"Jackson, Stewart",Conservative,10_11,2010-10-18,17.15,travel,Public Tr RAIL MP Staff - SGL,40555
1551,"Jackson, Stewart",Conservative,10_11,2010-07-12,87,travel,Public Tr RAIL - RTN,19387
1551,"Jackson, Stewart",Conservative,10_11,2010-10-06,87,travel,Public Tr RAIL - RTN,44372
1551,"Jackson, Stewart",Conservative,10_11,2011-01-07,0.4,travel,Own Bicycle MP Staff,73043
1551,"Jackson, Stewart",Conservative,10_11,2010-09-01,34.4,travel,Own Car MP,38948
1551,"Jackson, Stewart",Conservative,10_11,2011-03-07,20,travel,Public Tr Underground MP,81991
1551,"Jackson, Stewart",Conservative,10_11,2010-05-07,42.84,accommodation,Water,25359
1551,"Jackson, Stewart",Conservative,10_11,2010-09-27,62.2,travel,Public Tr RAIL - RTN,44372
1551,"Jackson, Stewart",Conservative,10_11,2011-02-06,34.4,travel,Own Car MP,72929
1551,"Jackson, Stewart",Conservative,10_11,2011-01-21,47,travel,Public Tr RAIL - SGL,66678
1551,"Jackson, Stewart",Conservative,10_11,2010-06-14,175,staffing,Professional Services (Staff.),16743
1551,"Jackson, Stewart",Conservative,10_11,2010-11-16,1230.13,accommodation,Mortgage Interest,49117
1551,"Jackson, Stewart",Conservative,10_11,2010-07-16,1230.13,accommodation,Mortgage Interest,22787
1551,"Jackson, Stewart",Conservative,10_11,2010-11-01,2.95,staffing,Food & Drink Intern/Volunteer,52052
1551,"Jackson, Stewart",Conservative,10_11,2010-08-16,12.25,accommodation,Television Installation/Rental,30291
1551,"Jackson, Stewart",Conservative,10_11,2011-02-02,116.84,general admin,Stationery Purchase,72970
1551,"Jackson, Stewart",Conservative,10_11,2011-01-10,101.83,general admin,Telephone/Mobile Hire,76515
1551,"Jackson, Stewart",Conservative,10_11,2011-01-01,558.33,constituency rental,Const Office Rent,72883
1551,"Jackson, Stewart",Conservative,10_11,2011-02-01,226,accommodation,Electricity,81132
1551,"Jackson, Stewart",Conservative,10_11,2010-09-27,34.4,travel,Own Car MP,38976
1551,"Jackson, Stewart",Conservative,10_11,2010-10-15,558.33,constituency rental,Const Office Rent,40576
1551,"Jackson, Stewart",Conservative,10_11,2010-08-30,34.4,travel,Own Car MP,30144
1551,"Jackson, Stewart",Conservative,10_11,2010-10-26,3.6,staffing,Food & Drink Intern/Volunteer,52052
1551,"Jackson, Stewart",Conservative,10_11,2010-12-01,198,accommodation,Council Tax,52277
1551,"Jackson, Stewart",Conservative,10_11,2010-10-29,2.8,travel,Own Car MP,49107
1551,"Jackson, Stewart",Conservative,10_11,2010-11-02,45,travel,Taxi MP,49230
1551,"Jackson, Stewart",Conservative,10_11,2010-07-23,34.4,travel,Own Car MP,21559
1551,"Jackson, Stewart",Conservative,10_11,2010-10-08,34.4,travel,Own Car MP,49107
1551,"Jackson, Stewart",Conservative,10_11,2010-10-15,98.87,constituency rental,Const Office Tel. Usage/Rental,40945
1551,"Jackson, Stewart",Conservative,10_11,2011-02-04,34.4,travel,Own Car MP,72929
1551,"Jackson, Stewart",Conservative,10_11,2011-03-02,35,general admin,Professional Services,72994
1551,"Jackson, Stewart",Conservative,10_11,2010-07-06,87,travel,Public Tr RAIL - RTN,19387
1551,"Jackson, Stewart",Conservative,10_11,2010-12-06,17.15,travel,Public Tr RAIL MP Staff - SGL,56492
1551,"Jackson, Stewart",Conservative,10_11,2011-02-04,27.9,travel,Public Tr RAIL - SGL,73980
1551,"Jackson, Stewart",Conservative,10_11,2010-07-01,198,accommodation,Council Tax,25342
1551,"Jackson, Stewart",Conservative,10_11,2011-02-10,112.6,general admin,Telephone/Mobile Hire,72981
1551,"Jackson, Stewart",Conservative,10_11,2010-06-28,17.15,travel,Public Tr RAIL MP Staff - SGL,22855
1551,"Jackson, Stewart",Conservative,10_11,2010-10-18,4.45,staffing,Food & Drink Intern/Volunteer,52052
1551,"Jackson, Stewart",Conservative,10_11,2010-09-22,62.2,travel,Public Tr RAIL - RTN,37632
1551,"Jackson, Stewart",Conservative,10_11,2010-10-18,12.25,accommodation,Internet,51848
1551,"Jackson, Stewart",Conservative,10_11,2010-10-28,25.9,travel,Public Tr RAIL - SGL,54579
1551,"Jackson, Stewart",Conservative,10_11,2010-11-30,17.15,travel,Public Tr RAIL MP Staff - SGL,52411
1551,"Jackson, Stewart",Conservative,10_11,2010-06-06,34.4,travel,Own Car MP,21534
1551,"Jackson, Stewart",Conservative,10_11,2011-01-01,175,staffing,Professional Services (Staff.),72888
1551,"Jackson, Stewart",Conservative,10_11,2010-11-25,62.2,travel,Public Tr RAIL - RTN,62038
1551,"Jackson, Stewart",Conservative,10_11,2010-12-03,7,travel,Taxi MP,56013
1551,"Jackson, Stewart",Conservative,10_11,2010-10-15,87,travel,Public Tr RAIL - RTN,44372
1551,"Jackson, Stewart",Conservative,10_11,2011-01-31,18.15,travel,Public Tr RAIL MP Staff - SGL,73021
1551,"Jackson, Stewart",Conservative,10_11,2010-09-07,42,travel,Taxi After Late Sitting,30662
1551,"Jackson, Stewart",Conservative,10_11,2011-01-28,34.4,travel,Own Car MP,72923
1551,"Jackson, Stewart",Conservative,10_11,2010-06-13,34.4,travel,Own Car MP,21539
1551,"Jackson, Stewart",Conservative,10_11,2010-05-17,1230.13,accommodation,Mortgage Interest,22298
