id,list_name,party,session,date,value,category,description,claim_number
3945,"Javid, Sajid",Conservative,12_13,2013-03-18,306.58,office costs,Stationery Purchase,Payment to Supplier
3945,"Javid, Sajid",Conservative,12_13,2012-07-05,600,office costs,Professional Services,0000185265
3945,"Javid, Sajid",Conservative,12_13,2012-07-11,25,office costs,Venue Hire Surgery/Meeting,0000210996
3945,"Javid, Sajid",Conservative,12_13,2012-11-07,705.4,office costs,Stationery Purchase,0000227348
3945,"Javid, Sajid",Conservative,12_13,2012-07-13,107.1,travel,Own Vehicle Car,0000205079
3945,"Javid, Sajid",Conservative,12_13,2013-02-22,107.1,travel,Own Vehicle Car,0000251683
3945,"Javid, Sajid",Conservative,10_11,2011-02-08,84.6,general admin,Stationery Purchase,76895
3945,"Javid, Sajid",Conservative,10_11,2010-11-26,95.2,travel,Own Car MP,58621
3945,"Javid, Sajid",Conservative,10_11,2011-02-02,84.66,general admin,Stationery Purchase,76895
3945,"Javid, Sajid",Conservative,10_11,2011-03-11,96.8,travel,Own Car MP Staff,76870
3945,"Javid, Sajid",Conservative,10_11,2010-08-07,1762.5,general admin,Computer SW Purchase,45735
3945,"Javid, Sajid",Conservative,10_11,2010-10-19,3.3,general admin,Stationery Purchase,47272
3945,"Javid, Sajid",Conservative,10_11,2010-10-08,7.9,travel,Public Tr RAIL Other MP Staff,58929
3945,"Javid, Sajid",Conservative,10_11,2010-10-07,96.8,travel,Own Car MP Staff,48175
3945,"Javid, Sajid",Conservative,10_11,2010-11-03,101.05,general admin,Stationery Purchase,58626
3945,"Javid, Sajid",Conservative,10_11,2010-07-15,131.6,general admin,Stationery Purchase,32444
3945,"Javid, Sajid",Conservative,10_11,2010-09-01,425,constituency rental,Const Office Rent,45744
3945,"Javid, Sajid",Conservative,10_11,2010-11-23,13.1,general admin,Stationery Purchase,58626
3945,"Javid, Sajid",Conservative,10_11,2010-08-11,94.59,general admin,Stationery Purchase,46420
3945,"Javid, Sajid",Conservative,10_11,2010-10-21,0.97,general admin,Postage Purchase,45554
3945,"Javid, Sajid",Conservative,10_11,2010-05-24,3877.5,staffing,Pooled Staffing Services,4450
3945,"Javid, Sajid",Conservative,10_11,2011-03-29,95.2,travel,Own Car MP,93391
3945,"Javid, Sajid",Conservative,10_11,2010-07-02,95.2,travel,Own Car MP,10423
3945,"Javid, Sajid",Conservative,10_11,2010-10-07,103.4,general admin,Stationery Purchase,58626
3945,"Javid, Sajid",Conservative,10_11,2010-09-25,95.2,travel,Own Car MP,45779
3945,"Javid, Sajid",Conservative,10_11,2011-02-11,95.2,travel,Own Car MP,76871
3945,"Javid, Sajid",Conservative,10_11,2011-01-26,2.91,general admin,Postage Purchase,70478
3945,"Javid, Sajid",Conservative,10_11,2011-03-17,778.25,general admin,Stationery Purchase,79880
3945,"Javid, Sajid",Conservative,10_11,2011-02-01,9.47,general admin,Stationery Purchase,76895
3945,"Javid, Sajid",Conservative,10_11,2011-03-02,123.63,constituency rental,Const Office Tel. Usage/Rental,76864
3945,"Javid, Sajid",Conservative,10_11,2011-01-18,39.99,general admin,Stationery Purchase,70478
3945,"Javid, Sajid",Conservative,10_11,2010-09-17,95.2,travel,Own Car MP,45779
3945,"Javid, Sajid",Conservative,10_11,2010-09-10,95.2,travel,Own Car MP,45779
3945,"Javid, Sajid",Conservative,10_11,2011-03-25,95.2,travel,Own Car MP,93391
3945,"Javid, Sajid",Conservative,10_11,2010-07-15,150.97,general admin,Stationery Purchase,32444
3945,"Javid, Sajid",Conservative,10_11,2011-01-04,8.95,general admin,Stationery Purchase,70478
3945,"Javid, Sajid",Conservative,10_11,2010-12-10,95.2,travel,Own Car MP,59029
3945,"Javid, Sajid",Conservative,10_11,2011-03-12,2.5,general admin,Stationery Purchase,76895
3945,"Javid, Sajid",Conservative,10_11,2010-10-08,0,travel,Taxi MP Staff,58929
3945,"Javid, Sajid",Conservative,10_11,2010-06-07,522.89,general admin,Stationery Purchase,4458
3945,"Javid, Sajid",Conservative,10_11,2011-03-04,238.17,general admin,Stationery Purchase,79880
3945,"Javid, Sajid",Conservative,10_11,2010-12-17,95.2,travel,Own Car MP,59029
3945,"Javid, Sajid",Conservative,10_11,2010-10-01,95.2,travel,Own Car MP,45779
3945,"Javid, Sajid",Conservative,10_11,2010-06-25,95.2,travel,Own Car MP,10423
3945,"Javid, Sajid",Conservative,10_11,2011-01-28,95.2,travel,Own Car MP,70476
3945,"Javid, Sajid",Conservative,10_11,2011-01-13,48,general admin,Stationery Purchase,70478
3945,"Javid, Sajid",Conservative,10_11,2011-01-20,95.2,travel,Own Car MP,70476
3945,"Javid, Sajid",Conservative,10_11,2011-02-18,95.2,travel,Own Car MP,76871
3945,"Javid, Sajid",Conservative,10_11,2010-05-21,95.2,travel,Own Car MP,10423
3945,"Javid, Sajid",Conservative,10_11,2010-12-07,131.6,general admin,Stationery Purchase,58626
3945,"Javid, Sajid",Conservative,10_11,2011-03-24,34.97,general admin,Stationery Purchase,79880
3945,"Javid, Sajid",Conservative,10_11,2010-08-11,7.64,general admin,Stationery Purchase,46420
3945,"Javid, Sajid",Conservative,10_11,2010-07-07,110.58,general admin,Stationery Purchase,32444
3945,"Javid, Sajid",Conservative,10_11,2011-03-17,248.4,general admin,Stationery Purchase,79880
3945,"Javid, Sajid",Conservative,10_11,2011-02-07,325.51,general admin,Stationery Purchase,70766
3945,"Javid, Sajid",Conservative,10_11,2010-08-28,95.2,travel,Own Car MP,45779
3945,"Javid, Sajid",Conservative,10_11,2010-11-30,15.9,general admin,Stationery Purchase,58626
3945,"Javid, Sajid",Conservative,10_11,2011-02-08,84.66,general admin,Stationery Purchase,76895
3945,"Javid, Sajid",Conservative,10_11,2010-09-24,8.45,general admin,Other,45554
3945,"Javid, Sajid",Conservative,10_11,2011-01-14,95.2,travel,Own Car MP,70476
3945,"Javid, Sajid",Conservative,10_11,2010-06-22,94.24,general admin,Stationery Purchase,32444
3945,"Javid, Sajid",Conservative,10_11,2011-03-11,95.2,travel,Own Car MP,76871
3945,"Javid, Sajid",Conservative,10_11,2011-03-19,95.2,travel,Own Car MP,93391
3945,"Javid, Sajid",Conservative,10_11,2010-11-19,95.2,travel,Own Car MP,58621
