id,list_name,party,session,date,value,category,description,claim_number
159,"Jowell, Tessa",Labour,12_13,2013-01-28,0.49,office costs,Hospitality,0000256469
159,"Jowell, Tessa",Labour,12_13,2012-05-08,2.7,office costs,Hospitality,0000175040
159,"Jowell, Tessa",Labour,12_13,2012-08-09,604.2,office costs,Legal Expenses Insurance,Payment to Supplier
159,"Jowell, Tessa",Labour,12_13,2012-06-11,2,office costs,Hospitality,0000181734
159,"Jowell, Tessa",Labour,10_11,2010-11-01,33,general admin,Other,45800
159,"Jowell, Tessa",Labour,10_11,2011-03-07,47,staffing,Public Tr UND Int/Volntr,78907
159,"Jowell, Tessa",Labour,10_11,2010-06-21,167.14,general admin,Payment Telephone/Mobile,6276
159,"Jowell, Tessa",Labour,10_11,2010-10-30,6.4,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2010-10-25,4.8,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2011-02-25,3.2,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-02-25,3.43,staffing,Food & Drink Intern/Volunteer,73818
159,"Jowell, Tessa",Labour,10_11,2011-03-17,3.46,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2011-03-23,1.35,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2011-02-22,6.4,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-03-26,7.93,general admin,Hospitality,93484
159,"Jowell, Tessa",Labour,10_11,2011-01-31,4.25,general admin,Hospitality,61506
159,"Jowell, Tessa",Labour,10_11,2010-07-08,216,constituency rental,Const Office Rent,12075
159,"Jowell, Tessa",Labour,10_11,2011-03-21,47,staffing,Public Tr UND Int/Volntr,78907
159,"Jowell, Tessa",Labour,10_11,2010-11-25,580.52,general admin,Stationery Purchase,49482
159,"Jowell, Tessa",Labour,10_11,2011-03-11,5.18,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2011-02-09,5,general admin,Hospitality,61506
159,"Jowell, Tessa",Labour,10_11,2011-03-28,9,travel,Congestion Zone/Toll MP,86191
159,"Jowell, Tessa",Labour,10_11,2010-06-24,6.8,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2011-01-05,5.48,general admin,Stationery Purchase,61506
159,"Jowell, Tessa",Labour,10_11,2010-06-18,5.6,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2010-12-11,13.49,general admin,Stationery Purchase,49482
159,"Jowell, Tessa",Labour,10_11,2011-03-11,147.16,general admin,Payment Telephone/Mobile,77808
159,"Jowell, Tessa",Labour,10_11,2010-10-25,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2010-06-16,35,general admin,Other,9361
159,"Jowell, Tessa",Labour,10_11,2010-12-11,10,general admin,Payment Telephone/Mobile,49482
159,"Jowell, Tessa",Labour,10_11,2011-02-22,9,travel,Congestion Zone/Toll MP,78899
159,"Jowell, Tessa",Labour,10_11,2011-03-08,4.64,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2011-01-14,4.8,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-01-09,4.4,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-02-08,155.92,general admin,Payment Telephone/Mobile,61506
159,"Jowell, Tessa",Labour,10_11,2011-03-11,1.2,general admin,Hospitality,93484
159,"Jowell, Tessa",Labour,10_11,2010-09-12,142.72,general admin,Payment Telephone/Mobile,33448
159,"Jowell, Tessa",Labour,10_11,2011-03-03,9,travel,Congestion Zone/Toll MP,78899
159,"Jowell, Tessa",Labour,10_11,2010-12-11,4.99,general admin,Stationery Purchase,49482
159,"Jowell, Tessa",Labour,10_11,2011-03-10,4.4,travel,Own Car MP,93627
159,"Jowell, Tessa",Labour,10_11,2011-03-01,3,staffing,Food & Drink Intern/Volunteer,73818
159,"Jowell, Tessa",Labour,10_11,2010-11-01,23,general admin,Other,45800
159,"Jowell, Tessa",Labour,10_11,2010-11-12,4.8,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2011-02-24,2.88,staffing,Food & Drink Intern/Volunteer,73818
159,"Jowell, Tessa",Labour,10_11,2011-03-15,2.34,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2011-03-28,47,staffing,Public Tr UND Int/Volntr,78907
159,"Jowell, Tessa",Labour,10_11,2011-02-20,3.2,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-02-25,9,travel,Congestion Zone/Toll MP,78899
159,"Jowell, Tessa",Labour,10_11,2011-03-09,168.83,general admin,Payment Telephone/Mobile,72986
159,"Jowell, Tessa",Labour,10_11,2011-03-28,4.4,travel,Own Car MP,93627
159,"Jowell, Tessa",Labour,10_11,2010-05-21,4.8,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2010-09-17,31.25,general admin,Stationery Purchase,31490
159,"Jowell, Tessa",Labour,10_11,2010-10-14,5.2,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2010-06-21,51.02,general admin,Payment Telephone/Mobile,6279
159,"Jowell, Tessa",Labour,10_11,2011-03-28,3.67,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2010-09-24,175.2,general admin,Stationery Purchase,33440
159,"Jowell, Tessa",Labour,10_11,2010-07-05,5.2,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2011-02-21,47,staffing,Public Tr UND Int/Volntr,73818
159,"Jowell, Tessa",Labour,10_11,2011-03-02,3.73,staffing,Food & Drink Intern/Volunteer,73818
159,"Jowell, Tessa",Labour,10_11,2011-03-24,240,general admin,Professional Services,77808
159,"Jowell, Tessa",Labour,10_11,2010-12-09,146.38,general admin,Payment Telephone/Mobile,49482
159,"Jowell, Tessa",Labour,10_11,2010-06-04,5.6,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2010-08-01,836,general admin,Other,31726
159,"Jowell, Tessa",Labour,10_11,2011-02-28,47,staffing,Public Tr UND Int/Volntr,73818
159,"Jowell, Tessa",Labour,10_11,2010-11-10,335,general admin,Computer SW Purchase,45800
159,"Jowell, Tessa",Labour,10_11,2011-03-29,2.75,staffing,Food & Drink Intern/Volunteer,86178
159,"Jowell, Tessa",Labour,10_11,2011-03-14,47,staffing,Public Tr UND Int/Volntr,78907
159,"Jowell, Tessa",Labour,10_11,2010-09-11,4.8,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2010-06-25,4.4,travel,Own Car MP,30886
159,"Jowell, Tessa",Labour,10_11,2010-10-21,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2010-10-21,4,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2010-07-20,179.22,general admin,Payment Telephone/Mobile,15633
159,"Jowell, Tessa",Labour,10_11,2011-03-24,4,travel,Own Car MP,93627
159,"Jowell, Tessa",Labour,10_11,2010-10-12,513,constituency rental,Const Office Hire of Premises,41213
159,"Jowell, Tessa",Labour,10_11,2011-03-26,0.5,general admin,Hospitality,93484
159,"Jowell, Tessa",Labour,10_11,2011-03-25,4.8,staffing,Food & Drink Intern/Volunteer,86178
159,"Jowell, Tessa",Labour,10_11,2011-03-18,4.98,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2010-11-10,231.68,general admin,Payment Telephone/Mobile,45800
159,"Jowell, Tessa",Labour,10_11,2011-02-28,3.2,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-01-17,9,travel,Congestion Zone/Toll MP,71286
159,"Jowell, Tessa",Labour,10_11,2011-02-11,4.8,travel,Own Car MP,71288
159,"Jowell, Tessa",Labour,10_11,2011-02-28,4.25,staffing,Food & Drink Intern/Volunteer,73818
159,"Jowell, Tessa",Labour,10_11,2011-02-10,9,travel,Congestion Zone/Toll MP,71286
159,"Jowell, Tessa",Labour,10_11,2011-01-04,117.5,general admin,Advertising,61506
159,"Jowell, Tessa",Labour,10_11,2010-11-15,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2010-10-28,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2010-11-18,6,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2011-03-31,3.95,staffing,Food & Drink Intern/Volunteer,86178
159,"Jowell, Tessa",Labour,10_11,2010-11-15,5.2,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2010-11-03,35.98,general admin,Hospitality,45800
159,"Jowell, Tessa",Labour,10_11,2010-11-12,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2010-12-24,162.86,general admin,Stationery Purchase,61506
159,"Jowell, Tessa",Labour,10_11,2011-03-14,832.8,general admin,Computer HW Purchase,77808
159,"Jowell, Tessa",Labour,10_11,2011-03-22,2.98,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2010-09-30,880,constituency rental,Const Office Rent,35287
159,"Jowell, Tessa",Labour,10_11,2010-10-11,36.5,general admin,Postage Purchase,45800
159,"Jowell, Tessa",Labour,10_11,2010-12-13,4.2,travel,Own Car MP,49484
159,"Jowell, Tessa",Labour,10_11,2010-12-13,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2011-02-28,9,travel,Congestion Zone/Toll MP,78899
159,"Jowell, Tessa",Labour,10_11,2010-11-04,163.7,general admin,Stationery Purchase,45800
159,"Jowell, Tessa",Labour,10_11,2011-03-21,1.38,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2010-08-25,132.51,general admin,Payment Telephone/Mobile,33443
159,"Jowell, Tessa",Labour,10_11,2011-03-09,3.43,staffing,Food & Drink Intern/Volunteer,78907
159,"Jowell, Tessa",Labour,10_11,2010-11-18,8,travel,Congestion Zone/Toll MP,61477
159,"Jowell, Tessa",Labour,10_11,2010-07-08,33.34,general admin,Computer SW Purchase,15633
159,"Jowell, Tessa",Labour,10_11,2011-02-03,5.6,travel,Own Car MP,71288
