id,list_name,party,session,date,value,category,description,claim_number
603,"Joyce, Eric",Independent,11_12,2012-03-01,375.6,travel,Public Tr AIR MP Staff,0000164190
603,"Joyce, Eric",Independent,11_12,2012-01-13,0,travel,Food & Drink MP Staff,0000152457
603,"Joyce, Eric",Independent,11_12,2012-03-12,4.3,travel,Public Tr UND,0000164190
603,"Joyce, Eric",Independent,11_12,2011-06-23,4,travel,Public Tr Underground MP,110504
603,"Joyce, Eric",Independent,11_12,2011-05-04,360.22,travel,Public Tr AIR,97233
603,"Joyce, Eric",Independent,12_13,2013-01-17,4.5,travel,Public Tr UND,0000269664
603,"Joyce, Eric",Independent,12_13,2012-05-08,28,travel,Public Tr AIR MP Staff,0000179161
603,"Joyce, Eric",Independent,12_13,2012-04-04,3.5,travel,Public Tr BUS,0000166748
603,"Joyce, Eric",Independent,12_13,2013-01-09,7.3,travel,Public Tr UND,0000235712
603,"Joyce, Eric",Independent,12_13,2012-07-23,1.5,travel,Public Tr AIR MP Staff,0000196486
603,"Joyce, Eric",Independent,12_13,2012-10-31,109.71,office costs,Const Office Electricity,0000227559
603,"Joyce, Eric",Independent,12_13,2013-03-26,110.02,travel,Public Tr AIR,0000268660
603,"Joyce, Eric",Independent,12_13,2012-11-19,1.5,travel,Public Tr AIR,0000227559
603,"Joyce, Eric",Independent,12_13,2013-02-08,2.5,travel,Public Tr AIR,0000248317
603,"Joyce, Eric",Independent,12_13,2013-02-11,249.67,office costs,Const Office Electricity,0000248317
603,"Joyce, Eric",Independent,10_11,2011-02-04,95.14,travel,Car Hire Fuel MP Staff,79641
603,"Joyce, Eric",Independent,10_11,2010-06-12,5.6,travel,Public Tr Underground MP,11274
603,"Joyce, Eric",Independent,10_11,2010-09-21,229,general admin,Stationery Purchase,34173
603,"Joyce, Eric",Independent,10_11,2011-03-01,1.5,travel,Public Tr AIR,82105
603,"Joyce, Eric",Independent,10_11,2011-02-10,169,travel,Public Tr RAIL MP Staff - RTN,97871
603,"Joyce, Eric",Independent,10_11,2010-06-10,37,travel,Public Tr RAIL - RTN,32054
603,"Joyce, Eric",Independent,10_11,2010-09-25,166.4,travel,Own Car MP,45366
603,"Joyce, Eric",Independent,10_11,2011-03-17,4,travel,Public Tr RAIL - SGL,76034
603,"Joyce, Eric",Independent,10_11,2010-11-08,37,travel,Public Tr RAIL - SGL,54694
603,"Joyce, Eric",Independent,10_11,2010-11-15,8,travel,Own Car MP,55419
603,"Joyce, Eric",Independent,10_11,2010-05-25,25,accommodation,Interim Hotel London Area,6837
603,"Joyce, Eric",Independent,10_11,2010-06-07,16,travel,Own Car MP,31481
603,"Joyce, Eric",Independent,10_11,2010-12-17,10,travel,Taxi MP Staff,57599
603,"Joyce, Eric",Independent,10_11,2010-10-14,15.2,travel,Own Car MP,47579
603,"Joyce, Eric",Independent,10_11,2010-12-24,446,travel,Public Tr AIR MP Staff,66790
603,"Joyce, Eric",Independent,10_11,2011-02-20,4.5,travel,Public Tr RAIL MP Staff - SGL,75842
603,"Joyce, Eric",Independent,10_11,2011-02-28,359.5,travel,Public Tr AIR,82105
603,"Joyce, Eric",Independent,10_11,2011-01-24,15.2,travel,Own Car MP Staff,68540
603,"Joyce, Eric",Independent,10_11,2011-03-17,17.9,travel,Public Tr RAIL - SGL,76034
603,"Joyce, Eric",Independent,10_11,2011-03-24,5.6,travel,Public Tr Underground MP,94686
603,"Joyce, Eric",Independent,10_11,2011-03-19,12,travel,Own Car MP Staff,78242
603,"Joyce, Eric",Independent,10_11,2011-03-01,1.5,travel,Public Tr AIR,82105
603,"Joyce, Eric",Independent,10_11,2011-02-24,170,travel,Public Tr RAIL - RTN,97871
603,"Joyce, Eric",Independent,10_11,2010-12-08,390,accommodation,Hotel London Area,55282
603,"Joyce, Eric",Independent,10_11,2010-07-15,15.2,travel,Own Car MP,32037
603,"Joyce, Eric",Independent,10_11,2010-10-19,258.5,accommodation,Hotel London Area,50134
603,"Joyce, Eric",Independent,10_11,2010-12-15,258.15,constituency rental,Const Office Rent,56675
603,"Joyce, Eric",Independent,10_11,2011-01-13,255,travel,Public Tr RAIL - RTN,66790
603,"Joyce, Eric",Independent,10_11,2010-06-16,396,travel,Public Tr AIR MP Staff,9791
603,"Joyce, Eric",Independent,10_11,2010-08-09,55.9,constituency rental,Const Office Electricity,31417
603,"Joyce, Eric",Independent,10_11,2010-10-04,217,travel,Public Tr RAIL MP Staff - SGL,44479
603,"Joyce, Eric",Independent,10_11,2010-07-05,15.2,travel,Own Car MP,32037
603,"Joyce, Eric",Independent,10_11,2011-02-14,387.97,accommodation,Hotel London Area,73013
603,"Joyce, Eric",Independent,10_11,2010-07-29,17,travel,Public Tr RAIL Other,32054
603,"Joyce, Eric",Independent,10_11,2010-11-04,32.2,general admin,Stationery Purchase,46711
603,"Joyce, Eric",Independent,10_11,2010-12-17,107.63,general admin,Payment Telephone/Mobile,57593
603,"Joyce, Eric",Independent,10_11,2010-07-18,273,travel,Parking MP,32054
603,"Joyce, Eric",Independent,10_11,2010-08-12,10,travel,Own Car MP,32541
603,"Joyce, Eric",Independent,10_11,2011-03-06,348.63,travel,Public Tr AIR,82105
603,"Joyce, Eric",Independent,10_11,2011-02-28,359.5,travel,Public Tr AIR,82105
603,"Joyce, Eric",Independent,10_11,2010-09-06,286.06,travel,Public Tr AIR,67532
603,"Joyce, Eric",Independent,10_11,2010-12-20,390,accommodation,Hotel London Area,58535
603,"Joyce, Eric",Independent,10_11,2010-08-16,387.75,accommodation,Hotel London Area,46229
603,"Joyce, Eric",Independent,10_11,2010-09-28,40,travel,Own Car MP,45366
603,"Joyce, Eric",Independent,10_11,2010-06-10,69.92,accommodation,Interim Hotel London Area,9788
603,"Joyce, Eric",Independent,10_11,2010-10-04,344.63,travel,Public Tr AIR,44479
603,"Joyce, Eric",Independent,10_11,2010-12-03,73.63,travel,Hotel London Area MP Staff,56768
603,"Joyce, Eric",Independent,10_11,2010-06-15,258.15,constituency rental,Const Office Rent,12405
603,"Joyce, Eric",Independent,10_11,2011-02-14,387.97,accommodation,Hotel London Area,73013
603,"Joyce, Eric",Independent,10_11,2010-09-10,14,travel,Own Car MP,45366
603,"Joyce, Eric",Independent,10_11,2010-06-17,286.06,travel,Public Tr AIR,11274
603,"Joyce, Eric",Independent,10_11,2011-01-03,15.2,travel,Own Car MP Staff,68540
603,"Joyce, Eric",Independent,10_11,2011-03-13,14,travel,Own Car MP Staff,87050
603,"Joyce, Eric",Independent,10_11,2010-10-02,20,travel,Own Car MP,47579
603,"Joyce, Eric",Independent,10_11,2010-09-07,23,travel,Public Tr RAIL - SGL,67532
603,"Joyce, Eric",Independent,10_11,2011-03-25,10,travel,Own Car MP Staff,87050
603,"Joyce, Eric",Independent,10_11,2010-09-01,-19.2,travel,Public Tr AIR,67532
603,"Joyce, Eric",Independent,10_11,2010-06-12,102.5,accommodation,Interim Hotel London Area,6837
603,"Joyce, Eric",Independent,10_11,2010-12-24,346.63,travel,Public Tr AIR MP Staff,66790
603,"Joyce, Eric",Independent,10_11,2010-05-15,14,travel,Own Car MP,31896
603,"Joyce, Eric",Independent,10_11,2010-10-25,258.5,accommodation,Hotel London Area,46240
603,"Joyce, Eric",Independent,10_11,2011-02-14,387.97,accommodation,Hotel London Area,73013
603,"Joyce, Eric",Independent,10_11,2010-05-16,123.34,constituency rental,Const Office Internet Rental,27622
603,"Joyce, Eric",Independent,10_11,2011-01-26,389.97,accommodation,Hotel London Area,64759
603,"Joyce, Eric",Independent,10_11,2010-07-15,258.15,constituency rental,Const Office Rent,24138
603,"Joyce, Eric",Independent,10_11,2011-02-12,0,travel,Public Tr AIR,97871
603,"Joyce, Eric",Independent,10_11,2010-07-15,281.70,travel,Public Tr AIR,67519
603,"Joyce, Eric",Independent,10_11,2011-03-06,15.2,travel,Own Car MP Staff,87050
603,"Joyce, Eric",Independent,10_11,2010-10-27,23,travel,Public Tr RAIL - SGL,54694
603,"Joyce, Eric",Independent,10_11,2011-01-19,346.63,travel,Public Tr AIR,66790
603,"Joyce, Eric",Independent,10_11,2010-06-10,69.91,accommodation,Interim Hotel London Area,9788
603,"Joyce, Eric",Independent,10_11,2011-03-10,259.99,travel,Hotel London Area MP Staff,77677
603,"Joyce, Eric",Independent,10_11,2011-01-21,46,travel,Public Tr RAIL - SGL,66790
603,"Joyce, Eric",Independent,10_11,2010-10-13,166,travel,Public Tr RAIL MP Staff - SGL,44479
603,"Joyce, Eric",Independent,10_11,2010-07-20,139.83,travel,Parking MP,67519
603,"Joyce, Eric",Independent,10_11,2010-10-25,11.22,travel,Food & Drink @ Parlmnt OFF Est,46253
603,"Joyce, Eric",Independent,10_11,2010-11-16,11.2,travel,Own Car MP,55419
603,"Joyce, Eric",Independent,10_11,2010-12-14,139.98,constituency rental,Const Office Electricity,63469
603,"Joyce, Eric",Independent,10_11,2010-09-17,1,travel,Public Tr AIR,67532
603,"Joyce, Eric",Independent,10_11,2010-11-25,11.99,travel,Public Tr AIR,62155
603,"Joyce, Eric",Independent,10_11,2010-08-23,1,travel,Public Tr AIR,27299
603,"Joyce, Eric",Independent,10_11,2010-06-15,14.86,constituency rental,Const Office Electricity,12419
603,"Joyce, Eric",Independent,10_11,2010-07-30,218.7,travel,Public Tr AIR,27299
603,"Joyce, Eric",Independent,10_11,2010-11-29,59,travel,Hotel NOT London Area MP Staff,56768
603,"Joyce, Eric",Independent,10_11,2010-10-23,166.4,travel,Own Car MP,47579
603,"Joyce, Eric",Independent,10_11,2010-11-16,334.06,travel,Public Tr AIR,54694
603,"Joyce, Eric",Independent,10_11,2010-07-04,166.4,travel,Own Car MP,32037
603,"Joyce, Eric",Independent,10_11,2010-07-06,123.38,accommodation,Hotel London Area,21467
603,"Joyce, Eric",Independent,10_11,2011-03-17,28.8,travel,Taxi MP,76034
603,"Joyce, Eric",Independent,10_11,2010-11-11,11.2,travel,Own Car MP,55419
603,"Joyce, Eric",Independent,10_11,2010-06-12,37,travel,Public Tr RAIL - SGL,11274
603,"Joyce, Eric",Independent,10_11,2011-03-20,35,travel,Taxi MP,87082
603,"Joyce, Eric",Independent,10_11,2011-02-22,258.15,constituency rental,Const Office Rent,Payment to Supplier
603,"Joyce, Eric",Independent,10_11,2011-03-17,23,travel,Public Tr RAIL - SGL,78279
603,"Joyce, Eric",Independent,10_11,2010-08-31,79.46,travel,Public Tr AIR,67532
603,"Joyce, Eric",Independent,10_11,2011-02-11,1.5,travel,Public Tr AIR,97871
603,"Joyce, Eric",Independent,10_11,2010-09-08,197.27,travel,Public Tr AIR,67532
603,"Joyce, Eric",Independent,10_11,2010-11-26,19.76,general admin,Photocopier Hire,57996
603,"Joyce, Eric",Independent,10_11,2010-07-17,140.61,general admin,Payment Telephone/Mobile,21538
603,"Joyce, Eric",Independent,10_11,2011-02-25,273.15,travel,Public Tr AIR,82105
603,"Joyce, Eric",Independent,10_11,2010-09-07,62.28,constituency rental,Const Office Tel. Usage/Rental,39413
603,"Joyce, Eric",Independent,10_11,2010-06-17,155.56,general admin,Payment Telephone/Mobile,21538
603,"Joyce, Eric",Independent,10_11,2010-06-02,15.2,travel,Own Car MP,31481
603,"Joyce, Eric",Independent,10_11,2010-08-16,387.75,accommodation,Hotel London Area,46229
603,"Joyce, Eric",Independent,10_11,2011-03-11,6,travel,Own Car MP Staff,87050
603,"Joyce, Eric",Independent,10_11,2010-11-12,14,travel,Own Car MP,55419
603,"Joyce, Eric",Independent,10_11,2010-10-25,4.1,travel,Parking MP,54694
603,"Joyce, Eric",Independent,10_11,2010-10-19,233,travel,Public Tr RAIL - RTN,44479
603,"Joyce, Eric",Independent,10_11,2010-07-06,123.38,accommodation,Hotel London Area,28689
603,"Joyce, Eric",Independent,10_11,2011-03-28,166.4,travel,Own Car MP Staff,87050
603,"Joyce, Eric",Independent,10_11,2010-06-25,24.85,general admin,Stationery Purchase,20701
603,"Joyce, Eric",Independent,10_11,2010-09-13,385.75,accommodation,Hotel London Area,40183
603,"Joyce, Eric",Independent,10_11,2010-10-31,7.6,travel,Own Car MP,55419
603,"Joyce, Eric",Independent,10_11,2010-08-27,14,travel,Own Car MP,32541
603,"Joyce, Eric",Independent,10_11,2010-06-03,343,travel,Public Tr AIR,11274
