id,list_name,party,session,date,value,category,description,claim_number
3975,"Kelly, Chris",Conservative,11_12,2011-11-24,63,travel,Own Car MP,0000134127
3975,"Kelly, Chris",Conservative,11_12,2011-09-15,63,travel,Own Car MP,116765
3975,"Kelly, Chris",Conservative,12_13,2013-01-28,10,travel,Congestion Zone/Toll,0000241534
3975,"Kelly, Chris",Conservative,12_13,2012-05-21,100,office costs,Advertising,0000176026
3975,"Kelly, Chris",Conservative,10_11,2010-09-06,11.2,travel,Food & Drink @ Parliament,39436
3975,"Kelly, Chris",Conservative,10_11,2010-06-11,10,travel,Own Car MP,11017
3975,"Kelly, Chris",Conservative,10_11,2010-05-10,56,travel,Own Car MP,9529
3975,"Kelly, Chris",Conservative,10_11,2010-07-22,3.25,travel,Food & Drink @ Parliament,39389
3975,"Kelly, Chris",Conservative,10_11,2010-08-18,108,travel,Own Car MP,39371
3975,"Kelly, Chris",Conservative,10_11,2011-03-07,10.45,travel,Food & Drink @ Parliament,74892
3975,"Kelly, Chris",Conservative,10_11,2011-01-15,6,travel,Own Car MP,64187
3975,"Kelly, Chris",Conservative,10_11,2010-07-15,56,travel,Own Car MP,14315
3975,"Kelly, Chris",Conservative,10_11,2010-06-30,4,travel,Congestion Zone/Toll MP,11018
3975,"Kelly, Chris",Conservative,10_11,2010-10-26,8.65,travel,Food & Drink @ Parliament,42698
3975,"Kelly, Chris",Conservative,10_11,2010-07-07,4,travel,Congestion Zone/Toll MP,11020
3975,"Kelly, Chris",Conservative,10_11,2010-10-11,4,travel,Congestion Zone/Toll MP,39438
3975,"Kelly, Chris",Conservative,10_11,2011-03-04,35,travel,Own Car MP,75506
3975,"Kelly, Chris",Conservative,10_11,2010-11-29,75.2,travel,Congestion Zone/Toll MP,49903
3975,"Kelly, Chris",Conservative,10_11,2010-12-11,6.4,travel,Own Car MP,56421
3975,"Kelly, Chris",Conservative,10_11,2011-03-21,35,travel,Own Car MP,77789
3975,"Kelly, Chris",Conservative,10_11,2010-12-07,7.5,travel,Food & Drink @ Parliament,56424
3975,"Kelly, Chris",Conservative,10_11,2010-10-25,4,travel,Congestion Zone/Toll MP,42108
3975,"Kelly, Chris",Conservative,10_11,2010-12-14,9.45,travel,Food & Drink @ Parliament,56424
3975,"Kelly, Chris",Conservative,10_11,2010-10-06,54,travel,Own Car MP,39388
3975,"Kelly, Chris",Conservative,10_11,2011-01-28,56,travel,Own Car MP,67193
3975,"Kelly, Chris",Conservative,10_11,2011-01-25,8.8,travel,Food & Drink @ Parliament,64490
3975,"Kelly, Chris",Conservative,10_11,2011-01-31,9,travel,Congestion Zone/Toll MP,67192
3975,"Kelly, Chris",Conservative,10_11,2010-11-30,7.85,travel,Food & Drink @ Parliament,51807
3975,"Kelly, Chris",Conservative,10_11,2010-06-02,4,travel,Congestion Zone/Toll MP,11018
3975,"Kelly, Chris",Conservative,10_11,2011-01-28,9,travel,Congestion Zone/Toll MP,70837
3975,"Kelly, Chris",Conservative,10_11,2010-09-13,60,general admin,Advertising,39441
3975,"Kelly, Chris",Conservative,10_11,2010-06-07,56,travel,Own Car MP,11017
3975,"Kelly, Chris",Conservative,10_11,2010-07-21,4,travel,Congestion Zone/Toll MP,39389
3975,"Kelly, Chris",Conservative,10_11,2010-11-15,56,travel,Own Car MP,48450
3975,"Kelly, Chris",Conservative,10_11,2010-11-13,56.8,travel,Own Car MP,48450
3975,"Kelly, Chris",Conservative,10_11,2011-01-17,7.75,travel,Food & Drink @ Parliament,64190
3975,"Kelly, Chris",Conservative,10_11,2010-12-13,3.2,travel,Own Car MP,56423
