id,list_name,party,session,date,value,category,description,claim_number
3929,"Kirby, Simon",Conservative,11_12,2012-02-20,22.4,travel,Public Tr RAIL - SGL,0000153364
3929,"Kirby, Simon",Conservative,12_13,2012-12-13,5,travel,Parking,0000232038
3929,"Kirby, Simon",Conservative,12_13,2012-04-27,4320,office costs,Postage Purchase,0000175898
3929,"Kirby, Simon",Conservative,12_13,2012-07-10,19.65,travel,Public Tr RAIL - RTN,0000191055
3929,"Kirby, Simon",Conservative,12_13,2013-01-07,21.25,travel,Public Tr RAIL - RTN,0000232038
3929,"Kirby, Simon",Conservative,10_11,2011-01-28,34.98,office costs,Stationery Purchase,0000135608
3929,"Kirby, Simon",Conservative,10_11,2011-01-27,29,travel,Public Tr RAIL - RTN,75245
3929,"Kirby, Simon",Conservative,10_11,2010-05-28,20,general admin,Other,18001
3929,"Kirby, Simon",Conservative,10_11,2010-09-09,282,general admin,Stationery Purchase,42326
3929,"Kirby, Simon",Conservative,10_11,2010-10-13,17,general admin,Stationery Purchase,42326
3929,"Kirby, Simon",Conservative,10_11,2010-10-18,2,travel,Public Tr BUS,42358
3929,"Kirby, Simon",Conservative,10_11,2010-06-23,49.4,constituency rental,Const Office Electricity,18035
3929,"Kirby, Simon",Conservative,10_11,2010-07-04,4.99,general admin,Other,18133
3929,"Kirby, Simon",Conservative,10_11,2010-12-06,265,accommodation,Accommodation Rent,56407
3929,"Kirby, Simon",Conservative,10_11,2010-10-11,128.8,general admin,Payment Telephone/Mobile,41429
3929,"Kirby, Simon",Conservative,10_11,2010-06-23,121,travel,Parking MP,18139
3929,"Kirby, Simon",Conservative,10_11,2010-10-14,4,travel,Public Tr Underground MP,42358
3929,"Kirby, Simon",Conservative,10_11,2010-09-09,69.33,general admin,Payment Telephone/Mobile,42326
3929,"Kirby, Simon",Conservative,10_11,2010-12-03,4,travel,Public Tr Underground MP,54449
3929,"Kirby, Simon",Conservative,10_11,2010-11-17,27.5,travel,Public Tr RAIL - RTN,52715
3929,"Kirby, Simon",Conservative,10_11,2010-11-01,0.55,general admin,Other,52722
3929,"Kirby, Simon",Conservative,10_11,2011-02-17,17.5,travel,Public Tr RAIL - SGL,75245
3929,"Kirby, Simon",Conservative,10_11,2010-10-25,14,travel,Public Tr RAIL - RTN,52715
3929,"Kirby, Simon",Conservative,10_11,2010-09-01,2.4,travel,Parking MP,42358
3929,"Kirby, Simon",Conservative,10_11,2010-06-22,11,travel,Parking MP,18139
3929,"Kirby, Simon",Conservative,10_11,2010-11-24,27.6,travel,Public Tr RAIL - RTN,54449
3929,"Kirby, Simon",Conservative,10_11,2010-12-13,210,general admin,Venue Hire,66165
3929,"Kirby, Simon",Conservative,10_11,2010-11-17,260,accommodation,Interim Hotel London Area,52691
