id,list_name,party,session,date,value,category,description,claim_number
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-02-28,14.06,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-07-09,6.49,general admin,Hospitality,13813
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-11-24,90.01,general admin,Advertising,56981
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-07-02,54.54,general admin,Stationery Purchase,13813
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-12-04,794.59,general admin,Computer SW Purchase,57828
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-10-13,15,travel,Food & Drink @ Parliament,45536
4134,"Kwarteng, Kwasi",Conservative,10_11,2011-02-15,102.86,general admin,Payment Telephone/Mobile,69796
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-07-01,58.75,general admin,Contact Cards,13813
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-07-27,54.84,general admin,Telephone/Mobile Hire,22290
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-06-10,58.75,general admin,Contact Cards,13813
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-11-03,0,general admin,Payment Telephone/Mobile,45542
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-10-12,15,travel,Food & Drink @ Parliament,45536
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-11-03,9,general admin,Other,45542
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-07-27,140.99,general admin,Printer Purchase,30183
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-10-09,228,general admin,Website - Hosting,38923
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-07-14,3877.5,staffing,Pooled Staffing Services,13834
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-11-02,17.2,travel,Taxi MP,45536
4134,"Kwarteng, Kwasi",Conservative,10_11,2010-09-14,301.95,general admin,Printer Purchase,30183
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-07-13,33.74,general admin,Payment Telephone/Mobile,105450
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-05-04,150,travel,Hotel Late Sitting,87105
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-04-04,50.02,office costs,Payment Telephone/Mobile,82931
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-04-06,99.46,office costs,Stationery Purchase,82931
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-06-03,3960,office costs,Professional Services: Direct,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,11_12,2012-03-28,238.17,office costs,Stationery Purchase,0000161730
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-10-26,89.11,office costs,Stationery Purchase,126390
4134,"Kwarteng, Kwasi",Conservative,11_12,2012-03-08,3350,office costs,Const Office Rent,0000158629
4134,"Kwarteng, Kwasi",Conservative,11_12,2012-02-01,89.11,office costs,Stationery Purchase,0000152114
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-05-13,335.9,general admin,Computer SW Purchase,93696
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-06-12,84.6,general admin,Stationery Purchase,105301
4134,"Kwarteng, Kwasi",Conservative,11_12,2011-04-01,3350,office costs,Const Office Rent,89244
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-05-07,3960,staffing,Pooled Services: Direct,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-02-13,10,travel,Food & Drink,0000243716
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-02-18,0.34,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-06-11,10,travel,Food & Drink @ Parliament,0000182140
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-02-18,2.83,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-05-17,200,office costs,Install/Maint Office Equip.,0000175969
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-03-25,15,travel,Food & Drink @ Parliament,0000253086
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-05-24,35,office costs,Legal Exp/Emp Practice Insur.,0000176318
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-02-28,1.15,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-05-24,137.17,office costs,Stationery Purchase,0000176318
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-12-17,86.77,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-12-20,92.39,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-12-17,86.77,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-11-23,86.77,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2013-03-06,101.45,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-08-31,121.66,office costs,Stationery Purchase,0000201373
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-04-24,15,travel,Food & Drink @ Parliament,0000168887
4134,"Kwarteng, Kwasi",Conservative,12_13,2012-10-09,316.8,office costs,Website - Hosting,0000212623
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-07,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-07-13,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-19,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2014-03-11,29.76,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-11-16,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-26,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-07-06,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-04,1.81,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-04,3.42,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-12,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-30,96.28,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-07-27,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-08-17,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-21,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-11-09,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-11-02,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-06-29,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-14,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-07-20,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-11-23,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-05,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-08-10,1,office costs,Newspapers/Journals,0000320220
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-04,59.45,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2014-03-11,9.26,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-09-27,102.52,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-24,3350,office costs,Const Office Rent,0000320228
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-06-05,3960,staffing,Pooled Services: Direct,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-23,96.28,office costs,Stationery Purchase,Payment to Supplier
4134,"Kwarteng, Kwasi",Conservative,13_14,2013-10-30,96.28,office costs,Stationery Purchase,Payment to Supplier
