id,list_name,party,session,date,value,category,description,claim_number
1439,"Lamb, Norman",Liberal Democrat,11_12,2011-10-31,51.7,travel,Public Tr RAIL - RTN,0000137288
1439,"Lamb, Norman",Liberal Democrat,12_13,2012-10-18,450,accommodation,Hotel London Area,0000211350
1439,"Lamb, Norman",Liberal Democrat,12_13,2013-02-28,53.1,travel,Own Vehicle Car,0000264948
1439,"Lamb, Norman",Liberal Democrat,12_13,2012-04-14,15,office costs,Venue Hire Surgery/Meeting,0000166131
1439,"Lamb, Norman",Liberal Democrat,12_13,2013-02-10,7.5,travel,Taxi,0000276534
1439,"Lamb, Norman",Liberal Democrat,12_13,2013-01-11,307.25,office costs,Other Equip Purchase,0000235881
1439,"Lamb, Norman",Liberal Democrat,12_13,2013-02-07,51.8,travel,Public Tr RAIL MP Staff - RTN,0000245340
1439,"Lamb, Norman",Liberal Democrat,12_13,2013-01-24,27,travel,Own Vehicle Car,0000245315
1439,"Lamb, Norman",Liberal Democrat,12_13,2012-11-22,7500,office costs,Const Office Rent 2,0000222793
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-10-21,46,travel,Own Car MP,43724
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-06-01,89,accommodation,Council Tax,29571
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-06-10,437.5,constituency rental,Const Office Rent,19961
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-05,157.5,constituency rental,Contents Insurance,51783
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-21,31.68,general admin,Shredder Hire,73167
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-24,360,accommodation,Hotel London Area,64951
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-11,425,general admin,Office Furniture Purchase,67429
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-21,26.4,travel,Own Car MP,84057
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-23,100.1,travel,Public Tr AIR,77793
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-07-01,13,travel,Taxi MP,25500
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-10-18,5.5,travel,Food & Drink @ Parliament,45970
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-03-29,0.6,staffing,Public Tr Bus Int/Volntr,92702
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-07-22,22.77,accommodation,Telephone Usage/Rental,34746
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-06-21,85.3,travel,Public Tr RAIL Other,11388
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-09-15,1312.5,constituency rental,Const Office Rent,36493
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-06-25,24.8,travel,Own Car MP,25788
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-12-23,15,constituency rental,Const Office Hire of Premises,29404
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-15,41.4,travel,Public Tr RAIL Other,54813
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-08-31,8,travel,Own Car MP,34853
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-05,27.2,travel,Own Car MP,58997
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-07-30,5.5,general admin,Postage Purchase,25065
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-30,49.52,general admin,Stationery Purchase,58005
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-18,6,staffing,Professional Services (Staff.),51582
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-10-25,15,travel,Food & Drink @ Parliament,45970
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-03-10,8,travel,Taxi MP,83463
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-08-27,47.63,general admin,Payment Telephone/Mobile,32571
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-09-24,14,travel,Own Car MP,34853
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-29,7.5,travel,Taxi MP,52296
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-05-07,71.77,accommodation,Council Tax,29571
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-18,1,travel,Parking MP,70934
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-03-22,241.85,constituency rental,Const Office Gas,83226
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-09-01,7.2,travel,Own Car MP,34853
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-29,13.76,general admin,Other,70287
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-03-17,13.6,travel,Own Car MP,98062
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-07,45.2,travel,Own Car MP,78089
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-07-05,41.4,travel,Public Tr RAIL - RTN,16606
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-06-07,85.3,travel,Public Tr RAIL - RTN,3246
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-10-18,8,travel,Congestion Zone/Toll MP,40439
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-09-05,46,travel,Own Car MP,29568
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-03-17,22,travel,Own Car MP,98062
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-22,16,travel,Own Car MP,84057
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-22,5.2,travel,Parking MP,59117
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-05,16.8,travel,Own Car MP,58997
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-07-21,6.3,travel,Food & Drink @ Parliament,34902
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-11,100.28,staffing,Professional Services (Staff.),71292
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-23,255,travel,Hotel Outside UK,77793
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-10-25,360,accommodation,Hotel London Area,51696
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-01-26,6.63,general admin,Install/Maint Office Equip.,70302
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-12-03,33.48,constituency rental,Const Office Water,58100
1439,"Lamb, Norman",Liberal Democrat,10_11,2011-02-14,360,accommodation,Hotel London Area,70925
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-10-25,94.7,travel,Public Tr RAIL Other,54813
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-09-13,94.7,travel,Public Tr RAIL Other,37845
1439,"Lamb, Norman",Liberal Democrat,10_11,2010-11-05,64.57,general admin,Stationery Purchase,47997
