id,list_name,party,session,date,value,category,description,claim_number
3921,"Lee, Phillip",Conservative,12_13,2012-09-13,12,office costs,Website - Design/Production,0000212879
3921,"Lee, Phillip",Conservative,12_13,2012-07-13,3.29,travel,Own Vehicle Car,0000197609
3921,"Lee, Phillip",Conservative,12_13,2013-02-14,3.4,staffing,Public Tr Bus Int/Volntr,0000251114
3921,"Lee, Phillip",Conservative,12_13,2012-07-05,10,office costs,Const Office Tel. Usage/Rental,0000201038
3921,"Lee, Phillip",Conservative,12_13,2012-11-30,6.8,travel,Own Vehicle Car,0000229247
3921,"Lee, Phillip",Conservative,12_13,2012-05-02,15.71,travel,Own Car MP,0000175801
3921,"Lee, Phillip",Conservative,12_13,2012-10-29,15.7,travel,Own Vehicle Car,0000229247
3921,"Lee, Phillip",Conservative,12_13,2012-08-01,8.5,staffing,Public Tr UND Int/Volntr,0000199206
3921,"Lee, Phillip",Conservative,12_13,2012-12-21,16.87,travel,Own Vehicle Car,0000236328
3921,"Lee, Phillip",Conservative,12_13,2013-02-23,2.1,staffing,Public Tr Bus Int/Volntr,0000251114
3921,"Lee, Phillip",Conservative,12_13,2012-04-19,15.7,travel,Own Car MP,0000175801
3921,"Lee, Phillip",Conservative,12_13,2012-05-02,5.3,staffing,Public Tr UND Int/Volntr,0000172769
3921,"Lee, Phillip",Conservative,12_13,2012-09-26,1.39,staffing,Food & Drink Int/Volntr,0000213623
3921,"Lee, Phillip",Conservative,10_11,2010-07-30,5.88,travel,Own Car MP,9996
3921,"Lee, Phillip",Conservative,10_11,2010-12-22,0.5,general admin,Hospitality,58250
3921,"Lee, Phillip",Conservative,10_11,2010-11-09,2.9,general admin,Hospitality,46754
3921,"Lee, Phillip",Conservative,10_11,2010-11-09,1.45,general admin,Hospitality,46754
3921,"Lee, Phillip",Conservative,10_11,2010-08-25,0.5,general admin,Hospitality,25260
3921,"Lee, Phillip",Conservative,10_11,2010-10-29,14,travel,Own Car MP,43746
3921,"Lee, Phillip",Conservative,10_11,2010-12-22,121.33,accommodation,Gas,58263
3921,"Lee, Phillip",Conservative,10_11,2010-12-22,4.35,general admin,Hospitality,58250
