id,list_name,party,session,date,value,category,description,claim_number
3933,"Leslie, Charlotte",Conservative,12_13,2012-12-15,29.6,travel,Public Tr RAIL - SGL,0000235430
3933,"Leslie, Charlotte",Conservative,12_13,2012-07-23,29.6,travel,Public Tr RAIL - SGL,0000196541
3933,"Leslie, Charlotte",Conservative,12_13,2012-12-08,29.6,travel,Public Tr RAIL - SGL,0000235430
3933,"Leslie, Charlotte",Conservative,12_13,2012-11-12,39,travel,Public Tr RAIL - SGL,0000227497
3933,"Leslie, Charlotte",Conservative,12_13,2013-02-27,85.75,office costs,Stationery Purchase,Payment to Supplier
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-21,120.82,constituency rental,Const Office Electricity,41462
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-01,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-03,28,travel,Public Tr RAIL - SGL,74146
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-01,7.5,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,29.18,constituency rental,Business Rates,69246
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,69.49,general admin,Payment Telephone/Mobile,60478
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-01,687.56,constituency rental,Const Office Rent,36316
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,232.09,constituency rental,Const Office Tel. Usage/Rental,73379
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-18,832.8,general admin,Computer HW Purchase,80995
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,71.59,general admin,Telephone/Mobile Hire,69260
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-15,28,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2010-06-14,28,travel,Public Tr RAIL - SGL,11305
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-13,1461.95,office costs,Business Rates,0000145878
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-04,23,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-30,79.5,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,1384.6,accommodation,Accommodation Rent,73391
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,177.66,accommodation,Service Charges,73391
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-17,28,travel,Public Tr RAIL - SGL,37778
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-22,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-21,28,travel,Public Tr RAIL - SGL,44524
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-31,28,travel,Public Tr RAIL - SGL,74146
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-14,243.46,constituency rental,Const Office Electricity,30181
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-14,28,travel,Public Tr RAIL - SGL,44524
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-05,687.56,constituency rental,Const Office Rent,46155
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-21,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-22,34,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-05,239.38,general admin,Stationery Purchase,46165
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-03,23,travel,Public Tr RAIL MP Staff - SGL,53676
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,70.8,general admin,Telephone/Mobile Hire,73384
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-03,687.56,constituency rental,Const Office Rent,67489
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-14,28,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-13,79.5,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-05,177.66,accommodation,Service Charges,46151
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-26,4.62,constituency rental,Business Rates,50959
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-04,28.8,travel,Parking MP,19536
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-08,3877.5,staffing,Pooled Staffing Services,10377
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-15,62.4,general admin,Other,69809
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-06,687.56,constituency rental,Const Office Hire of Premises,53666
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-06,177.66,accommodation,Service Charges,53668
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-02,27.5,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,7.64,general admin,Stationery Purchase,60478
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-21,165.68,general admin,Stationery Purchase,39415
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-03,1384.6,accommodation,Accommodation Rent,67488
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-06,1384.6,accommodation,Accommodation Rent,53668
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-14,34,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,235.8,general admin,Stationery Purchase,69260
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,188.4,general admin,Stationery Purchase,73384
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-04,23,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2010-06-28,28,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-13,28,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-03,177.66,accommodation,Service Charges,67488
3933,"Leslie, Charlotte",Conservative,10_11,2010-06-17,34,travel,Public Tr RAIL - SGL,11305
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,3.16,general admin,Stationery Purchase,69260
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-19,23,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-23,242.76,constituency rental,Const Office Tel. Usage/Rental,49994
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-06,28,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-20,28,travel,Public Tr RAIL - SGL,66838
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-28,8.21,general admin,Stationery Purchase,18350
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-06,37.78,general admin,Stationery Purchase,10372
3933,"Leslie, Charlotte",Conservative,10_11,2010-08-17,177.66,accommodation,Service Charges,27931
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-01,1384.6,accommodation,Accommodation Rent,26074
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-16,148.05,general admin,Stationery Purchase,53673
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-22,28,travel,Public Tr RAIL - SGL,27336
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-06,12.45,general admin,Stationery Purchase,10372
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-15,28,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-11,28,travel,Public Tr RAIL - SGL,44524
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-25,34,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-28,226.78,general admin,Install/Maint Office Equip.,18350
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-16,367.24,general admin,Stationery Purchase,31051
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-26,69.37,general admin,Telephone/Mobile Hire,49997
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-04,23,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-24,34,travel,Public Tr RAIL - SGL,66838
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,687.56,constituency rental,Const Office Rent,60464
3933,"Leslie, Charlotte",Conservative,10_11,2010-08-19,69.33,general admin,Telephone/Mobile Hire,24078
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-22,107.5,travel,Public Tr RAIL MP Staff - RTN,25687
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-18,24.5,travel,Public Tr RAIL - SGL,74146
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-17,34,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-05-28,34,travel,Public Tr RAIL - SGL,11305
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-07,34,travel,Public Tr RAIL - SGL,74146
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-14,18.6,constituency rental,Const Office Hire of Premises,30184
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-16,147.87,constituency rental,Const Office Electricity,70027
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-21,35.25,general admin,Other,39415
3933,"Leslie, Charlotte",Conservative,10_11,2010-06-28,148.68,general admin,Stationery Purchase,8102
3933,"Leslie, Charlotte",Conservative,10_11,2010-06-10,34,travel,Public Tr RAIL - SGL,11305
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,87.46,general admin,Stationery Purchase,60478
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-06,24.4,general admin,Stationery Purchase,38108
3933,"Leslie, Charlotte",Conservative,10_11,2010-08-19,18.6,general admin,Venue Hire,24078
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-13,22.5,travel,Public Tr RAIL - SGL,66838
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-08,10.28,general admin,Stationery Purchase,11961
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-20,6,travel,Public Tr RAIL - SGL,66838
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-05,1384.6,accommodation,Accommodation Rent,46151
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-12,23,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-05,28,travel,Public Tr RAIL - SGL,37778
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,4.43,general admin,Stationery Purchase,69260
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-22,7.2,travel,Public Tr UND MP Staff,36319
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-01,177.66,accommodation,Service Charges,36311
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-08,10,general admin,Venue Hire,11961
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,78.6,general admin,Stationery Purchase,69260
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-17,23,travel,Public Tr RAIL - SGL,44524
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-03,5.6,travel,Public Tr UND MP Staff,53676
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-10,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-15,69.33,general admin,Payment Telephone/Mobile,30650
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,127.89,constituency rental,Const Office Electricity,73379
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-19,34,travel,Public Tr RAIL - SGL,19536
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-09,29.18,constituency rental,Business Rates,75389
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-14,28,travel,Public Tr RAIL - SGL,74146
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-09,28,travel,Public Tr RAIL - SGL,37778
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,31.64,constituency rental,Const Office Water,69246
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-12,23,travel,Public Tr RAIL - SGL,54743
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,153.92,general admin,Stationery Purchase,60478
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-03,70,travel,Public Tr RAIL MP Staff - SGL,53676
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-09,23,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,23.93,general admin,Stationery Purchase,69260
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,1384.6,accommodation,Accommodation Rent,60472
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-23,137.66,constituency rental,Const Office Electricity,49994
3933,"Leslie, Charlotte",Conservative,10_11,2010-09-01,687.56,constituency rental,Const Office Rent,26409
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-21,69.33,general admin,Payment Telephone/Mobile,39415
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,177.66,accommodation,Service Charges,60472
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-11,23.88,general admin,Other,75395
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-14,34,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-05,765,office costs,Business Rates,0000145878
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-22,159,travel,Public Tr RAIL MP Staff - RTN,36319
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-24,34,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-25,24,travel,Parking MP,54743
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-22,64,travel,Public Tr RAIL MP Staff - RTN,27936
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-28,69.33,general admin,Payment Telephone/Mobile,18350
3933,"Leslie, Charlotte",Conservative,10_11,2010-06-01,28,travel,Public Tr RAIL - SGL,11305
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-28,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-26,82.84,general admin,Stationery Purchase,49997
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,23.06,general admin,Stationery Purchase,60478
3933,"Leslie, Charlotte",Conservative,10_11,2010-08-24,1384.6,accommodation,Accommodation Rent,24689
3933,"Leslie, Charlotte",Conservative,10_11,2010-07-22,9.4,travel,Parking MP Staff,27936
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-03,687.56,constituency rental,Const Office Hire of Premises,73407
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-28,28,travel,Public Tr RAIL - SGL,91026
3933,"Leslie, Charlotte",Conservative,10_11,2011-03-20,28,travel,Public Tr RAIL - SGL,82157
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-06,82.84,general admin,Stationery Purchase,38108
3933,"Leslie, Charlotte",Conservative,10_11,2010-12-17,23,travel,Public Tr RAIL - SGL,62202
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-11,28,travel,Public Tr RAIL - SGL,74146
3933,"Leslie, Charlotte",Conservative,10_11,2010-11-26,29.38,constituency rental,Business Rates,50959
3933,"Leslie, Charlotte",Conservative,10_11,2010-10-01,1384.6,accommodation,Accommodation Rent,36311
3933,"Leslie, Charlotte",Conservative,10_11,2011-02-16,28.58,constituency rental,Business Rates,70027
3933,"Leslie, Charlotte",Conservative,10_11,2011-01-12,168.87,constituency rental,Const Office Electricity,60484
