id,list_name,party,session,date,value,category,description,claim_number
4009,"Lewis, Brandon",Conservative,11_12,2012-01-20,62.1,travel,Own Car MP,0000157221
4009,"Lewis, Brandon",Conservative,12_13,2013-03-01,990,staffing,Professional Services (Staff.),0000248684
4009,"Lewis, Brandon",Conservative,12_13,2012-07-12,3,staffing,Food & Drink Int/Volntr,0000199449
4009,"Lewis, Brandon",Conservative,12_13,2012-08-06,2.87,staffing,Food & Drink Int/Volntr,0000207536
4009,"Lewis, Brandon",Conservative,12_13,2013-03-18,95.28,office costs,Stationery Purchase,Payment to Supplier
4009,"Lewis, Brandon",Conservative,10_11,2010-08-09,794.59,general admin,Computer SW Purchase,28880
4009,"Lewis, Brandon",Conservative,10_11,2010-10-28,35.25,general admin,Professional Services,43640
4009,"Lewis, Brandon",Conservative,10_11,2010-08-06,3.2,travel,Own Car MP,23910
4009,"Lewis, Brandon",Conservative,10_11,2010-07-19,41.2,travel,Own Car MP Staff,28872
4009,"Lewis, Brandon",Conservative,10_11,2011-01-28,54.4,travel,Own Car MP,67913
4009,"Lewis, Brandon",Conservative,10_11,2010-10-19,32.5,travel,Public Tr OTHER MP Staff,43642
4009,"Lewis, Brandon",Conservative,10_11,2010-12-17,41.2,travel,Own Car MP Staff,61515
4009,"Lewis, Brandon",Conservative,10_11,2011-02-01,890,general admin,Stationery Purchase,67911
4009,"Lewis, Brandon",Conservative,10_11,2010-08-24,1450,accommodation,Accommodation Rent,31238
4009,"Lewis, Brandon",Conservative,10_11,2011-02-24,62.69,general admin,Payment Telephone/Mobile,75267
4009,"Lewis, Brandon",Conservative,10_11,2010-09-28,833.33,constituency rental,Const Office Rent,43639
4009,"Lewis, Brandon",Conservative,10_11,2010-10-28,54.4,travel,Own Car MP,44247
4009,"Lewis, Brandon",Conservative,10_11,2010-10-30,41.2,travel,Own Car MP Staff,46071
4009,"Lewis, Brandon",Conservative,10_11,2011-03-24,4.8,travel,Own Car MP,85501
4009,"Lewis, Brandon",Conservative,10_11,2010-10-08,18.4,travel,Own Car MP,46042
4009,"Lewis, Brandon",Conservative,10_11,2010-11-18,8,travel,Congestion Zone/Toll MP,50535
4009,"Lewis, Brandon",Conservative,10_11,2010-11-25,34.99,general admin,Stationery Purchase,56439
4009,"Lewis, Brandon",Conservative,10_11,2011-03-27,54.4,travel,Own Car MP,81165
4009,"Lewis, Brandon",Conservative,10_11,2010-10-28,2000,staffing,Professional Services (Staff.),46076
4009,"Lewis, Brandon",Conservative,10_11,2011-01-31,60.31,accommodation,Gas,67912
4009,"Lewis, Brandon",Conservative,10_11,2010-11-24,17.8,travel,Public Tr RAIL MP Staff - SGL,56440
4009,"Lewis, Brandon",Conservative,10_11,2010-10-11,54.4,travel,Own Car MP,40320
4009,"Lewis, Brandon",Conservative,10_11,2010-08-14,16.1,constituency rental,Const Office Rent,23891
4009,"Lewis, Brandon",Conservative,10_11,2010-10-29,41.2,travel,Own Car MP Staff,46071
4009,"Lewis, Brandon",Conservative,10_11,2010-12-20,54.4,travel,Own Car MP,61519
4009,"Lewis, Brandon",Conservative,10_11,2011-03-10,133.83,general admin,Advertising,75724
4009,"Lewis, Brandon",Conservative,10_11,2011-03-25,54,travel,Own Car Dependant,86113
4009,"Lewis, Brandon",Conservative,10_11,2010-11-02,5.6,travel,Own Car MP,46042
4009,"Lewis, Brandon",Conservative,10_11,2010-09-30,23,general admin,Photocopier Hire,40322
4009,"Lewis, Brandon",Conservative,10_11,2010-09-01,2.4,travel,Own Car MP,46042
4009,"Lewis, Brandon",Conservative,10_11,2011-03-28,15,general admin,Venue Hire,81160
4009,"Lewis, Brandon",Conservative,10_11,2010-06-25,833.33,constituency rental,Const Office Rent,9001
4009,"Lewis, Brandon",Conservative,10_11,2011-02-28,2350,staffing,Professional Services (Staff.),86103
