id,list_name,party,session,date,value,category,description,claim_number
54,"Lewis, Julian",Conservative,11_12,2011-11-19,36.45,travel,Own Car MP,0000140416
54,"Lewis, Julian",Conservative,11_12,2011-09-15,36.45,travel,Own Car MP,119250
54,"Lewis, Julian",Conservative,12_13,2012-09-08,1.8,travel,Own Vehicle Car,0000206570
54,"Lewis, Julian",Conservative,12_13,2012-12-10,36.45,travel,Own Vehicle Car,0000233650
54,"Lewis, Julian",Conservative,12_13,2013-01-17,36.45,travel,Own Vehicle Car,0000241175
54,"Lewis, Julian",Conservative,10_11,2010-07-29,20.8,general admin,Advertising,32675
54,"Lewis, Julian",Conservative,10_11,2011-01-06,32.4,travel,Own Car MP,69370
54,"Lewis, Julian",Conservative,10_11,2010-09-19,75,general admin,Payment Telephone/Mobile,48109
54,"Lewis, Julian",Conservative,10_11,2011-01-13,264,accommodation,Electricity,91791
54,"Lewis, Julian",Conservative,10_11,2010-06-22,57.93,general admin,Payment Telephone/Mobile,25724
54,"Lewis, Julian",Conservative,10_11,2010-09-12,24.8,travel,Own Car MP,29611
54,"Lewis, Julian",Conservative,10_11,2010-12-18,4.4,travel,Own Car MP,57321
54,"Lewis, Julian",Conservative,10_11,2010-07-15,32.4,travel,Own Car MP,25723
54,"Lewis, Julian",Conservative,10_11,2010-10-24,24.99,general admin,Other,42062
54,"Lewis, Julian",Conservative,10_11,2010-11-06,20.8,general admin,Advertising,46320
54,"Lewis, Julian",Conservative,10_11,2010-06-27,22.8,travel,Own Car MP,25672
54,"Lewis, Julian",Conservative,10_11,2010-06-25,6.4,travel,Own Car MP,25672
54,"Lewis, Julian",Conservative,10_11,2011-03-28,708.33,constituency rental,Const Office Rent,Payment to Supplier
54,"Lewis, Julian",Conservative,10_11,2010-09-12,1137.95,accommodation,Service Charges,29608
54,"Lewis, Julian",Conservative,10_11,2010-11-06,32.4,travel,Own Car MP,46322
54,"Lewis, Julian",Conservative,10_11,2011-03-16,36.1,travel,Public Tr RAIL - RTN,82071
54,"Lewis, Julian",Conservative,10_11,2010-09-12,32.4,travel,Own Car MP,29611
54,"Lewis, Julian",Conservative,10_11,2010-12-04,47,accommodation,Telephone Usage/Rental,53434
54,"Lewis, Julian",Conservative,10_11,2010-07-03,18.8,travel,Own Car MP,25723
54,"Lewis, Julian",Conservative,10_11,2011-03-30,66.22,general admin,Landline Hire,81199
54,"Lewis, Julian",Conservative,10_11,2010-07-09,13.6,travel,Public Tr RAIL Other,19460
54,"Lewis, Julian",Conservative,10_11,2011-03-30,60.18,general admin,Landline Hire,81199
54,"Lewis, Julian",Conservative,10_11,2010-07-16,3.2,travel,Own Car MP,25723
54,"Lewis, Julian",Conservative,10_11,2011-03-31,32.4,travel,Own Car MP,81195
54,"Lewis, Julian",Conservative,10_11,2011-02-18,40,travel,Public Tr RAIL - RTN,74060
54,"Lewis, Julian",Conservative,10_11,2010-06-18,3.2,travel,Own Car MP,25672
54,"Lewis, Julian",Conservative,10_11,2010-07-17,11.6,travel,Own Car MP,25723
54,"Lewis, Julian",Conservative,10_11,2010-09-22,32.9,general admin,Other,32673
54,"Lewis, Julian",Conservative,10_11,2010-09-22,194.22,general admin,Landline Hire,32669
54,"Lewis, Julian",Conservative,10_11,2010-07-19,75,general admin,Payment Telephone/Mobile,25725
54,"Lewis, Julian",Conservative,10_11,2010-06-19,7.2,travel,Own Car MP,25672
54,"Lewis, Julian",Conservative,10_11,2011-03-20,32.4,travel,Own Car MP,81195
54,"Lewis, Julian",Conservative,10_11,2010-09-29,8.4,travel,Own Car MP,35578
54,"Lewis, Julian",Conservative,10_11,2010-10-11,41.63,travel,Public Tr AIR,42058
54,"Lewis, Julian",Conservative,10_11,2011-01-28,42,general admin,Payment Telephone/Mobile,65214
54,"Lewis, Julian",Conservative,10_11,2010-10-09,3.6,travel,Own Car MP,42060
54,"Lewis, Julian",Conservative,10_11,2010-10-31,32.4,travel,Own Car MP,46322
54,"Lewis, Julian",Conservative,10_11,2010-05-10,119.82,general admin,Stationery Purchase,23684
54,"Lewis, Julian",Conservative,10_11,2010-08-05,3.2,travel,Own Car MP,26442
54,"Lewis, Julian",Conservative,10_11,2010-12-04,20.8,general admin,Advertising,53432
54,"Lewis, Julian",Conservative,10_11,2010-11-06,69.23,general admin,Landline Hire,46316
54,"Lewis, Julian",Conservative,10_11,2010-11-25,293.73,general admin,Photocopier Purchase,53436
54,"Lewis, Julian",Conservative,10_11,2010-09-02,3.1,general admin,Advertising,26813
54,"Lewis, Julian",Conservative,10_11,2010-12-11,9.2,travel,Own Car MP,57321
54,"Lewis, Julian",Conservative,10_11,2010-11-18,37.8,travel,Public Tr RAIL - RTN,54659
54,"Lewis, Julian",Conservative,10_11,2010-07-01,32.4,travel,Own Car MP,25723
54,"Lewis, Julian",Conservative,10_11,2010-05-27,32.4,travel,Own Car MP,25672
54,"Lewis, Julian",Conservative,10_11,2010-10-22,6,travel,Own Car MP,42060
54,"Lewis, Julian",Conservative,10_11,2010-12-04,130.71,general admin,Other,57320
54,"Lewis, Julian",Conservative,10_11,2010-09-12,32.4,travel,Own Car MP,29611
54,"Lewis, Julian",Conservative,10_11,2010-09-02,17.7,general admin,Advertising,32675
