id,list_name,party,session,date,value,category,description,claim_number
3968,"Lloyd, Stephen",Liberal Democrat,11_12,2011-12-08,700.00,office costs,Const Office Rent,Payment to Supplier
3968,"Lloyd, Stephen",Liberal Democrat,11_12,2011-05-14,2.5,constituency rental,Const Office Electricity,100290
3968,"Lloyd, Stephen",Liberal Democrat,11_12,2012-03-09,4.45,staffing,Food & Drink Intern/Volunteer,0000161936
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2013-01-09,20.68,office costs,Stationery Purchase,Payment to Supplier
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-04-23,25.4,travel,Public Tr RAIL - RTN,0000172422
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-04-13,5.31,travel,Own Car MP,0000169083
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-12-01,8.64,travel,Own Vehicle Car,0000231539
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-05-01,62.5,office costs,Const Office Tel. Usage/Rental,0000179534
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-08-15,89.75,office costs,Const Office Tel. Usage/Rental,0000201013
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-05-01,80.13,office costs,Const Office Tel. Usage/Rental,0000179478
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-10-03,2,staffing,Public Tr UND Int/Volntr,0000222016
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-09-17,20.9,travel,Public Tr RAIL - RTN,0000209811
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-04-08,5.71,travel,Own Car MP,0000169083
3968,"Lloyd, Stephen",Liberal Democrat,12_13,2012-10-01,4.15,staffing,Food & Drink Int/Volntr,0000222016
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-17,12,staffing,Public Tr RAIL Int/Volntr - RT,65119
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-09-30,26.8,travel,Own Car MP,39437
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-10-11,5,staffing,Food & Drink Intern/Volunteer,51084
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-05-08,19.6,travel,Public Tr RAIL - RTN,20629
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-10-01,183.3,general admin,Stationery Purchase,40215
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-28,34.53,constituency rental,Business Rates,52809
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-09-09,4.95,staffing,Public Tr RAIL Int/Volntr - SG,51552
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-01-17,9.1,staffing,Public Tr RAIL Int/Volntr - RT,74858
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-10-09,8,travel,Own Car MP,39437
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-09-09,4.95,staffing,Public Tr RAIL Int/Volntr - SG,51552
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-01-26,9.1,staffing,Public Tr RAIL Int/Volntr - RT,74858
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-07-01,19.6,travel,Public Tr RAIL - RTN,19539
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-16,5.1,staffing,Food & Drink Intern/Volunteer,51084
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-10-14,3.85,staffing,Food & Drink Intern/Volunteer,53582
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-13,3.8,travel,Own Car MP,49645
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-18,12,staffing,Public Tr RAIL Int/Volntr - RT,65119
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-10-01,14.8,travel,Own Car MP,39437
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-08,5,staffing,Food & Drink Intern/Volunteer,65119
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-02-28,3.3,staffing,Food & Drink Intern/Volunteer,74858
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-01,240,accommodation,Hotel London Area,49622
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-02-21,2.96,travel,Own Car MP,72806
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-02-10,360,accommodation,Hotel London Area,69286
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-01-17,240,accommodation,Hotel London Area,63754
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-10-01,3.4,staffing,Food & Drink Intern/Volunteer,53582
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-12-16,4.8,staffing,Food & Drink Intern/Volunteer,65119
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-26,236.88,general admin,Stationery Purchase,52806
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-02-25,4.17,staffing,Food & Drink Intern/Volunteer,74858
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-11,4.45,staffing,Food & Drink Intern/Volunteer,53582
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-11-29,12,staffing,Public Tr RAIL Int/Volntr - RT,65119
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-09-15,62.5,constituency rental,Business Rates,39409
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2011-02-22,4.55,staffing,Food & Drink Intern/Volunteer,76915
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-05-10,27.6,travel,Public Tr RAIL - RTN,20629
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-12-06,22.25,travel,Public Tr RAIL - RTN,62204
3968,"Lloyd, Stephen",Liberal Democrat,10_11,2010-06-09,260,accommodation,Hotel London Area,2357
