id,list_name,party,session,date,value,category,description,claim_number
3989,"Lopresti, Jack",Conservative,12_13,2013-02-05,52.07,office costs,Stationery Purchase,Payment to Supplier
3989,"Lopresti, Jack",Conservative,12_13,2013-03-12,24.3,office costs,Contents Insurance,0000249632
3989,"Lopresti, Jack",Conservative,12_13,2012-09-17,52.65,travel,Own Vehicle Car,0000205867
3989,"Lopresti, Jack",Conservative,12_13,2012-06-28,53.55,travel,Own Vehicle Car,0000192060
3989,"Lopresti, Jack",Conservative,12_13,2012-11-26,36.6,travel,Public Tr RAIL - SGL,0000235571
3989,"Lopresti, Jack",Conservative,10_11,2011-03-10,34,travel,Public Tr RAIL - SGL,82282
3989,"Lopresti, Jack",Conservative,10_11,2011-03-16,28,travel,Public Tr RAIL - SGL,82282
3989,"Lopresti, Jack",Conservative,10_11,2010-07-16,46.8,travel,Own Car MP,14560
3989,"Lopresti, Jack",Conservative,10_11,2010-09-30,0,general admin,Other,34981
3989,"Lopresti, Jack",Conservative,10_11,2010-10-18,54.8,travel,Public Tr RAIL - RTN,44637
3989,"Lopresti, Jack",Conservative,10_11,2010-12-16,32,travel,Public Tr RAIL - SGL,62321
3989,"Lopresti, Jack",Conservative,10_11,2010-11-30,28,travel,Public Tr RAIL MP Staff - SGL,51570
3989,"Lopresti, Jack",Conservative,10_11,2011-02-18,33.68,general admin,Telephone/Mobile Hire,70563
3989,"Lopresti, Jack",Conservative,10_11,2010-09-30,32,travel,Public Tr RAIL Other,35007
3989,"Lopresti, Jack",Conservative,10_11,2010-11-19,13,travel,Taxi MP,49401
3989,"Lopresti, Jack",Conservative,10_11,2011-01-12,31,travel,Public Tr RAIL - SGL,66951
3989,"Lopresti, Jack",Conservative,10_11,2010-09-30,160.79,general admin,Payment Telephone/Mobile,35033
3989,"Lopresti, Jack",Conservative,10_11,2010-10-18,70.41,general admin,Other,40538
3989,"Lopresti, Jack",Conservative,10_11,2010-06-24,46.8,travel,Own Car MP,7393
3989,"Lopresti, Jack",Conservative,10_11,2010-12-19,1430,accommodation,Accommodation Rent,77341
3989,"Lopresti, Jack",Conservative,10_11,2010-06-24,46.8,travel,Own Car MP,7393
3989,"Lopresti, Jack",Conservative,10_11,2010-06-24,46.8,travel,Own Car MP,7393
3989,"Lopresti, Jack",Conservative,10_11,2010-08-13,1430,accommodation,Accommodation Rent,22928
3989,"Lopresti, Jack",Conservative,10_11,2010-09-14,46.8,travel,Own Car MP,30154
3989,"Lopresti, Jack",Conservative,10_11,2011-03-14,37,travel,Public Tr RAIL - SGL,82282
3989,"Lopresti, Jack",Conservative,10_11,2010-11-30,278.01,general admin,Office Furniture Hire,51593
3989,"Lopresti, Jack",Conservative,10_11,2010-08-13,1516.31,general admin,Office Furniture Purchase,22927
3989,"Lopresti, Jack",Conservative,10_11,2011-02-11,155.48,general admin,Other,69134
3989,"Lopresti, Jack",Conservative,10_11,2010-07-16,46.8,travel,Own Car MP,14560
3989,"Lopresti, Jack",Conservative,10_11,2010-08-03,15.02,general admin,Stationery Purchase,20593
3989,"Lopresti, Jack",Conservative,10_11,2011-03-22,396.85,general admin,Stationery Purchase,77805
3989,"Lopresti, Jack",Conservative,10_11,2010-10-18,46.5,travel,Public Tr RAIL MP Staff - RTN,40534
3989,"Lopresti, Jack",Conservative,10_11,2010-11-12,7,travel,Taxi MP,47675
3989,"Lopresti, Jack",Conservative,10_11,2010-10-14,28,travel,Public Tr RAIL - SGL,44637
3989,"Lopresti, Jack",Conservative,10_11,2010-08-13,54.8,travel,Public Tr RAIL - SGL,22934
3989,"Lopresti, Jack",Conservative,10_11,2011-02-11,122.4,general admin,Stationery Purchase,69138
3989,"Lopresti, Jack",Conservative,10_11,2010-06-24,46.8,travel,Own Car MP,7393
3989,"Lopresti, Jack",Conservative,10_11,2010-06-24,46.8,travel,Own Car MP,7393
3989,"Lopresti, Jack",Conservative,10_11,2011-02-18,2272.04,constituency rental,Const Office Rent,70561
3989,"Lopresti, Jack",Conservative,10_11,2010-10-14,1430,accommodation,Accommodation Rent,39964
3989,"Lopresti, Jack",Conservative,10_11,2011-02-11,43.46,constituency rental,Const Office Electricity,69139
3989,"Lopresti, Jack",Conservative,10_11,2010-11-12,1430,accommodation,Accommodation Rent,47674
3989,"Lopresti, Jack",Conservative,10_11,2010-12-19,276.95,accommodation,Water,77347
3989,"Lopresti, Jack",Conservative,10_11,2011-02-11,108.9,general admin,Office Furniture Purchase,69140
3989,"Lopresti, Jack",Conservative,10_11,2010-07-16,46.8,travel,Own Car MP,14560
3989,"Lopresti, Jack",Conservative,10_11,2010-07-16,46.8,travel,Own Car MP,14560
3989,"Lopresti, Jack",Conservative,10_11,2011-02-15,1430,accommodation,Accommodation Rent,69622
3989,"Lopresti, Jack",Conservative,10_11,2011-03-14,70.25,constituency rental,Const Office Water,76163
3989,"Lopresti, Jack",Conservative,10_11,2010-10-18,317.18,constituency rental,Business Rates,40553
3989,"Lopresti, Jack",Conservative,10_11,2011-03-24,34,travel,Public Tr RAIL - SGL,82282
3989,"Lopresti, Jack",Conservative,10_11,2010-06-24,46.8,travel,Own Car MP,7393
3989,"Lopresti, Jack",Conservative,10_11,2010-11-11,10.3,travel,Public Tr RAIL - SGL,54865
3989,"Lopresti, Jack",Conservative,10_11,2010-11-12,15,travel,Taxi MP,47677
3989,"Lopresti, Jack",Conservative,10_11,2010-07-16,46.8,travel,Own Car MP,14560
3989,"Lopresti, Jack",Conservative,10_11,2011-02-11,52.5,general admin,Venue Hire,69142
3989,"Lopresti, Jack",Conservative,10_11,2011-03-11,472.49,general admin,Landline Hire,75963
3989,"Lopresti, Jack",Conservative,10_11,2010-07-16,46.8,travel,Own Car MP,14560
3989,"Lopresti, Jack",Conservative,10_11,2011-01-17,118.5,travel,Public Tr RAIL - RTN,66951
3989,"Lopresti, Jack",Conservative,10_11,2011-01-31,44,travel,Public Tr RAIL MP Staff - RTN,65315
3989,"Lopresti, Jack",Conservative,10_11,2010-09-14,38.8,travel,Public Tr RAIL - SGL,30162
3989,"Lopresti, Jack",Conservative,10_11,2010-12-20,31,travel,Public Tr RAIL - SGL,62321
3989,"Lopresti, Jack",Conservative,10_11,2010-09-23,423.8,general admin,Install/Maint Office Equip.,32750
3989,"Lopresti, Jack",Conservative,10_11,2011-02-11,47.5,travel,Public Tr RAIL - RTN,69150
3989,"Lopresti, Jack",Conservative,10_11,2010-08-04,1695.55,general admin,Professional Services,21147
3989,"Lopresti, Jack",Conservative,10_11,2011-02-03,84.5,travel,Public Tr RAIL - SGL,74269
3989,"Lopresti, Jack",Conservative,10_11,2010-12-21,28,travel,Public Tr RAIL - SGL,62321
3989,"Lopresti, Jack",Conservative,10_11,2011-01-31,31,travel,Public Tr RAIL - SGL,74269
