id,list_name,party,session,date,value,category,description,claim_number
3930,"Lucas, Caroline",Green,12_13,2013-02-26,119,accommodation,Hotel London Area,0000258550
3930,"Lucas, Caroline",Green,12_13,2012-08-30,144.43,office costs,Stationery Purchase,0000208070
3930,"Lucas, Caroline",Green,10_11,2010-10-05,35.25,constituency rental,Const Office Internet Rental,37217
3930,"Lucas, Caroline",Green,10_11,2010-12-07,105.75,constituency rental,Const Office Hire of Premises,68849
3930,"Lucas, Caroline",Green,10_11,2011-02-02,170,accommodation,Hotel London Area,68830
3930,"Lucas, Caroline",Green,10_11,2010-09-14,80,accommodation,Hotel London Area,37229
3930,"Lucas, Caroline",Green,10_11,2010-07-20,0.9,travel,Public Tr Underground MP,18230
3930,"Lucas, Caroline",Green,10_11,2010-08-25,56,general admin,Venue Hire,37274
3930,"Lucas, Caroline",Green,10_11,2011-03-01,325.28,general admin,Stationery Purchase,77715
3930,"Lucas, Caroline",Green,10_11,2010-07-14,5.1,general admin,Hospitality,14496
3930,"Lucas, Caroline",Green,10_11,2011-01-06,29.16,general admin,Stationery Purchase,68839
3930,"Lucas, Caroline",Green,10_11,2011-01-25,987.6,constituency rental,Const Office Rent,68849
3930,"Lucas, Caroline",Green,10_11,2010-07-15,8.85,general admin,Hospitality,14496
3930,"Lucas, Caroline",Green,10_11,2010-07-26,10.4,travel,Taxi After Late Sitting,19837
3930,"Lucas, Caroline",Green,10_11,2011-02-15,14.93,general admin,Payment Telephone/Mobile,84061
3930,"Lucas, Caroline",Green,10_11,2010-06-17,80,general admin,Venue Hire,14492
3930,"Lucas, Caroline",Green,10_11,2010-08-01,35.25,constituency rental,Const Office Internet Rental,26459
3930,"Lucas, Caroline",Green,10_11,2010-09-08,105,accommodation,Hotel London Area,37229
3930,"Lucas, Caroline",Green,10_11,2010-12-16,86.4,constituency rental,Const Office Tel. Usage/Rental,68849
3930,"Lucas, Caroline",Green,10_11,2011-01-26,170,accommodation,Hotel London Area,68830
3930,"Lucas, Caroline",Green,10_11,2010-07-21,33,general admin,Stationery Purchase,18228
3930,"Lucas, Caroline",Green,10_11,2011-02-03,77.52,constituency rental,Const Office Tel. Usage/Rental,68849
3930,"Lucas, Caroline",Green,10_11,2010-08-25,21.7,travel,Public Tr RAIL MP Staff - RTN,26456
3930,"Lucas, Caroline",Green,10_11,2010-06-03,38.3,travel,Public Tr RAIL - RTN,2967
3930,"Lucas, Caroline",Green,10_11,2010-12-06,88,accommodation,Hotel London Area,49908
3930,"Lucas, Caroline",Green,10_11,2010-05-11,27.6,travel,Public Tr RAIL - RTN,2967
3930,"Lucas, Caroline",Green,10_11,2010-06-09,31.77,general admin,Stationery Purchase,8417
3930,"Lucas, Caroline",Green,10_11,2010-05-25,21.4,travel,Public Tr RAIL - SGL,2967
3930,"Lucas, Caroline",Green,10_11,2010-09-01,183.3,general admin,Stationery Purchase,37213
3930,"Lucas, Caroline",Green,10_11,2011-02-17,86.4,general admin,Landline Hire,84137
3930,"Lucas, Caroline",Green,10_11,2010-10-27,160,accommodation,Hotel London Area,46043
3930,"Lucas, Caroline",Green,10_11,2010-11-11,4.42,general admin,Stationery Purchase,49913
3930,"Lucas, Caroline",Green,10_11,2011-01-05,45,constituency rental,Const Office Hire of Premises,68849
3930,"Lucas, Caroline",Green,10_11,2010-07-23,1.8,travel,Public Tr BUS MP Staff,26456
3930,"Lucas, Caroline",Green,10_11,2010-09-23,39,constituency rental,Const Office Hire of Premises,46058
3930,"Lucas, Caroline",Green,10_11,2010-08-10,35.25,constituency rental,Const Office Internet Rental,26459
3930,"Lucas, Caroline",Green,10_11,2011-03-08,15.19,general admin,Professional Services,84137
3930,"Lucas, Caroline",Green,10_11,2011-01-18,78.6,general admin,Stationery Purchase,68839
3930,"Lucas, Caroline",Green,10_11,2011-03-08,75.84,constituency rental,Const Office Tel. Usage/Rental,77726
3930,"Lucas, Caroline",Green,10_11,2010-07-06,20.7,travel,Public Tr RAIL - SGL,18230
3930,"Lucas, Caroline",Green,10_11,2010-12-01,84.6,constituency rental,Const Office Tel. Usage/Rental,56133
3930,"Lucas, Caroline",Green,10_11,2010-07-26,80,accommodation,Hotel London Area,18224
3930,"Lucas, Caroline",Green,10_11,2010-06-09,27.6,travel,Public Tr RAIL - RTN,8371
3930,"Lucas, Caroline",Green,10_11,2010-06-30,27.7,travel,Public Tr RAIL - RTN,18230
3930,"Lucas, Caroline",Green,10_11,2011-02-08,15.34,general admin,Professional Services,84137
3930,"Lucas, Caroline",Green,10_11,2010-07-22,10.6,travel,Taxi MP Staff,19846
3930,"Lucas, Caroline",Green,10_11,2010-06-22,60,accommodation,Hotel London Area,8342
3930,"Lucas, Caroline",Green,10_11,2011-02-02,117,constituency rental,Const Office Hire of Premises,68849
3930,"Lucas, Caroline",Green,10_11,2010-07-12,21.4,travel,Public Tr RAIL - SGL,18230
3930,"Lucas, Caroline",Green,10_11,2010-09-07,52.88,general admin,Venue Hire,37274
3930,"Lucas, Caroline",Green,10_11,2011-02-17,36,general admin,Other,84137
3930,"Lucas, Caroline",Green,10_11,2010-05-25,1723.14,general admin,Recruitment Services,14492
3930,"Lucas, Caroline",Green,10_11,2010-05-26,38.3,travel,Public Tr RAIL - RTN,2967
3930,"Lucas, Caroline",Green,10_11,2011-03-02,141.62,general admin,Stationery Purchase,84059
3930,"Lucas, Caroline",Green,10_11,2010-06-10,54.2,general admin,Stationery Purchase,8411
3930,"Lucas, Caroline",Green,10_11,2010-08-01,20.56,constituency rental,Const Office Tel. Usage/Rental,26459
3930,"Lucas, Caroline",Green,10_11,2010-07-13,9.8,travel,Taxi After Late Sitting,18230
3930,"Lucas, Caroline",Green,10_11,2010-07-20,101,accommodation,Hotel London Area,18224
3930,"Lucas, Caroline",Green,10_11,2010-06-09,17.12,general admin,Stationery Purchase,8417
3930,"Lucas, Caroline",Green,10_11,2010-09-23,137.04,general admin,Stationery Purchase,37213
3930,"Lucas, Caroline",Green,10_11,2010-07-15,32.14,general admin,Stationery Purchase,19839
3930,"Lucas, Caroline",Green,10_11,2010-07-22,42.4,travel,Public Tr RAIL - RTN,18230
3930,"Lucas, Caroline",Green,10_11,2010-06-14,23.8,travel,Public Tr RAIL MP Staff - RTN,8405
3930,"Lucas, Caroline",Green,10_11,2010-09-24,76.96,general admin,Stationery Purchase,37213
3930,"Lucas, Caroline",Green,10_11,2010-11-19,44.89,general admin,Stationery Purchase,56130
3930,"Lucas, Caroline",Green,10_11,2010-06-29,60,accommodation,Hotel London Area,8342
3930,"Lucas, Caroline",Green,10_11,2010-10-22,140,accommodation,Hotel London Area,46043
3930,"Lucas, Caroline",Green,10_11,2010-06-28,106,accommodation,Hotel London Area,8342
3930,"Lucas, Caroline",Green,10_11,2010-08-11,4580.86,constituency rental,Const Office Rent,26459
3930,"Lucas, Caroline",Green,10_11,2010-07-14,24.1,travel,Public Tr RAIL MP Staff - RTN,14495
3930,"Lucas, Caroline",Green,10_11,2011-01-25,86.4,constituency rental,Const Office Tel. Usage/Rental,68849
3930,"Lucas, Caroline",Green,10_11,2010-11-18,76.96,general admin,Stationery Purchase,56130
3930,"Lucas, Caroline",Green,10_11,2010-09-08,24.1,travel,Public Tr RAIL MP Staff - RTN,37223
3930,"Lucas, Caroline",Green,10_11,2010-05-12,42.4,travel,Public Tr RAIL - RTN,2967
3930,"Lucas, Caroline",Green,10_11,2010-07-06,105,accommodation,Hotel London Area,18224
3930,"Lucas, Caroline",Green,10_11,2010-09-02,64.04,constituency rental,Const Office Tel. Usage/Rental,26459
3930,"Lucas, Caroline",Green,10_11,2010-12-01,35.25,constituency rental,Const Office Internet Rental,56133
3930,"Lucas, Caroline",Green,10_11,2010-06-09,279.18,general admin,Stationery Purchase,8417
3930,"Lucas, Caroline",Green,10_11,2010-10-12,10,travel,Taxi After Late Sitting,40271
3930,"Lucas, Caroline",Green,10_11,2010-10-22,60,accommodation,Hotel London Area,46043
3930,"Lucas, Caroline",Green,10_11,2011-01-05,163.2,general admin,Stationery Purchase,62485
3930,"Lucas, Caroline",Green,10_11,2010-09-02,967.03,constituency rental,Const Office Rent,26459
3930,"Lucas, Caroline",Green,10_11,2011-01-25,100.18,general admin,Stationery Purchase,68839
3930,"Lucas, Caroline",Green,10_11,2010-06-23,80,accommodation,Hotel London Area,8342
3930,"Lucas, Caroline",Green,10_11,2010-09-09,3996,travel,Public Tr Season Ticket,37755
3930,"Lucas, Caroline",Green,10_11,2010-08-15,46.43,general admin,Stationery Purchase,26457
3930,"Lucas, Caroline",Green,10_11,2011-02-17,336,accommodation,Hotel London Area,71285
3930,"Lucas, Caroline",Green,10_11,2010-05-20,38.3,travel,Public Tr RAIL - RTN,2967
3930,"Lucas, Caroline",Green,10_11,2010-10-13,136.18,accommodation,Hotel London Area,40273
3930,"Lucas, Caroline",Green,10_11,2010-05-27,38.3,travel,Public Tr RAIL - RTN,2967
