id,list_name,party,session,date,value,category,description,claim_number
3927,"Macleod, Mary",Conservative,11_12,2011-09-27,31.03,office costs,Stationery Purchase,0000135131
3927,"Macleod, Mary",Conservative,12_13,2013-01-08,12.84,office costs,Stationery Purchase,Payment to Supplier
3927,"Macleod, Mary",Conservative,12_13,2012-11-02,12,travel,Public Tr RAIL MP Staff - RTN,0000221310
3927,"Macleod, Mary",Conservative,12_13,2012-11-16,23.4,office costs,Const Office Rent,0000225224
3927,"Macleod, Mary",Conservative,10_11,2010-10-15,4.5,travel,Public Tr RAIL MP Staff - RTN,40804
3927,"Macleod, Mary",Conservative,10_11,2010-10-25,16,travel,Congestion Zone/Toll MP,45473
3927,"Macleod, Mary",Conservative,10_11,2010-10-08,5.4,travel,Public Tr RAIL MP Staff - RTN,40804
3927,"Macleod, Mary",Conservative,10_11,2010-09-06,53.98,constituency rental,Const Office Hire of Premises,29163
3927,"Macleod, Mary",Conservative,10_11,2010-06-23,30.24,general admin,Stationery Purchase,29777
3927,"Macleod, Mary",Conservative,10_11,2010-11-23,39.48,general admin,Stationery Purchase,49942
3927,"Macleod, Mary",Conservative,10_11,2010-07-13,3877.5,staffing,Pooled Staffing Services,13151
3927,"Macleod, Mary",Conservative,10_11,2011-01-21,5.9,travel,Public Tr RAIL MP Staff - RTN,64613
3927,"Macleod, Mary",Conservative,10_11,2010-08-27,7.9,travel,Public Tr RAIL MP Staff - RTN,26296
3927,"Macleod, Mary",Conservative,10_11,2010-11-01,16,travel,Congestion Zone/Toll MP,45473
3927,"Macleod, Mary",Conservative,10_11,2010-11-01,16,travel,Congestion Zone/Toll MP,45473
3927,"Macleod, Mary",Conservative,10_11,2011-01-26,17.01,general admin,Stationery Purchase,65191
3927,"Macleod, Mary",Conservative,10_11,2010-08-10,42.95,general admin,Stationery Purchase,29777
3927,"Macleod, Mary",Conservative,10_11,2011-01-24,78,constituency rental,Const Office Hire of Premises,65184
3927,"Macleod, Mary",Conservative,10_11,2010-06-05,3.7,travel,Public Tr RAIL MP Staff - RTN,21844
3927,"Macleod, Mary",Conservative,10_11,2011-01-17,120,constituency rental,Const Office Hire of Premises,65184
3927,"Macleod, Mary",Conservative,10_11,2011-01-26,41.01,general admin,Stationery Purchase,65191
3927,"Macleod, Mary",Conservative,10_11,2011-03-11,4.9,travel,Public Tr RAIL MP Staff - RTN,77230
3927,"Macleod, Mary",Conservative,10_11,2010-09-23,82.25,general admin,Other,34057
3927,"Macleod, Mary",Conservative,10_11,2010-07-02,5.4,travel,Public Tr RAIL MP Staff - RTN,21844
3927,"Macleod, Mary",Conservative,10_11,2010-12-20,82.25,general admin,Other,57597
3927,"Macleod, Mary",Conservative,10_11,2011-02-19,3.25,travel,Public Tr RAIL MP Staff - RTN,77230
3927,"Macleod, Mary",Conservative,10_11,2010-07-09,4.5,travel,Public Tr RAIL MP Staff - RTN,21844
3927,"Macleod, Mary",Conservative,10_11,2010-09-13,35.25,constituency rental,Const Office Hire of Premises,34037
