id,list_name,party,session,date,value,category,description,claim_number
12,"Mactaggart, Fiona",Labour,11_12,2012-02-29,840,staffing,Professional Services (Staff.),0000155086
12,"Mactaggart, Fiona",Labour,11_12,2011-04-05,3.95,staffing,Food & Drink Intern/Volunteer,90653
12,"Mactaggart, Fiona",Labour,12_13,2012-09-06,3.95,staffing,Food & Drink Int/Volntr,0000204503
12,"Mactaggart, Fiona",Labour,12_13,2013-03-01,1.4,travel,Public Tr BUS,255585
12,"Mactaggart, Fiona",Labour,12_13,2012-11-28,49.01,office costs,Stationery Purchase,Payment to Supplier
12,"Mactaggart, Fiona",Labour,10_11,2010-07-29,8,travel,Congestion Zone/Toll MP,23617
12,"Mactaggart, Fiona",Labour,10_11,2010-07-08,1.22,general admin,Other,23504
12,"Mactaggart, Fiona",Labour,10_11,2011-03-22,570,general admin,Install/Maint Office Equip.,78039
12,"Mactaggart, Fiona",Labour,10_11,2010-11-12,10,travel,Own Car MP,57987
12,"Mactaggart, Fiona",Labour,10_11,2010-07-19,107.23,general admin,Landline Hire,20315
12,"Mactaggart, Fiona",Labour,10_11,2010-10-26,134.24,general admin,Stationery Purchase,57197
12,"Mactaggart, Fiona",Labour,10_11,2011-03-03,223.24,constituency rental,Const Office Tel. Usage/Rental,74474
12,"Mactaggart, Fiona",Labour,10_11,2011-01-25,1200,constituency rental,Const Office Rent,64353
12,"Mactaggart, Fiona",Labour,10_11,2010-06-11,1.35,general admin,Other,23504
12,"Mactaggart, Fiona",Labour,10_11,2011-03-16,8,travel,Public Tr RAIL - SGL,81950
12,"Mactaggart, Fiona",Labour,10_11,2010-12-10,8.8,travel,Own Car MP,57987
12,"Mactaggart, Fiona",Labour,10_11,2010-06-07,17.5,travel,Taxi After Late Sitting,14822
12,"Mactaggart, Fiona",Labour,10_11,2011-03-25,4.6,staffing,Food & Drink Intern/Volunteer,90653
12,"Mactaggart, Fiona",Labour,10_11,2010-10-07,12.6,travel,Public Tr RAIL - RTN,44335
12,"Mactaggart, Fiona",Labour,10_11,2010-06-02,39.99,general admin,Payment Telephone/Mobile,35208
12,"Mactaggart, Fiona",Labour,10_11,2010-12-05,9.6,travel,Own Car MP,57987
12,"Mactaggart, Fiona",Labour,10_11,2010-10-29,2,travel,Own Car MP,58019
12,"Mactaggart, Fiona",Labour,10_11,2011-03-30,1000,general admin,Training MP Staff,90607
12,"Mactaggart, Fiona",Labour,10_11,2010-10-01,1200,constituency rental,Const Office Rent,57240
12,"Mactaggart, Fiona",Labour,10_11,2011-03-15,13,staffing,Public Tr Bus Int/Volntr,90643
12,"Mactaggart, Fiona",Labour,10_11,2010-06-27,7.4,travel,Public Tr RAIL - SGL,14837
12,"Mactaggart, Fiona",Labour,10_11,2010-08-08,1.77,general admin,Other,40396
12,"Mactaggart, Fiona",Labour,10_11,2011-02-17,7.9,travel,Public Tr RAIL - SGL,73935
12,"Mactaggart, Fiona",Labour,10_11,2011-02-14,10.9,travel,Public Tr RAIL - SGL,73935
12,"Mactaggart, Fiona",Labour,10_11,2011-02-09,7.9,travel,Public Tr RAIL - SGL,73935
12,"Mactaggart, Fiona",Labour,10_11,2010-11-28,3.6,travel,Own Car MP,57987
12,"Mactaggart, Fiona",Labour,10_11,2010-10-10,7.4,travel,Public Tr RAIL - SGL,44335
12,"Mactaggart, Fiona",Labour,10_11,2011-03-21,7.9,travel,Public Tr RAIL - SGL,81950
12,"Mactaggart, Fiona",Labour,10_11,2010-10-22,8,travel,Congestion Zone/Toll MP,58041
12,"Mactaggart, Fiona",Labour,10_11,2010-07-05,39.99,general admin,Payment Telephone/Mobile,35208
12,"Mactaggart, Fiona",Labour,10_11,2010-09-23,8,travel,Congestion Zone/Toll MP,35289
12,"Mactaggart, Fiona",Labour,10_11,2011-01-31,200,constituency rental,Const Office Hire of Premises,85193
12,"Mactaggart, Fiona",Labour,10_11,2010-09-16,1.05,general admin,Other,40396
12,"Mactaggart, Fiona",Labour,10_11,2010-11-26,3.6,travel,Own Car MP,57987
12,"Mactaggart, Fiona",Labour,10_11,2011-03-30,350,general admin,Professional Services,93300
12,"Mactaggart, Fiona",Labour,10_11,2010-08-02,195.7,general admin,Stationery Purchase,20292
12,"Mactaggart, Fiona",Labour,10_11,2011-03-22,10.9,travel,Public Tr RAIL - SGL,81950
12,"Mactaggart, Fiona",Labour,10_11,2010-06-14,2.44,general admin,Other,23504
12,"Mactaggart, Fiona",Labour,10_11,2011-03-08,1080,staffing,Professional Services (Staff.),77216
12,"Mactaggart, Fiona",Labour,10_11,2011-01-19,1200,staffing,Pooled Staffing Services,64355
12,"Mactaggart, Fiona",Labour,10_11,2010-12-10,2,travel,Own Car MP,57987
12,"Mactaggart, Fiona",Labour,10_11,2010-11-19,7.1,travel,Public Tr RAIL - SGL,54540
12,"Mactaggart, Fiona",Labour,10_11,2010-08-12,1.05,general admin,Other,40396
12,"Mactaggart, Fiona",Labour,10_11,2011-03-04,7.5,travel,Public Tr RAIL - SGL,81950
12,"Mactaggart, Fiona",Labour,10_11,2010-10-08,1.05,general admin,Other,40396
12,"Mactaggart, Fiona",Labour,10_11,2011-03-02,1,travel,Public Tr RAIL - SGL,81950
12,"Mactaggart, Fiona",Labour,10_11,2010-10-13,1.99,general admin,Other,40396
12,"Mactaggart, Fiona",Labour,10_11,2010-05-27,1.89,general admin,Other,23504
12,"Mactaggart, Fiona",Labour,10_11,2010-08-09,1,general admin,Other,40396
12,"Mactaggart, Fiona",Labour,10_11,2010-07-12,8.6,travel,Food & Drink @ Parliament,14834
12,"Mactaggart, Fiona",Labour,10_11,2011-03-07,100,staffing,Professional Services (Staff.),75048
12,"Mactaggart, Fiona",Labour,10_11,2011-03-31,960,staffing,Professional Services (Staff.),85187
12,"Mactaggart, Fiona",Labour,10_11,2010-06-24,8,travel,Congestion Zone/Toll MP,14824
