id,list_name,party,session,date,value,category,description,claim_number
1568,"Main, Anne",Conservative,12_13,2013-03-13,95.28,office costs,Stationery Purchase,Payment to Supplier
1568,"Main, Anne",Conservative,12_13,2012-12-10,33.64,office costs,Const Office Tel. Usage/Rental,0000229267
1568,"Main, Anne",Conservative,12_13,2012-08-19,300,staffing,Pooled Services,0000203304
1568,"Main, Anne",Conservative,12_13,2012-11-28,2.77,office costs,Stationery Purchase,0000224174
1568,"Main, Anne",Conservative,10_11,2010-10-26,66.89,accommodation,Electricity,42044
1568,"Main, Anne",Conservative,10_11,2011-03-01,85.34,general admin,Stationery Purchase,74631
1568,"Main, Anne",Conservative,10_11,2010-11-15,586.14,general admin,Website - Design/Production,48420
1568,"Main, Anne",Conservative,10_11,2010-12-14,652.13,general admin,Website - Design/Production,57431
1568,"Main, Anne",Conservative,10_11,2010-07-12,80,travel,Taxi After Late Sitting,12660
1568,"Main, Anne",Conservative,10_11,2011-02-01,300,constituency rental,Const Office Rent,67433
1568,"Main, Anne",Conservative,10_11,2011-02-01,300,staffing,Professional Services (Staff.),67436
1568,"Main, Anne",Conservative,10_11,2010-10-26,99.88,general admin,Contact Cards,42655
1568,"Main, Anne",Conservative,10_11,2011-01-01,300,staffing,Professional Services (Staff.),60359
1568,"Main, Anne",Conservative,10_11,2011-02-08,44.91,general admin,Stationery Purchase,73389
1568,"Main, Anne",Conservative,10_11,2010-08-16,1436.5,accommodation,Council Tax,23125
1568,"Main, Anne",Conservative,10_11,2010-06-10,919.56,accommodation,Mortgage Interest,28438
1568,"Main, Anne",Conservative,10_11,2011-01-01,300,constituency rental,Const Office Rent,60361
1568,"Main, Anne",Conservative,10_11,2010-11-30,162.86,general admin,Stationery Purchase,60349
1568,"Main, Anne",Conservative,10_11,2010-11-08,316.12,general admin,Stationery Purchase,48295
1568,"Main, Anne",Conservative,10_11,2011-01-16,950.26,accommodation,Mortgage Interest,62425
1568,"Main, Anne",Conservative,10_11,2010-12-10,47,general admin,Telephone/Mobile Hire,60357
1568,"Main, Anne",Conservative,10_11,2010-11-02,77.3,general admin,Other,44926
1568,"Main, Anne",Conservative,10_11,2010-10-24,99.46,accommodation,Water,42043
