id,list_name,party,session,date,value,category,description,claim_number
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,3.4,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2012-11-06,1200,office costs,Professional Services,0000223475
4253,"Malhotra, Seema",Labour,12_13,2013-02-22,3.25,staffing,Public Tr RAIL Other Int/Volnt,0000260403
4253,"Malhotra, Seema",Labour,11_12,2012-03-20,800,staffing,Pooled Staffing Services,0000173156
4253,"Malhotra, Seema",Labour,11_12,2012-03-13,35,office costs,Professional Services,0000173155
4253,"Malhotra, Seema",Labour,11_12,2012-03-14,580.27,office costs,Stationery Purchase,0000164203
4253,"Malhotra, Seema",Labour,12_13,2012-12-04,12.88,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-02-27,1.45,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,8.81,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-03-06,2.5,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2012-12-29,13.15,office costs,Stationery Purchase,0000250097
4253,"Malhotra, Seema",Labour,12_13,2013-01-04,15,start up,Office Furn Purch StartUp,0000230520
4253,"Malhotra, Seema",Labour,12_13,2013-02-26,0,staffing,Public Tr RAIL Other Int/Volnt,0000271305
4253,"Malhotra, Seema",Labour,12_13,2013-02-14,6.7,staffing,Public Tr RAIL Other Int/Volnt,0000260403
4253,"Malhotra, Seema",Labour,12_13,2012-09-14,5.7,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-07-13,3.96,office costs,Stationery Purchase,0000207723
4253,"Malhotra, Seema",Labour,12_13,2013-02-27,1.25,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2013-01-08,4.07,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-02-06,1.25,staffing,Public Tr RAIL Other Int/Volnt,0000260403
4253,"Malhotra, Seema",Labour,12_13,2012-10-01,18.6,office costs,Const Office Tel. Usage/Rental,0000230545
4253,"Malhotra, Seema",Labour,12_13,2012-05-04,57.94,office costs,Stationery Purchase,0000179173
4253,"Malhotra, Seema",Labour,12_13,2012-12-01,19.24,office costs,Const Office Tel. Usage/Rental,0000230558
4253,"Malhotra, Seema",Labour,12_13,2013-03-13,2.5,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2012-09-04,4.1,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2013-02-22,0,staffing,Public Tr RAIL Other Int/Volnt,0000271305
4253,"Malhotra, Seema",Labour,12_13,2013-02-28,4.7,staffing,Food & Drink Int/Volntr,0000271313
4253,"Malhotra, Seema",Labour,12_13,2012-08-16,5.35,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,3.38,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-03-16,2.09,staffing,Food & Drink Int/Volntr,0000271313
4253,"Malhotra, Seema",Labour,12_13,2012-08-20,4.55,staffing,Food & Drink Int/Volntr,0000223330
4253,"Malhotra, Seema",Labour,12_13,2013-01-30,3.75,staffing,Public Tr RAIL Other Int/Volnt,0000260403
4253,"Malhotra, Seema",Labour,12_13,2012-09-14,7.85,travel,Public Tr RAIL MP Staff - RTN,0000223332
4253,"Malhotra, Seema",Labour,12_13,2012-08-21,3.85,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-08-22,4.4,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-09-18,5.05,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-05-08,18.6,office costs,Const Office Tel. Usage/Rental,0000173155
4253,"Malhotra, Seema",Labour,12_13,2012-05-08,34.88,office costs,Const Office Tel. Usage/Rental,0000173155
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,12.2,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2012-09-21,4.25,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-09-12,5.45,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-10-05,7.85,travel,Public Tr RAIL MP Staff - RTN,0000223332
4253,"Malhotra, Seema",Labour,12_13,2012-09-20,3.25,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,7.86,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-02-27,0,staffing,Public Tr RAIL Other Int/Volnt,0000271305
4253,"Malhotra, Seema",Labour,12_13,2013-03-12,5.4,office costs,Hospitality,0000252429
4253,"Malhotra, Seema",Labour,12_13,2013-02-11,5.25,staffing,Public Tr RAIL Other Int/Volnt,0000260403
4253,"Malhotra, Seema",Labour,12_13,2013-03-07,2.5,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2012-12-29,193.98,start up,Comp HW Purch StartUp,0000250098
4253,"Malhotra, Seema",Labour,12_13,2012-04-23,1166,office costs,Const Office Rent,0000185894
4253,"Malhotra, Seema",Labour,12_13,2012-12-04,59.59,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,12.2,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2012-09-05,4.05,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,20.52,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2012-12-20,2220,start up,Comp HW Purch StartUp,0000250105
4253,"Malhotra, Seema",Labour,12_13,2013-02-15,0,travel,Taxi,0000223463
4253,"Malhotra, Seema",Labour,12_13,2012-12-27,28.79,office costs,Furniture Purchase,0000250095
4253,"Malhotra, Seema",Labour,12_13,2012-12-27,25.57,office costs,Stationery Purchase,0000250095
4253,"Malhotra, Seema",Labour,12_13,2013-01-04,5.75,start up,Office Furn Purch StartUp,0000230520
4253,"Malhotra, Seema",Labour,12_13,2012-05-10,352.7,office costs,Stationery Purchase,0000179173
4253,"Malhotra, Seema",Labour,12_13,2012-05-02,12,office costs,Professional Services,0000173155
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,8.21,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2012-08-31,9.7,travel,Public Tr RAIL Other MP Staff,0000207730
4253,"Malhotra, Seema",Labour,12_13,2012-12-29,583,office costs,Const Office Rent,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-01-08,4.07,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2012-12-17,28.35,office costs,Hospitality,0000252429
4253,"Malhotra, Seema",Labour,12_13,2012-10-19,7.85,travel,Public Tr RAIL MP Staff - RTN,0000223332
4253,"Malhotra, Seema",Labour,12_13,2013-03-26,9.55,office costs,Stationery Purchase,Payment to Supplier
4253,"Malhotra, Seema",Labour,12_13,2013-02-25,0,staffing,Public Tr RAIL Other Int/Volnt,0000271305
4253,"Malhotra, Seema",Labour,12_13,2013-01-04,10,start up,Office Furn Purch StartUp,0000230520
4253,"Malhotra, Seema",Labour,12_13,2012-10-22,102.24,start up,Install  Office Equip. StartUp,0000223473
4253,"Malhotra, Seema",Labour,12_13,2013-03-12,1.65,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2013-02-26,0,staffing,Public Tr RAIL Other Int/Volnt,0000271305
4253,"Malhotra, Seema",Labour,12_13,2013-03-04,3.6,staffing,Public Tr RAIL Other Int/Volnt,0000268852
4253,"Malhotra, Seema",Labour,12_13,2012-08-23,3.05,staffing,Food & Drink Int/Volntr,0000223322
4253,"Malhotra, Seema",Labour,12_13,2012-09-13,53.4,staffing,Public Tr RAIL Other Int/Volnt,0000223330
4253,"Malhotra, Seema",Labour,12_13,2013-03-05,2.5,staffing,Public Tr RAIL Other Int/Volnt,0000268852
