id,list_name,party,session,date,value,category,description,claim_number
298,"McCabe, Steve",Labour,11_12,2011-06-12,41.5,travel,Public Tr RAIL - SGL,104508
298,"McCabe, Steve",Labour,12_13,2012-10-16,100,accommodation,Ground Rent,0000222417
298,"McCabe, Steve",Labour,12_13,2013-01-21,5.04,travel,Own Vehicle Car,0000249237
298,"McCabe, Steve",Labour,12_13,2012-08-08,3.8,travel,Public Tr BUS MP Staff,0000199201
298,"McCabe, Steve",Labour,12_13,2012-06-26,20.26,office costs,Newspapers/Journals,0000184928
298,"McCabe, Steve",Labour,12_13,2012-08-17,0.49,office costs,Other,0000205082
298,"McCabe, Steve",Labour,12_13,2012-06-19,0.89,office costs,Other,0000191028
298,"McCabe, Steve",Labour,12_13,2013-02-07,8,travel,Taxi MP Staff,0000244945
298,"McCabe, Steve",Labour,12_13,2012-05-17,15.4,office costs,Const Office Rent,Payment to Supplier
298,"McCabe, Steve",Labour,12_13,2013-02-28,79.40,travel,Public Tr RAIL - SGL,0000291507
298,"McCabe, Steve",Labour,12_13,2013-03-16,20.83,travel,Own Vehicle Car,0000269309
298,"McCabe, Steve",Labour,12_13,2012-07-10,9.99,office costs,Other,0000191028
298,"McCabe, Steve",Labour,10_11,2011-01-23,77.5,travel,Public Tr RAIL - SGL,66832
298,"McCabe, Steve",Labour,10_11,2010-09-01,370.16,constituency rental,Const Office Rent,28987
298,"McCabe, Steve",Labour,10_11,2010-10-17,69,travel,Public Tr RAIL - SGL,44520
298,"McCabe, Steve",Labour,10_11,2010-11-04,46.9,general admin,Hospitality,45728
298,"McCabe, Steve",Labour,10_11,2010-11-01,210,staffing,Professional Services (Staff.),58889
298,"McCabe, Steve",Labour,10_11,2010-07-06,3.45,travel,Food & Drink @ Parliament,18757
298,"McCabe, Steve",Labour,10_11,2010-06-17,1.7,travel,Public Tr BUS,18757
298,"McCabe, Steve",Labour,10_11,2011-02-05,41.5,travel,Public Tr RAIL - SGL,74141
298,"McCabe, Steve",Labour,10_11,2010-06-03,25.5,constituency rental,Const Office Hire of Premises,29001
298,"McCabe, Steve",Labour,10_11,2010-08-18,0.69,general admin,Other,28995
298,"McCabe, Steve",Labour,10_11,2011-01-23,32.5,travel,Public Tr RAIL - SGL,66832
298,"McCabe, Steve",Labour,10_11,2011-03-10,77.5,travel,Public Tr RAIL - SGL,82151
298,"McCabe, Steve",Labour,10_11,2010-12-30,230.31,constituency rental,Const Office Electricity,58884
298,"McCabe, Steve",Labour,10_11,2011-02-24,0.45,general admin,Other,77229
298,"McCabe, Steve",Labour,10_11,2010-11-04,21.66,general admin,Photocopier Hire,45728
298,"McCabe, Steve",Labour,10_11,2010-08-07,1.7,travel,Public Tr BUS,43091
298,"McCabe, Steve",Labour,10_11,2010-11-28,31,travel,Public Tr RAIL - SGL,62197
298,"McCabe, Steve",Labour,10_11,2010-06-07,47.9,travel,Public Tr RAIL - RTN,18757
298,"McCabe, Steve",Labour,10_11,2011-02-28,120,general admin,Professional Services,77211
