id,list_name,party,session,date,value,category,description,claim_number
3963,"McCann, Michael",Labour,11_12,2011-04-05,32,travel,Public Tr RAIL Other MP Staff,91102
3963,"McCann, Michael",Labour,12_13,2012-10-05,7.98,office costs,Stationery Purchase,0000211435
3963,"McCann, Michael",Labour,12_13,2012-10-26,405.11,travel,Public Tr AIR,0000227436
3963,"McCann, Michael",Labour,12_13,2012-06-14,736.66,office costs,Const Office Rent,Payment to Supplier
3963,"McCann, Michael",Labour,12_13,2012-07-31,74.3,office costs,Const Office Tel. Usage/Rental,0000194639
3963,"McCann, Michael",Labour,12_13,2012-04-30,266,travel,Public Tr RAIL - RTN,0000179310
3963,"McCann, Michael",Labour,12_13,2013-01-10,4.5,travel,Public Tr UND,0000240484
3963,"McCann, Michael",Labour,12_13,2013-03-07,25,travel,Taxi,0000249108
3963,"McCann, Michael",Labour,12_13,2012-12-10,25,travel,Taxi,0000228559
3963,"McCann, Michael",Labour,12_13,2012-12-11,116.5,travel,Hotel NOT London Area MP Staff,0000228564
3963,"McCann, Michael",Labour,10_11,2010-09-21,3.5,travel,Parking MP Staff,34952
3963,"McCann, Michael",Labour,10_11,2010-06-07,7.2,travel,Public Tr Underground MP,11358
3963,"McCann, Michael",Labour,10_11,2010-05-21,373.77,accommodation,Interim Hotel London Area,2223
3963,"McCann, Michael",Labour,10_11,2010-08-31,8,travel,Public Tr Underground MP,37853
3963,"McCann, Michael",Labour,10_11,2010-11-24,37.63,constituency rental,Const Office Gas,62280
3963,"McCann, Michael",Labour,10_11,2011-03-25,348.91,travel,Public Tr AIR,91102
3963,"McCann, Michael",Labour,10_11,2010-10-07,4,travel,Public Tr Underground MP,44596
3963,"McCann, Michael",Labour,10_11,2010-09-23,2.5,travel,Parking MP Staff,34952
3963,"McCann, Michael",Labour,10_11,2010-07-04,6,travel,Own Car MP,26670
3963,"McCann, Michael",Labour,10_11,2010-10-27,11.85,constituency rental,Const Office Hire of Premises,46054
3963,"McCann, Michael",Labour,10_11,2010-06-23,48,travel,Parking Season Ticket,11358
3963,"McCann, Michael",Labour,10_11,2011-02-22,1450,accommodation,Accommodation Rent,71119
3963,"McCann, Michael",Labour,10_11,2011-02-11,34.95,general admin,Stationery Purchase,69293
3963,"McCann, Michael",Labour,10_11,2010-12-16,5.05,general admin,Postage Purchase,57278
3963,"McCann, Michael",Labour,10_11,2011-02-11,24.99,general admin,Other,69293
3963,"McCann, Michael",Labour,10_11,2010-06-09,145.6,travel,Public Tr AIR,11358
3963,"McCann, Michael",Labour,10_11,2010-10-28,100,travel,Parking MP,54821
3963,"McCann, Michael",Labour,10_11,2011-03-29,10,travel,Taxi after Late Sitting 11pm,80503
3963,"McCann, Michael",Labour,10_11,2010-12-21,147.6,travel,Public Tr AIR,62280
3963,"McCann, Michael",Labour,10_11,2010-08-18,8,travel,Public Tr OTHER,27400
3963,"McCann, Michael",Labour,10_11,2010-11-29,553.07,constituency rental,Const Office Rent,55570
3963,"McCann, Michael",Labour,10_11,2010-11-21,10,travel,Taxi MP,49707
3963,"McCann, Michael",Labour,10_11,2010-10-14,146.6,travel,Public Tr AIR,44596
3963,"McCann, Michael",Labour,10_11,2010-09-16,5.6,travel,Public Tr UND MP Staff,33304
3963,"McCann, Michael",Labour,10_11,2010-05-18,32,travel,Public Tr RAIL Other,2225
3963,"McCann, Michael",Labour,10_11,2010-10-16,24,travel,Taxi MP,40525
