id,list_name,party,session,date,value,category,description,claim_number
3953,"McCartney, Jason",Conservative,11_12,2011-11-08,189.82,office costs,Stationery Purchase,129099
3953,"McCartney, Jason",Conservative,12_13,2012-11-29,11.94,office costs,Stationery Purchase,Payment to Supplier
3953,"McCartney, Jason",Conservative,12_13,2012-10-22,23.00,travel,Public Tr RAIL MP Staff - SGL,0000227836
3953,"McCartney, Jason",Conservative,10_11,2011-03-24,273,accommodation,Interim Hotel London Area,78503
3953,"McCartney, Jason",Conservative,10_11,2011-03-30,40,travel,Public Tr Underground MP,81302
3953,"McCartney, Jason",Conservative,10_11,2010-07-01,149.99,general admin,Office Furniture Purchase,9404
3953,"McCartney, Jason",Conservative,10_11,2011-03-02,232,accommodation,Interim Hotel London Area,73003
3953,"McCartney, Jason",Conservative,10_11,2010-12-13,52.5,constituency rental,Const Office Hire of Premises,55949
3953,"McCartney, Jason",Conservative,10_11,2011-03-16,150.5,accommodation,Interim Hotel London Area,76836
3953,"McCartney, Jason",Conservative,10_11,2010-05-24,83.7,travel,Public Tr RAIL - RTN,22098
3953,"McCartney, Jason",Conservative,10_11,2010-10-28,113,accommodation,Interim Hotel London Area,44834
3953,"McCartney, Jason",Conservative,10_11,2010-12-10,77.74,general admin,Other,58040
3953,"McCartney, Jason",Conservative,10_11,2010-11-27,76.96,general admin,Other,52345
3953,"McCartney, Jason",Conservative,10_11,2010-09-09,120,accommodation,Interim Hotel London Area,28953
3953,"McCartney, Jason",Conservative,10_11,2010-12-02,74,accommodation,Interim Hotel London Area,53729
3953,"McCartney, Jason",Conservative,10_11,2011-03-14,119.99,general admin,Office Furniture Purchase,80444
3953,"McCartney, Jason",Conservative,10_11,2011-02-17,36,general admin,Other,70324
3953,"McCartney, Jason",Conservative,10_11,2010-05-18,232.5,accommodation,Interim Hotel London Area,2344
3953,"McCartney, Jason",Conservative,10_11,2010-09-16,222,accommodation,Hotel London Area,30929
3953,"McCartney, Jason",Conservative,10_11,2010-07-01,234.99,general admin,Office Furniture Purchase,13768
3953,"McCartney, Jason",Conservative,10_11,2011-02-17,515,constituency rental,Const Office Rent,Payment to Supplier
3953,"McCartney, Jason",Conservative,10_11,2011-03-15,58.54,general admin,Stationery Purchase,77706
3953,"McCartney, Jason",Conservative,10_11,2011-02-17,35.25,general admin,Other,70324
3953,"McCartney, Jason",Conservative,10_11,2010-07-14,84.7,travel,Public Tr RAIL MP Staff - RTN,13747
3953,"McCartney, Jason",Conservative,10_11,2011-03-21,101.19,general admin,Payment Internet,77704
3953,"McCartney, Jason",Conservative,10_11,2010-12-21,84.7,travel,Public Tr RAIL - RTN,59935
3953,"McCartney, Jason",Conservative,10_11,2010-12-10,22.49,general admin,Stationery Purchase,58036
3953,"McCartney, Jason",Conservative,10_11,2010-06-16,107.43,general admin,Payment Internet,5429
3953,"McCartney, Jason",Conservative,10_11,2010-07-01,173.81,general admin,Payment Telephone/Mobile,13739
3953,"McCartney, Jason",Conservative,10_11,2010-10-20,35,general admin,Other,41302
3953,"McCartney, Jason",Conservative,10_11,2010-06-08,116.33,accommodation,Interim Hotel London Area,11880
3953,"McCartney, Jason",Conservative,10_11,2010-10-28,72.5,accommodation,Interim Hotel London Area,44834
3953,"McCartney, Jason",Conservative,10_11,2011-01-27,110.91,general admin,Payment Telephone/Mobile,68177
3953,"McCartney, Jason",Conservative,10_11,2010-05-24,380,accommodation,Interim Hotel London Area,2345
3953,"McCartney, Jason",Conservative,10_11,2010-11-27,155.48,general admin,Other,52352
3953,"McCartney, Jason",Conservative,10_11,2010-10-14,354,accommodation,Interim Hotel London Area,39845
3953,"McCartney, Jason",Conservative,10_11,2010-05-24,83.7,travel,Public Tr RAIL - RTN,2375
3953,"McCartney, Jason",Conservative,10_11,2011-02-10,184.5,accommodation,Interim Hotel London Area,68860
3953,"McCartney, Jason",Conservative,10_11,2010-07-16,42,general admin,Venue Hire,15278
3953,"McCartney, Jason",Conservative,10_11,2010-11-24,40,travel,Public Tr Underground MP,50824
3953,"McCartney, Jason",Conservative,10_11,2011-02-17,228,accommodation,Interim Hotel London Area,70322
3953,"McCartney, Jason",Conservative,10_11,2010-11-25,38.23,general admin,Stationery Purchase,52355
3953,"McCartney, Jason",Conservative,10_11,2010-12-02,59.9,travel,Public Tr RAIL Other,54356
3953,"McCartney, Jason",Conservative,10_11,2010-12-01,148,accommodation,Interim Hotel London Area,52307
