id,list_name,party,session,date,value,category,description,claim_number
3949,"McClymont, Gregg",Labour,11_12,2012-01-20,12.3,office costs,Venue Hire,0000147551
3949,"McClymont, Gregg",Labour,12_13,2012-04-14,43.65,office costs,Venue Hire Surgery/Meeting,0000168926
3949,"McClymont, Gregg",Labour,12_13,2012-10-15,18,travel,Public Tr RAIL Other,0000219120
3949,"McClymont, Gregg",Labour,12_13,2012-11-12,9.45,travel,Own Vehicle Car,0000230851
3949,"McClymont, Gregg",Labour,10_11,2010-10-07,235,general admin,Professional Services,42282
3949,"McClymont, Gregg",Labour,10_11,2011-03-07,1.5,travel,Public Tr AIR,81952
3949,"McClymont, Gregg",Labour,10_11,2010-12-01,290.08,travel,Public Tr AIR,61998
3949,"McClymont, Gregg",Labour,10_11,2010-06-01,278.1,travel,Public Tr AIR,11161
3949,"McClymont, Gregg",Labour,10_11,2011-03-03,33.9,travel,Parking MP,81952
3949,"McClymont, Gregg",Labour,10_11,2011-03-30,364.23,travel,Public Tr AIR,90821
3949,"McClymont, Gregg",Labour,10_11,2011-03-21,116.7,travel,Public Tr RAIL MP Staff - RTN,81952
3949,"McClymont, Gregg",Labour,10_11,2011-03-31,7.5,constituency rental,Const Office Hire of Premises,84152
3949,"McClymont, Gregg",Labour,10_11,2010-12-09,22,travel,Parking MP,61998
3949,"McClymont, Gregg",Labour,10_11,2010-09-02,5,travel,Congestion Zone/Toll MP,37599
3949,"McClymont, Gregg",Labour,10_11,2010-09-08,38,travel,Public Tr Underground MP,37599
3949,"McClymont, Gregg",Labour,10_11,2010-10-20,38,travel,Public Tr Underground MP,44337
3949,"McClymont, Gregg",Labour,10_11,2010-11-15,953.34,accommodation,Accommodation Rent,48308
3949,"McClymont, Gregg",Labour,10_11,2010-12-11,953.34,accommodation,Accommodation Rent,Payment to Supplier
3949,"McClymont, Gregg",Labour,10_11,2010-10-27,38.9,travel,Parking MP,54542
3949,"McClymont, Gregg",Labour,10_11,2011-02-07,12,constituency rental,Const Office Hire of Premises,71730
3949,"McClymont, Gregg",Labour,10_11,2010-12-22,41.89,general admin,Stationery Purchase,61129
3949,"McClymont, Gregg",Labour,10_11,2010-10-06,220.19,accommodation,Council Tax,44957
3949,"McClymont, Gregg",Labour,10_11,2010-11-23,44.8,general admin,Payment Telephone/Mobile,56147
3949,"McClymont, Gregg",Labour,10_11,2010-05-26,278.1,travel,Public Tr AIR,11161
