id,list_name,party,session,date,value,category,description,claim_number
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,12_13,2012-06-17,4,office costs,Other,0000183369
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-11-01,520.81,constituency rental,Const Office Tel. Usage/Rental,48265
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2011-01-12,427.48,general admin,Stationery Purchase,61213
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-09-14,129.25,accommodation,Hotel London Area,34534
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2011-03-31,27.09,general admin,Other,90490
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-06-25,55.6,general admin,Payment Telephone/Mobile,36320
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-09-14,135.88,general admin,Printer Purchase,35646
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-11-08,6.7,general admin,Postage Purchase,51616
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2011-03-25,5.5,general admin,Postage Purchase,90490
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-06-13,20.56,constituency rental,Const Office Telephone Rental,1755
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-07-25,36.85,general admin,Payment Telephone/Mobile,36320
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-06-12,12.5,general admin,Stationery Purchase,8673
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-10-14,104.82,constituency rental,Const Office Tel. Usage/Rental,48265
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-10-12,129.25,accommodation,Hotel London Area,51660
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-09-14,62.5,general admin,Office Furniture Purchase,34613
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-11-10,21.2,general admin,Other,51616
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-10-19,129.25,accommodation,Hotel London Area,51660
1596,"McDonnell, Alasdair",Social Democratic & Labour Party,10_11,2010-12-10,141,general admin,Install/Maint Office Equip.,61213
