id,list_name,party,session,date,value,category,description,claim_number
1587,"McFadden, Pat",Labour,12_13,2012-05-18,7.65,travel,Own Vehicle Car,0000180089
1587,"McFadden, Pat",Labour,12_13,2012-08-21,47.04,office costs,Stationery Purchase,0000199579
1587,"McFadden, Pat",Labour,12_13,2013-02-09,2.7,travel,Own Vehicle Car MP Staff,0000242269
1587,"McFadden, Pat",Labour,10_11,2010-11-05,5.6,travel,Own Car MP Staff,57012
1587,"McFadden, Pat",Labour,10_11,2010-07-13,808.21,general admin,Photocopier Hire,24786
1587,"McFadden, Pat",Labour,10_11,2010-07-18,48.4,travel,Own Car MP,17941
1587,"McFadden, Pat",Labour,10_11,2010-05-09,48.4,travel,Own Car MP,2885
1587,"McFadden, Pat",Labour,10_11,2010-10-20,5,travel,Own Car MP Staff,57012
1587,"McFadden, Pat",Labour,10_11,2010-10-15,48.4,travel,Own Car MP,43130
1587,"McFadden, Pat",Labour,10_11,2011-01-21,3.6,travel,Own Car MP,65793
1587,"McFadden, Pat",Labour,10_11,2010-10-11,3.2,travel,Own Car MP Staff,57069
1587,"McFadden, Pat",Labour,10_11,2010-10-28,3.2,travel,Own Car MP Staff,57069
1587,"McFadden, Pat",Labour,10_11,2010-11-04,4.2,travel,Own Car MP Staff,57012
1587,"McFadden, Pat",Labour,10_11,2010-09-16,43.3,travel,Public Tr RAIL - RTN,37747
1587,"McFadden, Pat",Labour,10_11,2010-10-05,547.52,accommodation,Mortgage Interest,36836
1587,"McFadden, Pat",Labour,10_11,2010-12-10,48.4,travel,Own Car MP,59170
1587,"McFadden, Pat",Labour,10_11,2010-10-09,48.4,travel,Own Car MP,43130
1587,"McFadden, Pat",Labour,10_11,2010-11-26,4.4,travel,Own Car MP Staff,57012
1587,"McFadden, Pat",Labour,10_11,2011-02-13,48.4,travel,Own Car MP,71958
1587,"McFadden, Pat",Labour,10_11,2010-11-11,3.2,travel,Own Car MP Staff,57069
1587,"McFadden, Pat",Labour,10_11,2010-10-02,4.8,travel,Own Car MP Staff,57069
1587,"McFadden, Pat",Labour,10_11,2011-03-11,200.36,general admin,Other,75922
1587,"McFadden, Pat",Labour,10_11,2010-10-16,51.71,general admin,Other,40270
