id,list_name,party,session,date,value,category,description,claim_number
4083,"McGovern, Alison",Labour,11_12,2011-08-18,24,office costs,Venue Hire,112492
4083,"McGovern, Alison",Labour,12_13,2013-03-12,3.99,office costs,Other Equip Purchase,0000250216
4083,"McGovern, Alison",Labour,12_13,2012-09-21,4.7,travel,Public Tr RAIL MP Staff - RTN,0000210952
4083,"McGovern, Alison",Labour,12_13,2013-03-11,180,office costs,Install/Maint Office Equip.,0000250216
4083,"McGovern, Alison",Labour,12_13,2013-03-04,10,staffing,Public Tr UND Int/Volntr,0000260312
4083,"McGovern, Alison",Labour,12_13,2012-05-14,245.9,travel,Public Tr RAIL MP Staff - RTN,0000178998
4083,"McGovern, Alison",Labour,10_11,2011-01-09,147.19,constituency rental,Const Office Rent,72098
4083,"McGovern, Alison",Labour,10_11,2010-06-21,29.1,accommodation,Television Licence,8197
4083,"McGovern, Alison",Labour,10_11,2010-07-12,24.07,constituency rental,Const Office Water,16578
4083,"McGovern, Alison",Labour,10_11,2011-03-23,6.45,staffing,Public Tr RAIL Int/Volntr - RT,93751
4083,"McGovern, Alison",Labour,10_11,2010-07-14,468,miscellaneous expenses,Contingency,21928
4083,"McGovern, Alison",Labour,10_11,2010-06-30,124.97,general admin,Telephone/Mobile Purchase,13504
4083,"McGovern, Alison",Labour,10_11,2010-09-21,500,constituency rental,Const Office Rent,32127
4083,"McGovern, Alison",Labour,10_11,2011-02-18,191.37,constituency rental,Const Office Tel. Usage/Rental,72034
4083,"McGovern, Alison",Labour,10_11,2010-09-05,85,travel,Public Tr RAIL - RTN,37618
4083,"McGovern, Alison",Labour,10_11,2010-06-04,26.27,general admin,Other,13508
4083,"McGovern, Alison",Labour,10_11,2010-06-16,38.73,constituency rental,Const Office Tel. Usage/Rental,8125
4083,"McGovern, Alison",Labour,10_11,2010-09-07,7.8,travel,Public Tr RAIL Other MP Staff,29904
4083,"McGovern, Alison",Labour,10_11,2010-12-21,595,accommodation,Accommodation Rent,Payment to Supplier
4083,"McGovern, Alison",Labour,10_11,2011-02-02,180,general admin,Professional Services,74337
4083,"McGovern, Alison",Labour,10_11,2010-06-28,60.44,general admin,Stationery Purchase,8679
4083,"McGovern, Alison",Labour,10_11,2010-09-22,36.8,general admin,Install/Maint Office Equip.,35405
4083,"McGovern, Alison",Labour,10_11,2010-06-29,595,accommodation,Accommodation Rent,8196
4083,"McGovern, Alison",Labour,10_11,2010-08-06,5.78,general admin,Stationery Purchase,29911
4083,"McGovern, Alison",Labour,10_11,2010-12-06,29.99,general admin,Install/Maint Office Equip.,55200
4083,"McGovern, Alison",Labour,10_11,2011-03-23,4.5,staffing,Public Tr RAIL Int/Volntr - SG,93751
4083,"McGovern, Alison",Labour,10_11,2010-09-01,3.55,general admin,Install/Maint Office Equip.,29911
4083,"McGovern, Alison",Labour,10_11,2010-11-16,19.52,general admin,Payment Telephone/Mobile,51523
4083,"McGovern, Alison",Labour,10_11,2011-01-23,361,accommodation,Council Tax,66663
4083,"McGovern, Alison",Labour,10_11,2011-02-21,595,accommodation,Accommodation Rent,Payment to Supplier
4083,"McGovern, Alison",Labour,10_11,2010-08-24,45.5,travel,Public Tr RAIL - SGL,27197
4083,"McGovern, Alison",Labour,10_11,2010-06-30,4.25,general admin,Other,13508
4083,"McGovern, Alison",Labour,10_11,2011-03-31,362.4,general admin,Office Furniture Purchase,84945
4083,"McGovern, Alison",Labour,10_11,2010-11-29,88,accommodation,Electricity,70841
4083,"McGovern, Alison",Labour,10_11,2011-03-06,105,travel,Public Tr RAIL - RTN,81973
4083,"McGovern, Alison",Labour,10_11,2011-02-28,88,accommodation,Electricity,93392
4083,"McGovern, Alison",Labour,10_11,2011-02-07,76.25,constituency rental,Const Office Water,67987
4083,"McGovern, Alison",Labour,10_11,2010-06-04,74,travel,Public Tr RAIL - SGL,6167
4083,"McGovern, Alison",Labour,10_11,2010-11-17,78.6,travel,Public Tr RAIL - RTN,54565
4083,"McGovern, Alison",Labour,10_11,2010-08-09,1.85,travel,Public Tr RAIL MP Staff - SGL,29904
4083,"McGovern, Alison",Labour,10_11,2010-11-07,90.1,travel,Public Tr RAIL - RTN,54565
4083,"McGovern, Alison",Labour,10_11,2011-01-30,125,travel,Public Tr RAIL - RTN,73960
4083,"McGovern, Alison",Labour,10_11,2010-07-28,595,accommodation,Accommodation Rent,28806
4083,"McGovern, Alison",Labour,10_11,2010-06-05,740,general admin,Office Furniture Purchase,8134
4083,"McGovern, Alison",Labour,10_11,2011-02-28,500.00,constituency rental,Const Office Rent,72034
4083,"McGovern, Alison",Labour,10_11,2011-03-29,6.12,general admin,Other,80691
4083,"McGovern, Alison",Labour,10_11,2011-02-07,118.77,constituency rental,Const Office Tel. Usage/Rental,67987
4083,"McGovern, Alison",Labour,10_11,2011-02-17,1.1,general admin,Postage Purchase,80691
4083,"McGovern, Alison",Labour,10_11,2010-07-26,500,constituency rental,Const Office Rent,17139
4083,"McGovern, Alison",Labour,10_11,2010-08-16,18.21,general admin,Payment Telephone/Mobile,29911
4083,"McGovern, Alison",Labour,10_11,2010-09-30,75.25,general admin,Stationery Purchase,38956
4083,"McGovern, Alison",Labour,10_11,2010-06-14,139.35,accommodation,Telephone Usage/Rental,8197
4083,"McGovern, Alison",Labour,10_11,2010-08-18,105.59,constituency rental,Business Rates,23942
4083,"McGovern, Alison",Labour,10_11,2010-06-04,7.49,general admin,Other,13508
4083,"McGovern, Alison",Labour,10_11,2010-12-22,53.82,general admin,Install/Maint Office Equip.,21789
4083,"McGovern, Alison",Labour,10_11,2010-06-29,17,accommodation,Electricity,8197
4083,"McGovern, Alison",Labour,10_11,2010-11-27,81.2,travel,Public Tr RAIL - SGL,62020
4083,"McGovern, Alison",Labour,10_11,2011-01-19,9.95,general admin,Other,63358
4083,"McGovern, Alison",Labour,10_11,2010-10-16,19.36,general admin,Payment Telephone/Mobile,41475
4083,"McGovern, Alison",Labour,10_11,2010-06-25,177.78,general admin,Stationery Purchase,8134
4083,"McGovern, Alison",Labour,10_11,2010-07-08,18.18,general admin,Stationery Purchase,16578
4083,"McGovern, Alison",Labour,10_11,2010-06-14,330,general admin,Other,8125
4083,"McGovern, Alison",Labour,10_11,2010-09-07,2.2,travel,Public Tr RAIL Other MP Staff,29904
4083,"McGovern, Alison",Labour,10_11,2010-09-10,199,general admin,Training MP,29911
4083,"McGovern, Alison",Labour,10_11,2011-03-28,88,accommodation,Electricity,93392
4083,"McGovern, Alison",Labour,10_11,2010-11-08,4,general admin,Other,47715
4083,"McGovern, Alison",Labour,10_11,2011-03-23,6.45,staffing,Public Tr RAIL Int/Volntr - RT,93751
4083,"McGovern, Alison",Labour,10_11,2010-08-12,540.5,general admin,Stationery Purchase,23947
4083,"McGovern, Alison",Labour,10_11,2010-08-10,48.23,constituency rental,Const Office Water,32072
4083,"McGovern, Alison",Labour,10_11,2010-06-28,168,travel,Public Tr RAIL - RTN,19371
4083,"McGovern, Alison",Labour,10_11,2011-02-13,105,travel,Public Tr RAIL - RTN,73960
4083,"McGovern, Alison",Labour,10_11,2010-12-29,88,accommodation,Electricity,70841
4083,"McGovern, Alison",Labour,10_11,2010-11-11,32.78,general admin,Payment Telephone/Mobile,47725
