id,list_name,party,session,date,value,category,description,claim_number
1419,"McKechin, Ann",Labour,11_12,2011-06-08,14,accommodation,Electricity,98890
1419,"McKechin, Ann",Labour,11_12,2011-05-09,20.6,travel,Taxi MP Staff,91523
1419,"McKechin, Ann",Labour,11_12,2011-05-14,1.35,travel,Own Car MP,94153
1419,"McKechin, Ann",Labour,12_13,2012-12-10,111,accommodation,Council Tax,0000229389
1419,"McKechin, Ann",Labour,12_13,2012-04-23,4.05,travel,Own Car MP,0000168988
1419,"McKechin, Ann",Labour,12_13,2012-11-05,4.05,travel,Own Vehicle Car,0000224090
1419,"McKechin, Ann",Labour,12_13,2013-01-17,2.1,travel,Public Tr UND,0000241225
1419,"McKechin, Ann",Labour,12_13,2013-02-25,2.1,travel,Public Tr UND,0000249199
1419,"McKechin, Ann",Labour,12_13,2012-12-10,5,travel,Public Tr BUS,0000231006
1419,"McKechin, Ann",Labour,12_13,2013-01-24,94.50,travel,Public Tr RAIL - SGL,0000290254
1419,"McKechin, Ann",Labour,12_13,2012-06-12,138.1,travel,Public Tr RAIL - SGL,0000189067
1419,"McKechin, Ann",Labour,12_13,2012-08-06,2.7,travel,Own Vehicle Car,0000201534
1419,"McKechin, Ann",Labour,12_13,2013-01-10,111,accommodation,Council Tax,0000233456
1419,"McKechin, Ann",Labour,12_13,2012-04-23,2.6,travel,Public Tr Underground MP,0000168967
1419,"McKechin, Ann",Labour,12_13,2013-02-11,2.7,travel,Public Tr UND,0000249199
1419,"McKechin, Ann",Labour,12_13,2012-07-17,4.05,travel,Own Vehicle Car,0000197557
1419,"McKechin, Ann",Labour,12_13,2012-10-01,78.25,accommodation,Home Contents Insurance,0000210975
1419,"McKechin, Ann",Labour,12_13,2012-11-08,1.5,travel,Public Tr AIR,0000227603
1419,"McKechin, Ann",Labour,10_11,2010-07-26,59.05,general admin,Other,19865
1419,"McKechin, Ann",Labour,10_11,2010-07-26,66.17,constituency rental,Const Office Telephone Rental,19862
1419,"McKechin, Ann",Labour,10_11,2010-10-27,48,travel,Parking MP,54829
1419,"McKechin, Ann",Labour,10_11,2010-11-22,1.8,travel,Public Tr Underground MP,53431
1419,"McKechin, Ann",Labour,10_11,2010-07-15,3.6,travel,Own Car MP,18377
1419,"McKechin, Ann",Labour,10_11,2010-12-16,1.2,travel,Public Tr BUS,57523
1419,"McKechin, Ann",Labour,10_11,2011-03-31,1.3,travel,Public Tr BUS,81016
1419,"McKechin, Ann",Labour,10_11,2011-03-18,24,constituency rental,Const Office Hire of Premises,80885
1419,"McKechin, Ann",Labour,10_11,2011-02-24,75,accommodation,Ground Rent,73295
1419,"McKechin, Ann",Labour,10_11,2010-09-13,3.6,travel,Own Car MP,36530
1419,"McKechin, Ann",Labour,10_11,2010-10-12,335,general admin,Computer SW Purchase,41572
1419,"McKechin, Ann",Labour,10_11,2010-06-23,1.8,travel,Public Tr Underground MP,9870
1419,"McKechin, Ann",Labour,10_11,2011-01-24,5.7,travel,Food & Drink @ Parliament,67549
1419,"McKechin, Ann",Labour,10_11,2010-06-14,9.5,travel,Food & Drink @ Parliament,18346
1419,"McKechin, Ann",Labour,10_11,2011-01-28,28,general admin,Other,67354
1419,"McKechin, Ann",Labour,10_11,2010-11-15,3.6,travel,Own Car MP,53429
1419,"McKechin, Ann",Labour,10_11,2011-01-04,364.01,constituency rental,Const Office Rent,Payment to Supplier
1419,"McKechin, Ann",Labour,10_11,2010-12-20,67.36,constituency rental,Const Office Tel. Usage/Rental,57531
1419,"McKechin, Ann",Labour,10_11,2010-08-25,145.5,general admin,Television Licence Purchase,26250
1419,"McKechin, Ann",Labour,10_11,2011-01-06,1.8,travel,Public Tr Underground MP,67549
1419,"McKechin, Ann",Labour,10_11,2011-01-14,3.2,travel,Parking MP,67549
1419,"McKechin, Ann",Labour,10_11,2010-07-15,31.4,travel,Parking Season Ticket,19620
1419,"McKechin, Ann",Labour,10_11,2010-08-26,61.8,general admin,Other,29324
1419,"McKechin, Ann",Labour,10_11,2010-05-27,34,travel,Parking Season Ticket,11365
1419,"McKechin, Ann",Labour,10_11,2011-02-12,1.2,travel,Own Car MP,71908
1419,"McKechin, Ann",Labour,10_11,2010-05-26,2.4,travel,Public Tr Underground MP,9870
1419,"McKechin, Ann",Labour,10_11,2010-09-05,1.2,travel,Public Tr BUS,36543
1419,"McKechin, Ann",Labour,10_11,2010-07-06,32.35,general admin,Other,16070
1419,"McKechin, Ann",Labour,10_11,2010-09-03,286.1,travel,Public Tr AIR MP Staff,37863
1419,"McKechin, Ann",Labour,10_11,2010-10-20,6.15,travel,Food & Drink @ Parliament,46005
1419,"McKechin, Ann",Labour,10_11,2010-09-09,11.5,travel,Public Tr RAIL Other,36543
1419,"McKechin, Ann",Labour,10_11,2010-10-14,1.2,travel,Public Tr Underground MP,46005
1419,"McKechin, Ann",Labour,10_11,2011-03-03,35.25,constituency rental,Const Office Tel. Usage/Rental,70428
1419,"McKechin, Ann",Labour,10_11,2010-12-06,142.48,travel,Public Tr AIR,62290
1419,"McKechin, Ann",Labour,10_11,2010-09-05,18,travel,Taxi MP,36543
1419,"McKechin, Ann",Labour,10_11,2010-09-02,1.2,travel,Own Car MP,36530
1419,"McKechin, Ann",Labour,10_11,2010-07-12,1.8,travel,Public Tr Underground MP,18346
1419,"McKechin, Ann",Labour,10_11,2011-03-11,1.5,travel,Parking MP,81016
1419,"McKechin, Ann",Labour,10_11,2011-03-28,3.6,travel,Own Car MP,88780
1419,"McKechin, Ann",Labour,10_11,2011-02-11,3.6,travel,Own Car MP,71908
1419,"McKechin, Ann",Labour,10_11,2010-10-21,31.4,travel,Parking MP,44604
1419,"McKechin, Ann",Labour,10_11,2010-12-13,3.6,travel,Own Car MP,57520
1419,"McKechin, Ann",Labour,10_11,2010-09-10,3.6,travel,Parking MP,36543
1419,"McKechin, Ann",Labour,10_11,2010-10-25,3.6,travel,Own Car MP,46004
1419,"McKechin, Ann",Labour,10_11,2011-03-08,14,accommodation,Electricity,81013
1419,"McKechin, Ann",Labour,10_11,2010-07-09,1.32,general admin,Stationery Purchase,16070
1419,"McKechin, Ann",Labour,10_11,2010-12-11,1.2,travel,Own Car MP,57520
1419,"McKechin, Ann",Labour,10_11,2011-02-14,5.25,travel,Food & Drink @ Parliament,71909
1419,"McKechin, Ann",Labour,10_11,2011-02-22,39,general admin,Other,70420
1419,"McKechin, Ann",Labour,10_11,2011-02-17,1.3,travel,Public Tr BUS,71909
1419,"McKechin, Ann",Labour,10_11,2011-01-17,36.51,general admin,Stationery Purchase,63618
1419,"McKechin, Ann",Labour,10_11,2011-01-17,9.7,constituency rental,Const Office Hire of Premises,63637
1419,"McKechin, Ann",Labour,10_11,2011-02-18,1.6,travel,Own Car MP,71908
1419,"McKechin, Ann",Labour,10_11,2010-12-23,346.63,travel,Public Tr AIR,66918
1419,"McKechin, Ann",Labour,10_11,2010-06-25,286.1,travel,Public Tr AIR,19620
1419,"McKechin, Ann",Labour,10_11,2011-03-21,5.6,travel,Food & Drink @ Parliament,81016
1419,"McKechin, Ann",Labour,10_11,2011-02-07,13,accommodation,Telephone Usage/Rental,70559
1419,"McKechin, Ann",Labour,10_11,2010-10-31,35,travel,Parking MP,54829
1419,"McKechin, Ann",Labour,10_11,2010-11-18,1.8,travel,Public Tr Underground MP,53431
1419,"McKechin, Ann",Labour,10_11,2010-09-22,40.87,constituency rental,Const Office Tel. Usage/Rental,38404
1419,"McKechin, Ann",Labour,10_11,2010-10-07,17,accommodation,Gas,46003
1419,"McKechin, Ann",Labour,10_11,2010-08-05,0.75,general admin,Postage Purchase,26250
1419,"McKechin, Ann",Labour,10_11,2010-10-05,4.5,travel,Parking MP,46005
1419,"McKechin, Ann",Labour,10_11,2010-12-09,1.2,travel,Public Tr BUS,57523
1419,"McKechin, Ann",Labour,10_11,2011-01-27,3.6,travel,Own Car MP,67548
1419,"McKechin, Ann",Labour,10_11,2011-01-13,33.9,travel,Parking MP,66918
1419,"McKechin, Ann",Labour,10_11,2010-12-03,1,travel,Public Tr AIR,62290
1419,"McKechin, Ann",Labour,10_11,2011-01-07,3.11,general admin,Stationery Purchase,70420
1419,"McKechin, Ann",Labour,10_11,2010-11-12,38.37,general admin,Stationery Purchase,47813
1419,"McKechin, Ann",Labour,10_11,2010-06-03,23.9,travel,Parking Season Ticket,11365
1419,"McKechin, Ann",Labour,10_11,2010-11-29,-290.08,travel,Public Tr AIR,62290
1419,"McKechin, Ann",Labour,10_11,2010-08-26,23.44,general admin,Payment Telephone/Mobile,32381
1419,"McKechin, Ann",Labour,10_11,2011-03-08,14,accommodation,Electricity,73295
