id,list_name,party,session,date,value,category,description,claim_number
333,"McLoughlin, Patrick",Conservative,11_12,2012-03-18,18,travel,Own Car MP Staff,0000162696
333,"McLoughlin, Patrick",Conservative,11_12,2011-06-29,4.6,travel,Food & Drink @ Parliament,102849
333,"McLoughlin, Patrick",Conservative,12_13,2012-10-29,80.4,accommodation,Internet,0000217509
333,"McLoughlin, Patrick",Conservative,12_13,2012-08-08,6.75,travel,Own Vehicle Car MP Staff,0000201686
333,"McLoughlin, Patrick",Conservative,12_13,2012-07-11,139.16,office costs,Stationery Purchase,0000196282
333,"McLoughlin, Patrick",Conservative,12_13,2012-10-22,10,travel,Taxi,0000217517
333,"McLoughlin, Patrick",Conservative,12_13,2013-01-29,407.11,office costs,IT/Other Equipment Hire,0000237783
333,"McLoughlin, Patrick",Conservative,12_13,2012-06-22,65.7,travel,Own Vehicle Car,0000184951
333,"McLoughlin, Patrick",Conservative,12_13,2012-07-02,15,travel,Food & Drink @ Parliament,0000194012
333,"McLoughlin, Patrick",Conservative,12_13,2012-09-10,10,travel,Food & Drink @ Parliament,0000206986
333,"McLoughlin, Patrick",Conservative,12_13,2012-04-18,15,travel,Food & Drink @ Parliament,0000175725
333,"McLoughlin, Patrick",Conservative,12_13,2012-05-18,76.95,travel,Own Vehicle Car,0000181677
333,"McLoughlin, Patrick",Conservative,12_13,2012-09-12,10,travel,Food & Drink @ Parliament,0000206986
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,4.4,travel,Own Car MP Staff,28191
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,26,general admin,Stationery Purchase,28088
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-01,14.6,travel,Food & Drink @ Parliament,73803
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-10,8,travel,Congestion Zone/Toll MP,7368
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,1.7,travel,Parking MP,28090
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-25,50.4,travel,Own Car MP,42259
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-11,10.54,general admin,Postage Purchase,55041
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,6,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-28,4.6,travel,Food & Drink @ Parliament,73803
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-04,32.6,travel,Public Tr RAIL - SGL,61980
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-10,10,travel,Food & Drink @ Parliament,68396
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-10,74.97,accommodation,Internet,31097
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-01,55.88,accommodation,Water,31181
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-14,59.04,general admin,Advertising,69525
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-18,15.25,travel,Own Car MP,85923
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,56.8,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,2,travel,Parking MP,28090
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-21,53.6,travel,Own Car MP,45196
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-06,15,travel,Food & Drink @ Parliament,57766
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-26,10.75,travel,Own Car MP,85923
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,45.2,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-30,55,constituency rental,Const Office Electricity,55019
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-12,54,travel,Own Car MP,42207
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-19,59.4,general admin,Other,69440
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-20,3.84,general admin,Postage Purchase,45891
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-04,11.99,general admin,Payment Telephone/Mobile,45894
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-18,46.71,general admin,Advertising,32686
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-01,15,travel,Food & Drink @ Parliament,50191
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-01,1.79,accommodation,Water,31191
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-05,132.3,general admin,Payment Internet,21287
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-04,8.4,travel,Own Car MP,20478
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-01,29.2,travel,Own Car MP,45112
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-27,10,travel,Congestion Zone/Toll MP,73922
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-13,15,travel,Food & Drink @ Parliament,28673
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-06,11.48,general admin,Advertising,63029
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-14,12.8,travel,Own Car MP Staff,75190
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-19,48.4,travel,Own Car MP,51777
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,4,general admin,Install/Maint Office Equip.,28084
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-02,24,general admin,Venue Hire,20420
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-20,68.78,general admin,Telephone/Mobile Hire,64664
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-11,60.9,general admin,Other,80473
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-04,4,travel,Own Car MP,51777
333,"McLoughlin, Patrick",Conservative,10_11,2010-05-12,1.2,travel,Own Car MP Staff,8416
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-22,35.6,travel,Own Car MP,45155
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-28,10,travel,Food & Drink @ Parliament,80505
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-05,34.8,travel,Own Car MP,8348
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-20,9,travel,Public Tr RAIL - SGL,11150
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-05,13.2,travel,Own Car MP,42237
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-07,18.94,constituency rental,Const Office Electricity,94841
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-24,67.5,general admin,Telephone/Mobile Hire,50303
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,18.8,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-25,15,travel,Food & Drink @ Parliament,68396
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-14,4,travel,Own Car MP,45136
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-16,4.25,travel,Food & Drink @ Parliament,50191
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-10,37,general admin,Install/Maint Office Equip.,72968
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-03,37.2,travel,Own Car MP,42237
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-05,1.2,travel,Parking MP,80463
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-16,15,travel,Food & Drink @ Parliament,73803
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-10,54.4,travel,Own Car MP,7362
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-02,72,general admin,Photocopier Hire,73799
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-15,197.4,general admin,Stationery Purchase,48260
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-01,45.28,general admin,Venue Hire,73012
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-14,10,travel,Taxi MP,28648
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-21,6,travel,Parking MP,41498
333,"McLoughlin, Patrick",Conservative,10_11,2010-05-09,37.25,accommodation,Water,31179
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,57.2,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-11,41.2,travel,Own Car MP,42248
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-14,8.6,travel,Parking MP,69459
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-11,14.09,general admin,Other,80473
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-17,50.8,travel,Own Car MP,20487
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-30,70.5,general admin,Photocopier Hire,55023
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-17,8,travel,Congestion Zone/Toll MP,60180
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-02,4.6,travel,Food & Drink @ Parliament,80505
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-02,51.44,general admin,Telephone/Mobile Hire,20407
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-01,55.88,accommodation,Water,31181
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,3,travel,Parking MP,28090
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-07,14.6,travel,Food & Drink @ Parliament,73803
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-26,4.6,travel,Food & Drink @ Parliament,68396
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-08,36.35,general admin,Telephone/Mobile Hire,68416
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-01,55.88,accommodation,Water,45247
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-01,67.6,general admin,Other,69434
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-28,10,travel,Taxi MP,28649
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-07,33.5,travel,Own Car MP,51338
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-02,37.39,general admin,Payment Telephone/Mobile,20440
333,"McLoughlin, Patrick",Conservative,10_11,2010-05-29,27.6,travel,Own Car MP,7372
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-28,22.5,general admin,Venue Hire,80445
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-08,8.05,travel,Food & Drink @ Parliament,68396
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-06,54.4,travel,Own Car MP,7362
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-11,15,travel,Food & Drink @ Parliament,50185
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,4.41,general admin,Postage Purchase,31254
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-12,15,travel,Food & Drink @ Parliament,50185
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-23,65,general admin,Advertising,32685
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-27,3.75,travel,Own Car MP,85923
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-04,16,travel,Own Car MP,68410
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,3,travel,Parking MP,28090
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-15,125.8,general admin,Other,41382
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-06,53.6,travel,Own Car MP,31245
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-24,13.6,travel,Own Car MP Staff,75190
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-19,3.7,travel,Food & Drink @ Parliament,30988
333,"McLoughlin, Patrick",Conservative,10_11,2010-05-28,54.3,travel,Public Tr RAIL - RTN,11150
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-25,124,accommodation,Council Tax,66143
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-15,23.6,travel,Own Car MP,68410
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-19,27.75,travel,Own Car MP,85923
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-15,114.3,travel,Public Tr RAIL - RTN,44320
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-18,53.6,travel,Own Car MP,31249
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-15,63.93,accommodation,Telephone Usage/Rental,61230
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-21,4,travel,Own Car MP,45155
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-13,43.32,general admin,Stationery Purchase,55044
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-11,20,travel,Public Tr UND MP Staff,31258
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-24,114.3,travel,Public Tr RAIL - RTN,44320
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-01,55.82,general admin,Telephone/Mobile Hire,66148
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-10,54.4,travel,Own Car MP,73059
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-02,1.2,travel,Own Car MP Staff,8348
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-02,146.5,travel,Public Tr RAIL - RTN,27170
333,"McLoughlin, Patrick",Conservative,10_11,2010-05-12,1.2,travel,Own Car MP Staff,8416
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-03,21,accommodation,Electricity,50196
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-11,3.52,general admin,Other,80473
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,53.2,travel,Own Car MP,28161
333,"McLoughlin, Patrick",Conservative,10_11,2010-07-13,42.5,travel,Public Tr RAIL - SGL,19340
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-16,25.6,travel,Public Tr RAIL MP Staff - SGL,11150
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-10,132.3,general admin,Payment Internet,47247
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-23,34.8,travel,Own Car MP,45155
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-10,32.9,general admin,Telephone/Mobile Hire,60176
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-17,54,travel,Own Car MP,42207
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,48.4,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-16,5.15,general admin,Postage Purchase,41496
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-08,6.65,travel,Food & Drink @ Parliament,80505
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,1.7,travel,Parking MP,28090
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-13,5.38,general admin,Stationery Purchase,55044
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-18,11,travel,Taxi MP,55050
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,4,travel,Own Car MP Staff,28191
333,"McLoughlin, Patrick",Conservative,10_11,2010-08-03,265,general admin,Install/Maint Office Equip.,21101
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,52.4,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-30,43.48,general admin,Computer SW Purchase,69432
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-25,2.8,travel,Own Car MP,51777
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-25,23.6,travel,Own Car MP,8348
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-04,16.6,general admin,Venue Hire,6903
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-13,12.39,general admin,Stationery Purchase,45891
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-23,6.2,travel,Food & Drink @ Parliament,57766
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-31,4,travel,Own Car MP,45157
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,1,travel,Parking MP,28090
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-18,29.2,travel,Own Car MP,8348
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-11,3.2,travel,Own Bicycle MP Staff,8348
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-08,10,travel,Food & Drink @ Parliament,73803
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-21,8.8,travel,Own Car MP,6314
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-29,37.29,general admin,Payment Telephone/Mobile,8330
333,"McLoughlin, Patrick",Conservative,10_11,2011-03-13,2.75,travel,Own Car MP,85923
333,"McLoughlin, Patrick",Conservative,10_11,2010-11-23,4.5,travel,Food & Drink @ Parliament,57766
333,"McLoughlin, Patrick",Conservative,10_11,2010-12-22,134,travel,Public Tr RAIL - RTN,60193
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,34,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-21,16.4,travel,Own Car MP,42259
333,"McLoughlin, Patrick",Conservative,10_11,2011-02-10,20,general admin,Advertising,69435
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,35,general admin,Install/Maint Office Equip.,28082
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-06,6.99,general admin,Stationery Purchase,28095
333,"McLoughlin, Patrick",Conservative,10_11,2010-05-23,12.8,travel,Own Car MP,7372
333,"McLoughlin, Patrick",Conservative,10_11,2011-01-11,12.4,travel,Parking MP,60206
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,45.2,travel,Own Car MP,28168
333,"McLoughlin, Patrick",Conservative,10_11,2010-06-21,5.68,travel,Own Car MP,6314
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-07,15,travel,Food & Drink @ Parliament,50171
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-09,19.6,travel,Own Car MP,45134
333,"McLoughlin, Patrick",Conservative,10_11,2010-09-10,51.6,travel,Own Car MP,42248
333,"McLoughlin, Patrick",Conservative,10_11,2010-10-04,80.53,general admin,Payment Telephone/Mobile,45295
