id,list_name,party,session,date,value,category,description,claim_number
1490,"Moon, Madeleine",Labour,11_12,2011-07-19,15.25,travel,Taxi MP,117127
1490,"Moon, Madeleine",Labour,11_12,2011-05-17,13,travel,Taxi MP,95275
1490,"Moon, Madeleine",Labour,12_13,2013-03-15,19.8,travel,Own Vehicle Car MP Staff,0000276378
1490,"Moon, Madeleine",Labour,12_13,2012-08-17,67.11,office costs,Const Office Electricity,0000203243
1490,"Moon, Madeleine",Labour,12_13,2013-03-25,8.75,travel,Food & Drink @ Parliament,0000256201
1490,"Moon, Madeleine",Labour,12_13,2013-01-17,37.6,travel,Public Tr RAIL - SGL,0000236740
1490,"Moon, Madeleine",Labour,12_13,2012-12-08,6.3,travel,Own Vehicle Car,0000228584
1490,"Moon, Madeleine",Labour,12_13,2013-03-20,28.4,travel,Public Tr RAIL - RTN,0000255416
1490,"Moon, Madeleine",Labour,12_13,2012-08-22,30.14,office costs,Stationery Purchase,0000203243
1490,"Moon, Madeleine",Labour,12_13,2012-04-23,7.1,travel,Food & Drink @ Parliament,0000169323
1490,"Moon, Madeleine",Labour,10_11,2011-02-18,38.95,travel,Public Tr RAIL - SGL,74212
1490,"Moon, Madeleine",Labour,10_11,2010-10-22,35,miscellaneous expenses,Contingency,43147
1490,"Moon, Madeleine",Labour,10_11,2010-12-16,15,travel,Taxi MP,59009
1490,"Moon, Madeleine",Labour,10_11,2010-09-24,18,travel,Public Tr RAIL Other,44589
1490,"Moon, Madeleine",Labour,10_11,2011-01-12,335,general admin,Other,60427
1490,"Moon, Madeleine",Labour,10_11,2010-12-06,124.75,travel,Public Tr RAIL - RTN,62273
1490,"Moon, Madeleine",Labour,10_11,2010-09-27,14,travel,Own Car MP,34775
1490,"Moon, Madeleine",Labour,10_11,2010-10-05,86.05,accommodation,Home Contents Insurance,47055
1490,"Moon, Madeleine",Labour,10_11,2010-07-20,10.4,travel,Own Car MP,28344
1490,"Moon, Madeleine",Labour,10_11,2011-02-28,14,travel,Taxi MP,75311
1490,"Moon, Madeleine",Labour,10_11,2010-06-30,15,travel,Taxi MP,26254
1490,"Moon, Madeleine",Labour,10_11,2010-11-29,32,travel,Public Tr RAIL - SGL,62273
1490,"Moon, Madeleine",Labour,10_11,2010-09-15,408.66,constituency rental,Const Office Tel. Usage/Rental,34719
1490,"Moon, Madeleine",Labour,10_11,2010-09-15,61.62,constituency rental,Const Office Tel. Usage/Rental,34719
1490,"Moon, Madeleine",Labour,10_11,2011-01-04,36,general admin,Other,69930
