id,list_name,party,session,date,value,category,description,claim_number
3973,"Morris, Grahame M.",Labour,12_13,2012-04-01,966.58,office costs,Const Office Rent,Payment to Supplier
3973,"Morris, Grahame M.",Labour,12_13,2012-08-13,95,travel,Public Tr RAIL - SGL,0000215015
3973,"Morris, Grahame M.",Labour,10_11,2011-03-28,62.96,general admin,Landline Hire,84170
3973,"Morris, Grahame M.",Labour,10_11,2010-11-04,220.8,travel,Own Car MP,49726
3973,"Morris, Grahame M.",Labour,10_11,2011-01-13,220.8,travel,Own Car MP,64010
3973,"Morris, Grahame M.",Labour,10_11,2010-06-28,41.7,constituency rental,Const Office Tel. Usage/Rental,25240
3973,"Morris, Grahame M.",Labour,10_11,2010-09-05,45.6,general admin,Payment Telephone/Mobile,51473
3973,"Morris, Grahame M.",Labour,10_11,2011-03-30,31.68,accommodation,Telephone Usage/Rental,84176
3973,"Morris, Grahame M.",Labour,10_11,2010-07-08,390,accommodation,Interim Hotel London Area,11999
3973,"Morris, Grahame M.",Labour,10_11,2010-09-30,145.5,accommodation,Television Licence,49716
3973,"Morris, Grahame M.",Labour,10_11,2010-07-15,220.8,travel,Own Car MP,14170
3973,"Morris, Grahame M.",Labour,10_11,2011-03-03,146.34,general admin,Other,77684
3973,"Morris, Grahame M.",Labour,10_11,2010-10-11,458.25,general admin,Other,38841
3973,"Morris, Grahame M.",Labour,10_11,2011-03-25,541.66,general admin,Telephone/Mobile Purchase,84158
3973,"Morris, Grahame M.",Labour,10_11,2010-07-12,52.66,constituency rental,Const Office Tel. Usage/Rental,25235
3973,"Morris, Grahame M.",Labour,10_11,2011-01-06,183.3,travel,Public Tr RAIL MP Staff - RTN,63987
3973,"Morris, Grahame M.",Labour,10_11,2010-07-12,61.65,constituency rental,Const Office Internet Rental,25235
3973,"Morris, Grahame M.",Labour,10_11,2011-02-04,31.45,general admin,Landline Hire,71164
3973,"Morris, Grahame M.",Labour,10_11,2010-11-15,17.36,general admin,Stationery Purchase,49720
3973,"Morris, Grahame M.",Labour,10_11,2010-08-14,1450,accommodation,Accommodation Rent,36495
3973,"Morris, Grahame M.",Labour,10_11,2011-02-03,220.8,travel,Own Car MP,71166
3973,"Morris, Grahame M.",Labour,10_11,2010-08-25,54.13,general admin,Other,25241
3973,"Morris, Grahame M.",Labour,10_11,2011-01-26,48.06,general admin,Other,64666
3973,"Morris, Grahame M.",Labour,10_11,2011-03-31,135,general admin,Install/Maint Office Equip.,84900
3973,"Morris, Grahame M.",Labour,10_11,2010-10-01,38.62,constituency rental,Const Office Tel. Usage/Rental,38839
3973,"Morris, Grahame M.",Labour,10_11,2010-06-24,390,accommodation,Interim Hotel London Area,7337
3973,"Morris, Grahame M.",Labour,10_11,2011-01-26,2018.4,general admin,Computer HW Purchase,64648
3973,"Morris, Grahame M.",Labour,10_11,2010-06-24,266,travel,Public Tr RAIL - RTN,11422
3973,"Morris, Grahame M.",Labour,10_11,2011-01-26,2174.28,general admin,Computer HW Purchase,64666
3973,"Morris, Grahame M.",Labour,10_11,2010-10-31,13.74,accommodation,Telephone Usage/Rental,56488
3973,"Morris, Grahame M.",Labour,10_11,2011-02-28,30.35,general admin,Landline Hire,79012
3973,"Morris, Grahame M.",Labour,10_11,2010-05-14,74.3,travel,Public Tr RAIL Other,7359
3973,"Morris, Grahame M.",Labour,10_11,2010-08-09,33.27,general admin,Landline Hire,25214
3973,"Morris, Grahame M.",Labour,10_11,2011-03-16,160.47,general admin,Photocopier Purchase,77660
3973,"Morris, Grahame M.",Labour,10_11,2010-10-04,1450,accommodation,Accommodation Rent,36495
3973,"Morris, Grahame M.",Labour,10_11,2010-07-01,104.6,travel,Public Tr RAIL - RTN,19697
