id,list_name,party,session,date,value,category,description,claim_number
3954,"Mosley, Stephen",Conservative,10_11,2010-11-29,207.58,constituency rental,Const Office Tel. Usage/Rental,51358
3954,"Mosley, Stephen",Conservative,10_11,2010-11-18,387.75,accommodation,Hotel London Area,49113
3954,"Mosley, Stephen",Conservative,10_11,2011-01-09,80.5,travel,Public Tr RAIL - RTN,66779
3954,"Mosley, Stephen",Conservative,10_11,2010-10-12,2300,constituency rental,Const Office Rent,39217
3954,"Mosley, Stephen",Conservative,10_11,2010-10-12,65,constituency rental,Contents Insurance,39217
3954,"Mosley, Stephen",Conservative,10_11,2010-11-10,130,accommodation,Hotel London Area,47141
3954,"Mosley, Stephen",Conservative,10_11,2011-03-21,33.74,general admin,Telephone/Mobile Hire,77792
3954,"Mosley, Stephen",Conservative,10_11,2010-06-04,25.5,travel,Public Tr RAIL - RTN,11265
3954,"Mosley, Stephen",Conservative,10_11,2011-03-01,33.6,general admin,Telephone/Mobile Hire,72217
3954,"Mosley, Stephen",Conservative,10_11,2011-03-01,154.8,constituency rental,Const Office Tel. Usage/Rental,72210
3954,"Mosley, Stephen",Conservative,10_11,2010-12-07,129.25,accommodation,Hotel London Area,55279
3954,"Mosley, Stephen",Conservative,10_11,2011-03-01,33,constituency rental,Contents Insurance,72210
3954,"Mosley, Stephen",Conservative,10_11,2011-03-10,390,accommodation,Hotel London Area,75543
3954,"Mosley, Stephen",Conservative,10_11,2011-02-04,13.6,travel,Own Car MP,70582
3954,"Mosley, Stephen",Conservative,10_11,2011-01-05,82.9,general admin,Stationery Purchase,58958
3954,"Mosley, Stephen",Conservative,10_11,2010-09-06,94.59,general admin,Stationery Purchase,27935
3954,"Mosley, Stephen",Conservative,10_11,2010-11-08,258.5,accommodation,Hotel London Area,46556
3954,"Mosley, Stephen",Conservative,10_11,2010-07-22,32.9,general admin,Payment Telephone/Mobile,16405
3954,"Mosley, Stephen",Conservative,10_11,2011-03-09,79.39,general admin,Stationery Purchase,75468
3954,"Mosley, Stephen",Conservative,10_11,2010-05-29,66.2,travel,Public Tr RAIL - RTN,1334
3954,"Mosley, Stephen",Conservative,10_11,2010-09-06,151.58,general admin,Office Furniture Purchase,27935
3954,"Mosley, Stephen",Conservative,10_11,2011-02-10,390,accommodation,Hotel London Area,68933
3954,"Mosley, Stephen",Conservative,10_11,2010-06-08,26.5,travel,Public Tr RAIL - SGL,11265
3954,"Mosley, Stephen",Conservative,10_11,2011-02-02,260,accommodation,Hotel London Area,66177
3954,"Mosley, Stephen",Conservative,10_11,2010-10-12,39,constituency rental,Const Office Water,39217
3954,"Mosley, Stephen",Conservative,10_11,2010-06-09,258.5,accommodation,Interim Hotel London Area,3281
3954,"Mosley, Stephen",Conservative,10_11,2011-03-03,390,accommodation,Hotel London Area,73270
3954,"Mosley, Stephen",Conservative,10_11,2010-11-29,19.5,constituency rental,Const Office Water,51358
3954,"Mosley, Stephen",Conservative,10_11,2010-10-29,72.2,travel,Public Tr RAIL - RTN,54682
3954,"Mosley, Stephen",Conservative,10_11,2010-11-15,72.2,travel,Public Tr RAIL - RTN,54682
3954,"Mosley, Stephen",Conservative,10_11,2010-12-17,32.9,general admin,Telephone/Mobile Hire,57380
