id,list_name,party,session,date,value,category,description,claim_number
4100,"Murray, Sheryll",Conservative,11_12,2011-07-15,24.99,office costs,Office Furniture Purchase,105984
4100,"Murray, Sheryll",Conservative,11_12,2011-07-16,0.4,travel,Parking MP,107341
4100,"Murray, Sheryll",Conservative,11_12,2011-07-18,7.2,travel,Own Car MP,107672
4100,"Murray, Sheryll",Conservative,11_12,2011-05-16,5,travel,Parking MP,92157
4100,"Murray, Sheryll",Conservative,12_13,2012-08-02,23.4,travel,Own Vehicle Car MP Staff,0000205432
4100,"Murray, Sheryll",Conservative,12_13,2012-06-25,11.25,office costs,Venue Hire Surgery/Meeting,0000184743
4100,"Murray, Sheryll",Conservative,12_13,2012-04-16,38.25,office costs,Const Office Tel. Usage/Rental,0000166130
4100,"Murray, Sheryll",Conservative,12_13,2013-03-18,76.61,office costs,Stationery Purchase,0000250731
4100,"Murray, Sheryll",Conservative,12_13,2012-04-02,5.4,travel,Own Car MP Staff,0000166862
4100,"Murray, Sheryll",Conservative,12_13,2012-04-21,2,travel,Parking MP Staff,0000176182
4100,"Murray, Sheryll",Conservative,12_13,2012-07-20,19.99,office costs,Tel/Mobile Purchase,0000193232
4100,"Murray, Sheryll",Conservative,12_13,2013-03-26,7.2,travel,Own Vehicle Car,0000258744
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,8.8,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-09-07,11.28,travel,Public Tr RAIL MP Staff - RTN,37627
4100,"Murray, Sheryll",Conservative,10_11,2010-09-14,6.4,travel,Own Car MP,30346
4100,"Murray, Sheryll",Conservative,10_11,2010-06-05,17.6,travel,Own Car MP,2588
4100,"Murray, Sheryll",Conservative,10_11,2010-12-06,101.2,travel,Own Car MP Staff,59032
4100,"Murray, Sheryll",Conservative,10_11,2010-07-25,14.8,travel,Own Car MP,17013
4100,"Murray, Sheryll",Conservative,10_11,2010-06-23,114.5,travel,Public Tr RAIL - SGL,2617
4100,"Murray, Sheryll",Conservative,10_11,2010-07-05,6.4,travel,Own Car MP,10268
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,6,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-07-05,20,travel,Own Car MP,10268
4100,"Murray, Sheryll",Conservative,10_11,2011-03-25,12.4,travel,Own Car MP Staff,84520
4100,"Murray, Sheryll",Conservative,10_11,2010-09-17,2,travel,Own Car MP,39058
4100,"Murray, Sheryll",Conservative,10_11,2011-01-05,12.8,travel,Own Car MP,59709
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,2,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-07-04,3.45,general admin,Other,16730
4100,"Murray, Sheryll",Conservative,10_11,2010-11-27,1.2,travel,Parking MP Staff,57578
4100,"Murray, Sheryll",Conservative,10_11,2010-12-20,6.4,travel,Own Car MP,59709
4100,"Murray, Sheryll",Conservative,10_11,2010-10-30,24.8,travel,Own Car MP,51152
4100,"Murray, Sheryll",Conservative,10_11,2010-06-21,875,constituency rental,Const Office Rent,16892
4100,"Murray, Sheryll",Conservative,10_11,2010-10-11,1.6,travel,Own Car MP,39058
4100,"Murray, Sheryll",Conservative,10_11,2011-01-20,56,travel,Public Tr RAIL - SGL,66673
4100,"Murray, Sheryll",Conservative,10_11,2010-09-14,6.4,travel,Own Car MP,30346
4100,"Murray, Sheryll",Conservative,10_11,2010-06-23,6.4,travel,Own Car MP,7090
4100,"Murray, Sheryll",Conservative,10_11,2010-07-18,124,travel,Public Tr RAIL Railcard,19381
4100,"Murray, Sheryll",Conservative,10_11,2011-02-07,6.4,travel,Own Car MP,70219
4100,"Murray, Sheryll",Conservative,10_11,2010-09-14,6.4,travel,Own Car MP,30346
4100,"Murray, Sheryll",Conservative,10_11,2010-07-16,110,general admin,Professional Services,24623
4100,"Murray, Sheryll",Conservative,10_11,2010-11-04,10.4,travel,Own Car MP,51152
4100,"Murray, Sheryll",Conservative,10_11,2010-07-03,3.4,travel,Parking MP Staff,19855
4100,"Murray, Sheryll",Conservative,10_11,2010-10-16,1.2,travel,Parking MP,43712
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,2.8,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-07-05,8,travel,Own Car MP,10268
4100,"Murray, Sheryll",Conservative,10_11,2010-06-19,3.47,general admin,Other,16730
4100,"Murray, Sheryll",Conservative,10_11,2011-01-10,21,general admin,Other,59952
4100,"Murray, Sheryll",Conservative,10_11,2010-07-16,11.22,general admin,Other,16730
4100,"Murray, Sheryll",Conservative,10_11,2010-07-03,20.8,travel,Own Car MP Staff,19886
4100,"Murray, Sheryll",Conservative,10_11,2010-12-18,16,constituency rental,Const Office Hire of Premises,59948
4100,"Murray, Sheryll",Conservative,10_11,2010-10-15,62.8,travel,Own Car MP,42101
4100,"Murray, Sheryll",Conservative,10_11,2010-09-21,3.39,general admin,Stationery Purchase,33198
4100,"Murray, Sheryll",Conservative,10_11,2011-03-04,6.4,travel,Own Car MP,77597
4100,"Murray, Sheryll",Conservative,10_11,2010-09-05,281.01,general admin,Stationery Purchase,33198
4100,"Murray, Sheryll",Conservative,10_11,2010-06-19,2,travel,Parking MP Staff,19855
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,2,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-10-11,338.05,general admin,Payment Telephone/Mobile,42206
4100,"Murray, Sheryll",Conservative,10_11,2010-07-05,8,travel,Own Car MP,10268
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,4.8,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-06-05,17.6,travel,Own Car MP,2616
4100,"Murray, Sheryll",Conservative,10_11,2010-10-10,6.8,travel,Own Car MP,39058
4100,"Murray, Sheryll",Conservative,10_11,2010-09-12,36.5,travel,Public Tr RAIL - SGL,37627
4100,"Murray, Sheryll",Conservative,10_11,2010-10-09,10.4,travel,Own Car MP,39058
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,6.4,travel,Own Car MP,23958
4100,"Murray, Sheryll",Conservative,10_11,2010-10-18,6.4,travel,Own Car MP,42101
4100,"Murray, Sheryll",Conservative,10_11,2011-03-21,93.53,constituency rental,Const Office Tel. Usage/Rental,79059
4100,"Murray, Sheryll",Conservative,10_11,2010-10-30,1.6,travel,Parking MP Staff,50093
4100,"Murray, Sheryll",Conservative,10_11,2010-07-25,42.5,travel,Public Tr RAIL - SGL,27204
4100,"Murray, Sheryll",Conservative,10_11,2010-06-05,6.4,travel,Own Car MP,2588
4100,"Murray, Sheryll",Conservative,10_11,2010-06-23,5.6,travel,Own Car MP,7090
4100,"Murray, Sheryll",Conservative,10_11,2010-06-23,3.2,travel,Own Car MP,7090
4100,"Murray, Sheryll",Conservative,10_11,2011-01-15,24.4,travel,Own Car MP,65877
4100,"Murray, Sheryll",Conservative,10_11,2010-09-10,33.08,general admin,Payment Telephone/Mobile,31452
4100,"Murray, Sheryll",Conservative,10_11,2011-01-10,5.99,general admin,Stationery Purchase,59952
4100,"Murray, Sheryll",Conservative,10_11,2010-06-05,3.6,travel,Own Car MP,2588
4100,"Murray, Sheryll",Conservative,10_11,2010-11-14,38.3,constituency rental,Const Office Electricity,50113
4100,"Murray, Sheryll",Conservative,10_11,2010-09-07,40.8,accommodation,Electricity,28148
4100,"Murray, Sheryll",Conservative,10_11,2010-11-27,24.8,travel,Own Car MP,51152
4100,"Murray, Sheryll",Conservative,10_11,2011-03-20,4.5,travel,Public Tr RAIL - SGL,81987
4100,"Murray, Sheryll",Conservative,10_11,2010-12-07,1430,accommodation,Accommodation Rent,53849
4100,"Murray, Sheryll",Conservative,10_11,2010-06-13,25,travel,Public Tr RAIL Railcard,11185
4100,"Murray, Sheryll",Conservative,10_11,2010-10-11,146.06,constituency rental,Const Office Internet Rental,38969
4100,"Murray, Sheryll",Conservative,10_11,2010-09-07,11.24,travel,Public Tr RAIL MP Staff - RTN,37627
4100,"Murray, Sheryll",Conservative,10_11,2010-08-18,6.4,travel,Own Car MP,23958
