id,list_name,party,session,date,value,category,description,claim_number
1466,"Murrison, Andrew",Conservative,11_12,2011-08-30,7.5,office costs,Professional Services,115498
1466,"Murrison, Andrew",Conservative,11_12,2011-07-29,22.05,travel,Own Car MP,105268
1466,"Murrison, Andrew",Conservative,12_13,2012-07-05,2.25,travel,Own Vehicle Car,0000184357
1466,"Murrison, Andrew",Conservative,12_13,2012-06-08,0.5,travel,Parking,0000182373
1466,"Murrison, Andrew",Conservative,12_13,2012-06-11,48.2,travel,Public Tr RAIL - RTN,0000188806
1466,"Murrison, Andrew",Conservative,12_13,2012-06-26,23.88,office costs,Stationery Purchase,Payment to Supplier
1466,"Murrison, Andrew",Conservative,12_13,2013-02-25,6.32,office costs,Newspapers/Journals,0000244226
1466,"Murrison, Andrew",Conservative,10_11,2010-08-03,16.8,travel,Own Car MP,21678
1466,"Murrison, Andrew",Conservative,10_11,2011-03-03,2,travel,Own Car MP,75446
1466,"Murrison, Andrew",Conservative,10_11,2010-07-26,8,travel,Congestion Zone/Toll MP,21361
1466,"Murrison, Andrew",Conservative,10_11,2010-09-06,7.5,general admin,Professional Services,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-07-15,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-06-14,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-07-09,0.45,general admin,Other,28610
1466,"Murrison, Andrew",Conservative,10_11,2010-07-10,1.5,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-11-07,17.2,travel,Own Car MP,49512
1466,"Murrison, Andrew",Conservative,10_11,2010-06-07,1,general admin,Other,13722
1466,"Murrison, Andrew",Conservative,10_11,2011-03-25,1,travel,Parking MP,82515
1466,"Murrison, Andrew",Conservative,10_11,2010-10-08,0.4,travel,Parking MP,39906
1466,"Murrison, Andrew",Conservative,10_11,2010-11-24,45.54,general admin,Telephone/Mobile Hire,45426
1466,"Murrison, Andrew",Conservative,10_11,2010-06-30,1,general admin,Other,13722
1466,"Murrison, Andrew",Conservative,10_11,2010-11-01,7.5,general admin,Professional Services,45426
1466,"Murrison, Andrew",Conservative,10_11,2011-01-21,41.56,constituency rental,Const Office Tel. Usage/Rental,58987
1466,"Murrison, Andrew",Conservative,10_11,2011-02-04,34.4,travel,Own Car MP,69276
1466,"Murrison, Andrew",Conservative,10_11,2010-10-15,239.48,general admin,Computer SW Purchase,39885
1466,"Murrison, Andrew",Conservative,10_11,2011-03-04,705.99,constituency rental,Const Office Rent,71106
1466,"Murrison, Andrew",Conservative,10_11,2011-02-04,3.2,travel,Parking MP,70337
1466,"Murrison, Andrew",Conservative,10_11,2010-05-11,15,general admin,Professional Services,13722
1466,"Murrison, Andrew",Conservative,10_11,2010-07-08,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-08-28,2.1,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2011-03-21,7.5,general admin,Professional Services,78230
1466,"Murrison, Andrew",Conservative,10_11,2010-11-22,2,travel,Own Car MP,57198
1466,"Murrison, Andrew",Conservative,10_11,2010-10-22,1.8,travel,Parking MP,41533
1466,"Murrison, Andrew",Conservative,10_11,2010-07-12,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-07-02,2.01,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-07-18,669.29,accommodation,Council Tax,28647
1466,"Murrison, Andrew",Conservative,10_11,2011-01-10,7.5,general admin,Professional Services,57951
1466,"Murrison, Andrew",Conservative,10_11,2010-09-16,30.8,travel,Public Tr RAIL - RTN,37651
1466,"Murrison, Andrew",Conservative,10_11,2011-03-28,2,travel,Own Car MP,80865
1466,"Murrison, Andrew",Conservative,10_11,2010-07-27,1,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2011-01-27,2,travel,Own Car MP,69276
1466,"Murrison, Andrew",Conservative,10_11,2010-09-03,35,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-09-05,2,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-06-02,80.6,travel,Public Tr RAIL - RTN,18909
1466,"Murrison, Andrew",Conservative,10_11,2010-08-18,1,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-09-11,1.8,general admin,Other,39885
1466,"Murrison, Andrew",Conservative,10_11,2010-06-10,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-07-22,1.01,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-10-14,43.2,travel,Own Car MP,40288
1466,"Murrison, Andrew",Conservative,10_11,2010-12-03,40.82,constituency rental,Const Office Tel. Usage/Rental,49413
1466,"Murrison, Andrew",Conservative,10_11,2011-01-17,2,travel,Own Car MP,69276
1466,"Murrison, Andrew",Conservative,10_11,2010-11-29,2,travel,Own Car MP,57198
1466,"Murrison, Andrew",Conservative,10_11,2010-11-19,23.6,travel,Own Car MP,57198
1466,"Murrison, Andrew",Conservative,10_11,2010-10-15,110.04,constituency rental,Const Office Tel. Usage/Rental,39901
1466,"Murrison, Andrew",Conservative,10_11,2010-12-17,19.6,travel,Own Car MP,69276
1466,"Murrison, Andrew",Conservative,10_11,2010-06-13,8,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2011-03-13,8.8,travel,Own Car MP,75446
1466,"Murrison, Andrew",Conservative,10_11,2010-09-13,43,travel,Public Tr RAIL - RTN,37651
1466,"Murrison, Andrew",Conservative,10_11,2011-01-17,45.5,travel,Public Tr RAIL - RTN,66701
1466,"Murrison, Andrew",Conservative,10_11,2010-08-07,3.9,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-05-24,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-10-22,5.1,general admin,Other,41539
1466,"Murrison, Andrew",Conservative,10_11,2010-12-17,7.14,general admin,Stationery Purchase,55688
1466,"Murrison, Andrew",Conservative,10_11,2011-02-21,7.5,general admin,Professional Services,70342
1466,"Murrison, Andrew",Conservative,10_11,2010-06-04,17.2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2010-08-17,1,general admin,Other,28624
1466,"Murrison, Andrew",Conservative,10_11,2010-06-03,2,travel,Own Car MP,13305
1466,"Murrison, Andrew",Conservative,10_11,2011-01-17,7.5,general admin,Professional Services,57951
1466,"Murrison, Andrew",Conservative,10_11,2011-03-16,2,travel,Own Car MP,75446
1466,"Murrison, Andrew",Conservative,10_11,2010-09-03,42.53,constituency rental,Const Office Tel. Usage/Rental,26646
