id,list_name,party,session,date,value,category,description,claim_number
1601,"Neill, Robert",Conservative,11_12,2011-07-06,2.7,travel,Own Car MP,102262
1601,"Neill, Robert",Conservative,11_12,2011-05-19,75,constituency rental,Const Office Hire of Premises,91427
1601,"Neill, Robert",Conservative,12_13,2012-05-21,133.83,office costs,Stationery Purchase,0000179176
1601,"Neill, Robert",Conservative,12_13,2012-10-27,2.25,travel,Own Vehicle Car,0000236573
1601,"Neill, Robert",Conservative,12_13,2012-12-20,548.35,office costs,Professional Services,0000230440
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-09-16,75.33,general admin,Payment Telephone/Mobile,30858
1601,"Neill, Robert",Conservative,10_11,2010-09-16,88.99,general admin,Payment Telephone/Mobile,30858
1601,"Neill, Robert",Conservative,10_11,2011-01-07,4,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-07-30,6,general admin,Website - Hosting,26234
1601,"Neill, Robert",Conservative,10_11,2010-10-18,1058.68,general admin,Computer HW Purchase,40649
1601,"Neill, Robert",Conservative,10_11,2011-01-13,548.35,general admin,Professional Services,61356
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2011-01-07,9.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-08-03,83.9,general admin,Stationery Purchase,20790
1601,"Neill, Robert",Conservative,10_11,2010-08-09,9.6,travel,Own Car MP,21924
1601,"Neill, Robert",Conservative,10_11,2011-01-07,4,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-11-01,548.35,general admin,Professional Services,44712
1601,"Neill, Robert",Conservative,10_11,2010-08-09,4.8,travel,Own Car MP,21924
1601,"Neill, Robert",Conservative,10_11,2011-01-07,2.4,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2011-02-03,42.83,general admin,Payment Telephone/Mobile,67392
1601,"Neill, Robert",Conservative,10_11,2011-01-07,2.4,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-12-06,78.81,general admin,Payment Telephone/Mobile,53641
1601,"Neill, Robert",Conservative,10_11,2011-02-03,43.14,general admin,Payment Telephone/Mobile,67392
1601,"Neill, Robert",Conservative,10_11,2010-07-30,385.37,general admin,Professional Services,26234
1601,"Neill, Robert",Conservative,10_11,2010-11-18,91.8,constituency rental,Const Office Hire of Premises,49179
1601,"Neill, Robert",Conservative,10_11,2010-09-01,105.75,general admin,Stationery Purchase,26262
1601,"Neill, Robert",Conservative,10_11,2010-08-09,9.6,travel,Own Car MP,21924
1601,"Neill, Robert",Conservative,10_11,2011-01-13,77.96,general admin,Payment Telephone/Mobile,61363
1601,"Neill, Robert",Conservative,10_11,2010-12-06,38.85,general admin,Payment Telephone/Mobile,53643
1601,"Neill, Robert",Conservative,10_11,2011-01-07,3.2,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-07-02,3.2,travel,Own Car MP,30740
1601,"Neill, Robert",Conservative,10_11,2011-02-03,69.37,general admin,Payment Telephone/Mobile,67398
1601,"Neill, Robert",Conservative,10_11,2010-08-03,40.46,general admin,Stationery Purchase,20790
1601,"Neill, Robert",Conservative,10_11,2011-01-07,4,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2011-01-07,4,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-11-18,100,constituency rental,Const Office Hire of Premises,49179
1601,"Neill, Robert",Conservative,10_11,2010-08-03,2408.75,general admin,Professional Services,20759
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-07-09,2.4,travel,Own Car MP,30740
1601,"Neill, Robert",Conservative,10_11,2011-01-07,4.8,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-07-30,12.77,constituency rental,Const Office Internet Usage,42744
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-08-09,9.6,travel,Own Car MP,21924
1601,"Neill, Robert",Conservative,10_11,2010-07-24,2.4,travel,Own Car MP,30740
1601,"Neill, Robert",Conservative,10_11,2011-03-07,548.35,general admin,Professional Services,74794
1601,"Neill, Robert",Conservative,10_11,2010-06-18,4,travel,Own Car MP,30740
1601,"Neill, Robert",Conservative,10_11,2011-02-19,239.92,general admin,Stationery Purchase,91416
1601,"Neill, Robert",Conservative,10_11,2011-01-13,548.35,general admin,Professional Services,61356
1601,"Neill, Robert",Conservative,10_11,2011-01-07,3.2,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2011-01-07,3.2,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-11-18,222.11,general admin,Stationery Purchase,49188
1601,"Neill, Robert",Conservative,10_11,2011-01-07,1.6,travel,Own Car MP,59558
1601,"Neill, Robert",Conservative,10_11,2010-09-16,50,constituency rental,Const Office Hire of Premises,30860
