id,list_name,party,session,date,value,category,description,claim_number
4140,"Nuttall, David",Conservative,12_13,2012-05-10,97.89,office costs,Const Office Gas,0000178166
4140,"Nuttall, David",Conservative,12_13,2012-05-17,1495,accommodation,Accommodation Rent,Payment to Supplier
4140,"Nuttall, David",Conservative,12_13,2012-12-04,74.2,travel,Public Tr RAIL Other,0000235537
4140,"Nuttall, David",Conservative,12_13,2012-12-16,49,travel,Public Tr RAIL Other,0000235537
4140,"Nuttall, David",Conservative,12_13,2012-09-03,99.6,travel,Public Tr RAIL Other,0000211149
4140,"Nuttall, David",Conservative,10_11,2010-10-25,1430,accommodation,Accommodation Rent,60440
4140,"Nuttall, David",Conservative,10_11,2011-03-01,15,travel,Parking MP Staff,75121
4140,"Nuttall, David",Conservative,10_11,2011-02-24,70,travel,Public Tr RAIL Other,74232
4140,"Nuttall, David",Conservative,10_11,2010-09-06,66.2,travel,Public Tr RAIL Other,34773
4140,"Nuttall, David",Conservative,10_11,2010-05-10,66.2,travel,Public Tr RAIL Other,4151
4140,"Nuttall, David",Conservative,10_11,2010-07-22,7.2,travel,Public Tr UND MP Staff,29065
4140,"Nuttall, David",Conservative,10_11,2011-01-22,70,travel,Public Tr RAIL Other,66919
4140,"Nuttall, David",Conservative,10_11,2010-06-02,129.25,accommodation,Interim Hotel London Area,4157
4140,"Nuttall, David",Conservative,10_11,2010-08-13,87.1,travel,Public Tr RAIL MP Staff - RTN,29065
4140,"Nuttall, David",Conservative,10_11,2010-06-23,246.76,accommodation,Interim Hotel London Area,15735
4140,"Nuttall, David",Conservative,10_11,2010-08-13,7.2,travel,Public Tr UND MP Staff,29065
4140,"Nuttall, David",Conservative,10_11,2010-12-31,70,travel,Public Tr RAIL Other,66919
4140,"Nuttall, David",Conservative,10_11,2010-11-16,10.81,constituency rental,Const Office Water,61248
4140,"Nuttall, David",Conservative,10_11,2011-03-01,7.1,travel,Public Tr UND MP Staff,75121
4140,"Nuttall, David",Conservative,10_11,2010-11-04,4.4,travel,Own Car MP Staff,55514
4140,"Nuttall, David",Conservative,10_11,2011-03-31,70,travel,Public Tr RAIL Other,91113
4140,"Nuttall, David",Conservative,10_11,2011-02-28,5.96,constituency rental,Const Office Water,85466
4140,"Nuttall, David",Conservative,10_11,2010-09-15,1430,accommodation,Accommodation Rent,30430
4140,"Nuttall, David",Conservative,10_11,2011-01-28,125.19,accommodation,Electricity,69004
4140,"Nuttall, David",Conservative,10_11,2010-07-05,503.98,general admin,Office Furniture Purchase,30904
4140,"Nuttall, David",Conservative,10_11,2010-10-13,186.5,travel,Public Tr RAIL - RTN,40833
4140,"Nuttall, David",Conservative,10_11,2010-09-02,2062.5,constituency rental,Const Office Rent,29145
4140,"Nuttall, David",Conservative,10_11,2011-03-18,70,travel,Public Tr RAIL Other,82244
4140,"Nuttall, David",Conservative,10_11,2010-06-28,66.2,travel,Public Tr RAIL Other,15777
4140,"Nuttall, David",Conservative,10_11,2010-12-21,-23.1,travel,Public Tr OTHER,62291
4140,"Nuttall, David",Conservative,10_11,2010-11-29,114.08,constituency rental,Const Office Electricity,61372
4140,"Nuttall, David",Conservative,10_11,2010-12-10,66.2,travel,Public Tr OTHER,62291
4140,"Nuttall, David",Conservative,10_11,2010-10-17,0,travel,Public Tr RAIL Other,0000044605
