id,list_name,party,session,date,value,category,description,claim_number
3964,"O'Donnell, Fiona",Labour,11_12,2012-02-27,9.45,travel,Own Car MP,0000161306
3964,"O'Donnell, Fiona",Labour,12_13,2012-07-27,2.55,office costs,Postage Purchase,0000222040
3964,"O'Donnell, Fiona",Labour,12_13,2013-01-31,398.57,travel,Public Tr AIR,0000248389
3964,"O'Donnell, Fiona",Labour,12_13,2013-01-22,15.26,office costs,Stationery Purchase,Payment to Supplier
3964,"O'Donnell, Fiona",Labour,10_11,2010-05-29,8,travel,Own Car MP,2186
3964,"O'Donnell, Fiona",Labour,10_11,2011-03-07,12,general admin,Other,78232
3964,"O'Donnell, Fiona",Labour,10_11,2010-08-19,1450,accommodation,Accommodation Rent,23975
3964,"O'Donnell, Fiona",Labour,10_11,2010-11-04,1450,accommodation,Accommodation Rent,45903
3964,"O'Donnell, Fiona",Labour,10_11,2010-07-02,8,travel,Own Car MP,32005
3964,"O'Donnell, Fiona",Labour,10_11,2010-08-06,2.4,travel,Own Car MP,32021
3964,"O'Donnell, Fiona",Labour,10_11,2010-12-06,108.3,travel,Public Tr RAIL - RTN,62212
3964,"O'Donnell, Fiona",Labour,10_11,2010-07-12,1.5,travel,Public Tr AIR,19546
3964,"O'Donnell, Fiona",Labour,10_11,2010-07-19,32,travel,Public Tr RAIL - SGL,19546
3964,"O'Donnell, Fiona",Labour,10_11,2011-02-21,18.8,travel,Own Car MP,72307
3964,"O'Donnell, Fiona",Labour,10_11,2010-12-01,7.85,constituency rental,Const Office Hire of Premises,54384
3964,"O'Donnell, Fiona",Labour,10_11,2010-05-22,2.4,travel,Own Car MP,2186
3964,"O'Donnell, Fiona",Labour,10_11,2010-11-03,129.25,travel,Hotel London Area MP Staff,48467
3964,"O'Donnell, Fiona",Labour,10_11,2010-06-22,126,travel,Public Tr RAIL - RTN,11313
3964,"O'Donnell, Fiona",Labour,10_11,2010-07-01,1450,accommodation,Accommodation Rent,10198
3964,"O'Donnell, Fiona",Labour,10_11,2010-06-23,261.93,general admin,Office Furniture Purchase,14680
3964,"O'Donnell, Fiona",Labour,10_11,2010-08-06,301.24,general admin,Landline Purchase,21600
