id,list_name,party,session,date,value,category,description,claim_number
4006,"Offord, Matthew",Conservative,12_13,2012-04-27,7.61,travel,Own Vehicle Car MP Staff,0000174894
4006,"Offord, Matthew",Conservative,12_13,2013-03-20,119.06,office costs,Const Office Tel. Usage/Rental,0000243325
4006,"Offord, Matthew",Conservative,10_11,2011-03-15,3000,staffing,Professional Services (Staff.),78981
4006,"Offord, Matthew",Conservative,10_11,2010-07-16,77.74,office costs,Payment Telephone/Mobile,0000031415
4006,"Offord, Matthew",Conservative,10_11,2011-01-28,2.46,general admin,Postage Purchase,84246
4006,"Offord, Matthew",Conservative,10_11,2010-10-23,3877.5,general admin,Professional Services,63547
4006,"Offord, Matthew",Conservative,10_11,2011-01-28,18.8,general admin,Mobile Usage/Rental,84242
4006,"Offord, Matthew",Conservative,10_11,2010-12-16,6.4,travel,Public Tr UND MP Staff,50807
4006,"Offord, Matthew",Conservative,10_11,2011-03-07,1316.66,staffing,Professional Services (Staff.),78987
4006,"Offord, Matthew",Conservative,10_11,2010-11-09,0.7,travel,Parking MP Staff,60389
4006,"Offord, Matthew",Conservative,10_11,2011-02-09,10,staffing,Public Tr OTHER Int/Volntr,0000118992
4006,"Offord, Matthew",Conservative,10_11,2011-01-28,18.21,general admin,Mobile Usage/Rental,84242
4006,"Offord, Matthew",Conservative,10_11,2011-02-01,1.35,staffing,Food & Drink Intern/Volunteer,0000118992
4006,"Offord, Matthew",Conservative,10_11,2011-03-21,1.35,staffing,Food & Drink Intern/Volunteer,0000118992
4006,"Offord, Matthew",Conservative,10_11,2011-02-16,10,travel,Congestion Zone/Toll MP,108393
4006,"Offord, Matthew",Conservative,10_11,2011-01-10,66.24,general admin,Payment Telephone/Mobile,69481
4006,"Offord, Matthew",Conservative,10_11,2010-12-20,5.99,general admin,Stationery Purchase,61102
4006,"Offord, Matthew",Conservative,10_11,2010-07-30,269.66,general admin,Training MP Staff,40478
4006,"Offord, Matthew",Conservative,10_11,2011-01-14,1,general admin,Stationery Purchase,69500
4006,"Offord, Matthew",Conservative,10_11,2011-01-14,16.96,general admin,Computer HW Purchase,69500
4006,"Offord, Matthew",Conservative,10_11,2011-03-15,0,staffing,Professional Services (Staff.),0000078981
4006,"Offord, Matthew",Conservative,10_11,2010-12-22,45.54,general admin,Landline Hire,59986
4006,"Offord, Matthew",Conservative,10_11,2010-12-04,3,travel,Parking MP Staff,60389
4006,"Offord, Matthew",Conservative,10_11,2011-03-31,111.92,constituency rental,Const Office Tel. Usage/Rental,89757
4006,"Offord, Matthew",Conservative,10_11,2011-03-02,117.39,office costs,Payment Telephone/Mobile,73203
4006,"Offord, Matthew",Conservative,10_11,2011-01-28,30.5,travel,Public Tr RAIL Other,84251
4006,"Offord, Matthew",Conservative,10_11,2010-07-30,118.44,general admin,Stationery Purchase,31346
4006,"Offord, Matthew",Conservative,10_11,2011-02-21,2.46,general admin,Postage Purchase,84246
4006,"Offord, Matthew",Conservative,10_11,2010-11-26,105.43,general admin,Stationery Purchase,60351
4006,"Offord, Matthew",Conservative,10_11,2011-02-01,450,constituency rental,Const Office Rent,84204
4006,"Offord, Matthew",Conservative,10_11,2011-01-28,3.84,general admin,Postage Purchase,84246
4006,"Offord, Matthew",Conservative,10_11,2011-03-31,1.35,staffing,Food & Drink Intern/Volunteer,0000118992
4006,"Offord, Matthew",Conservative,10_11,2010-12-07,8,travel,Congestion Zone/Toll MP,73236
4006,"Offord, Matthew",Conservative,10_11,2011-02-12,3,travel,Parking MP Staff,84250
4006,"Offord, Matthew",Conservative,10_11,2011-02-10,39.64,general admin,Payment Telephone/Mobile,79018
4006,"Offord, Matthew",Conservative,10_11,2011-03-02,117.39,general admin,Payment Telephone/Mobile,73203
4006,"Offord, Matthew",Conservative,10_11,2011-03-28,135.64,general admin,Payment Telephone/Mobile,79008
4006,"Offord, Matthew",Conservative,10_11,2010-10-20,4.35,general admin,Hospitality,61102
4006,"Offord, Matthew",Conservative,10_11,2011-02-28,7.3,travel,Public Tr UND MP Staff,84250
