id,list_name,party,session,date,value,category,description,claim_number
4141,"Ollerenshaw, Eric",Conservative,12_13,2013-03-16,11.97,travel,Own Vehicle Car MP Staff,0000259675
4141,"Ollerenshaw, Eric",Conservative,12_13,2012-08-10,14.58,travel,Own Vehicle Car MP Staff,0000205560
4141,"Ollerenshaw, Eric",Conservative,12_13,2013-02-14,14.58,travel,Own Vehicle Car MP Staff,0000250755
4141,"Ollerenshaw, Eric",Conservative,12_13,2012-08-11,10.98,travel,Own Vehicle Car MP Staff,0000205560
4141,"Ollerenshaw, Eric",Conservative,12_13,2012-09-20,7.61,travel,Own Vehicle Car,0000211310
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,73.2,travel,Public Tr RAIL - RTN,50297
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-09-28,8.8,travel,Own Car MP Staff,34088
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,4.8,travel,Own Car MP Staff,50284
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,73.2,travel,Public Tr RAIL - RTN,22092
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,204.17,general admin,Stationery Purchase,50345
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-03-28,424.92,general admin,Stationery Purchase,79067
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-03-22,20.8,travel,Own Car MP Staff,77929
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-03-22,20.8,travel,Own Car MP Staff,77929
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-07,51.15,travel,Public Tr RAIL - RTN,67931
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-06,6.8,travel,Own Car MP Staff,67906
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-09,2.8,travel,Own Car MP Staff,55341
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,73.2,travel,Public Tr RAIL - RTN,50297
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,73.2,travel,Public Tr RAIL - RTN,22092
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-09-28,11.2,travel,Own Car MP Staff,34088
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,10.4,travel,Own Car MP Staff,50284
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-20,20.8,travel,Own Car MP Staff,57426
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-03-22,11.6,travel,Own Car MP Staff,77929
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-06,10.4,travel,Own Car MP Staff,67906
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,73.2,travel,Public Tr RAIL - RTN,22092
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-10-21,1.6,travel,Own Car MP Staff,41612
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,73.2,travel,Public Tr RAIL - RTN,22092
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-09,57.2,travel,Own Car MP Staff,55341
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,76.96,general admin,Stationery Purchase,50344
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-06,1.6,travel,Own Car MP Staff,67906
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-07,51.15,travel,Public Tr RAIL - RTN,67931
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-20,4.4,travel,Own Car MP Staff,57426
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-06,2.4,travel,Own Car MP Staff,67906
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,73.2,travel,Public Tr RAIL - RTN,22092
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-20,20.8,travel,Own Car MP Staff,57426
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-09,13.6,travel,Own Car MP Staff,55341
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,6.4,travel,Own Car MP Staff,50284
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-09-28,7.2,travel,Own Car MP Staff,34088
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,16,travel,Own Car MP Staff,50284
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,69.33,general admin,Payment Telephone/Mobile,22120
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-07,73.2,travel,Public Tr RAIL - RTN,67931
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-09-28,3.2,travel,Own Car MP Staff,34075
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,19.28,general admin,Stationery Purchase,50345
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-10-21,8.4,travel,Own Car MP Staff,41612
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-03,129,travel,Hotel London Area MP Staff,52979
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-06,6,travel,Own Car MP Staff,67906
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-02-06,9.6,travel,Own Car MP Staff,67906
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-03-22,2.4,travel,Own Car MP Staff,77929
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-08-09,91.45,general admin,Stationery Purchase,22114
4141,"Ollerenshaw, Eric",Conservative,10_11,2011-01-24,69.33,general admin,Payment Telephone/Mobile,64133
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-09-28,9.6,travel,Own Car MP Staff,34075
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-12-09,10.4,travel,Own Car MP Staff,55341
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,230.88,general admin,Stationery Purchase,50344
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-11-24,385.52,general admin,Stationery Purchase,50344
4141,"Ollerenshaw, Eric",Conservative,10_11,2010-09-28,9.2,travel,Own Car MP Staff,34075
