id,list_name,party,session,date,value,category,description,claim_number
4142,"Opperman, Guy",Conservative,11_12,2011-05-26,3.5,staffing,Food & Drink Intern/Volunteer,93939
4142,"Opperman, Guy",Conservative,11_12,2011-05-26,2.3,staffing,Food & Drink Intern/Volunteer,93939
4142,"Opperman, Guy",Conservative,12_13,2012-05-18,17.65,staffing,Food & Drink Int/Volntr,0000176552
4142,"Opperman, Guy",Conservative,10_11,2010-09-18,19,general admin,Telephone/Mobile Hire,46642
4142,"Opperman, Guy",Conservative,10_11,2011-01-20,28.72,general admin,Stationery Purchase,63343
4142,"Opperman, Guy",Conservative,10_11,2010-05-13,266,travel,Public Tr RAIL - RTN,24034
4142,"Opperman, Guy",Conservative,10_11,2010-09-10,1.2,travel,Parking MP,46631
4142,"Opperman, Guy",Conservative,10_11,2010-09-03,1.74,general admin,Stationery Purchase,46642
4142,"Opperman, Guy",Conservative,10_11,2011-01-11,361.99,accommodation,Other Fuel,73789
4142,"Opperman, Guy",Conservative,10_11,2010-10-19,15,travel,Food & Drink @ Parliament,46631
4142,"Opperman, Guy",Conservative,10_11,2011-03-03,5.57,general admin,Stationery Purchase,73724
4142,"Opperman, Guy",Conservative,10_11,2011-03-03,322.83,general admin,Stationery Purchase,73724
4142,"Opperman, Guy",Conservative,10_11,2010-09-02,1.3,general admin,Stationery Purchase,46642
4142,"Opperman, Guy",Conservative,10_11,2010-06-04,150.5,travel,Public Tr RAIL - RTN,24042
4142,"Opperman, Guy",Conservative,10_11,2010-12-04,232,accommodation,Council Tax,24058
4142,"Opperman, Guy",Conservative,10_11,2010-06-08,46.65,general admin,Stationery Purchase,24074
4142,"Opperman, Guy",Conservative,10_11,2010-12-04,232,accommodation,Council Tax,24058
4142,"Opperman, Guy",Conservative,10_11,2011-03-31,87.68,general admin,Stationery Purchase,80634
4142,"Opperman, Guy",Conservative,10_11,2010-12-04,697,accommodation,Accommodation Rent,24058
4142,"Opperman, Guy",Conservative,10_11,2011-03-03,697,accommodation,Accommodation Rent,73789
4142,"Opperman, Guy",Conservative,10_11,2010-12-01,225.7,travel,Public Tr AIR,63350
4142,"Opperman, Guy",Conservative,10_11,2011-02-20,58.75,general admin,Advertising,73724
4142,"Opperman, Guy",Conservative,10_11,2010-09-17,96.51,constituency rental,Const Office Water,46614
4142,"Opperman, Guy",Conservative,10_11,2011-03-03,576,general admin,Stationery Purchase,73724
4142,"Opperman, Guy",Conservative,10_11,2010-10-21,266,travel,Public Tr RAIL - RTN,46631
4142,"Opperman, Guy",Conservative,10_11,2010-05-27,133,travel,Public Tr RAIL - SGL,24034
4142,"Opperman, Guy",Conservative,10_11,2010-05-20,266,travel,Public Tr RAIL - RTN,24034
4142,"Opperman, Guy",Conservative,10_11,2011-03-03,128.11,general admin,Stationery Purchase,73724
4142,"Opperman, Guy",Conservative,10_11,2010-09-17,640.71,general admin,Stationery Purchase,46595
4142,"Opperman, Guy",Conservative,10_11,2011-03-31,91.38,constituency rental,Const Office Tel. Usage/Rental,80652
4142,"Opperman, Guy",Conservative,10_11,2010-12-04,232,accommodation,Council Tax,24058
4142,"Opperman, Guy",Conservative,10_11,2010-12-09,697,accommodation,Accommodation Rent,24058
4142,"Opperman, Guy",Conservative,10_11,2011-03-03,150,general admin,Advertising,73724
4142,"Opperman, Guy",Conservative,10_11,2010-07-28,178.9,travel,Public Tr RAIL - RTN,24046
4142,"Opperman, Guy",Conservative,10_11,2010-08-31,29.99,general admin,Telephone/Mobile Purchase,46642
4142,"Opperman, Guy",Conservative,10_11,2010-09-17,81.08,general admin,Advertising,46595
4142,"Opperman, Guy",Conservative,10_11,2010-05-20,104.6,travel,Public Tr RAIL - RTN,24034
4142,"Opperman, Guy",Conservative,10_11,2010-08-11,67.84,constituency rental,Const Office Tel. Usage/Rental,46614
4142,"Opperman, Guy",Conservative,10_11,2010-12-04,232,accommodation,Council Tax,24058
4142,"Opperman, Guy",Conservative,10_11,2010-07-14,189.18,general admin,Stationery Purchase,24052
4142,"Opperman, Guy",Conservative,10_11,2011-01-20,81.08,general admin,Advertising,73724
