id,list_name,party,session,date,value,category,description,claim_number
576,"Osborne, Sandra",Labour,11_12,2012-03-19,174.90,travel,Public Tr RAIL Other,0000200997
576,"Osborne, Sandra",Labour,12_13,2012-08-02,0.85,office costs,Other,0000200869
576,"Osborne, Sandra",Labour,12_13,2012-10-26,7.2,travel,Own Vehicle Car,0000220426
576,"Osborne, Sandra",Labour,12_13,2013-03-18,14.4,travel,Own Vehicle Car MP Staff,0000249415
576,"Osborne, Sandra",Labour,12_13,2012-11-29,228.7,office costs,Venue Hire Surgery/Meeting,0000228612
576,"Osborne, Sandra",Labour,12_13,2012-12-17,20.65,office costs,Newspapers/Journals,0000230722
576,"Osborne, Sandra",Labour,12_13,2012-10-25,3.09,office costs,Other,0000230722
576,"Osborne, Sandra",Labour,10_11,2011-03-10,63.56,general admin,Mobile Usage/Rental,82487
576,"Osborne, Sandra",Labour,10_11,2010-11-04,27.2,travel,Public Tr RAIL Other,48727
576,"Osborne, Sandra",Labour,10_11,2011-03-25,6.4,travel,Own Car MP,89908
576,"Osborne, Sandra",Labour,10_11,2011-03-16,3,general admin,Other,77419
576,"Osborne, Sandra",Labour,10_11,2010-07-24,47.15,general admin,Payment Telephone/Mobile,27914
576,"Osborne, Sandra",Labour,10_11,2010-10-01,562.5,constituency rental,Const Office Rent,36174
576,"Osborne, Sandra",Labour,10_11,2010-08-24,43.01,general admin,Payment Telephone/Mobile,27914
576,"Osborne, Sandra",Labour,10_11,2011-03-30,4,general admin,Other,82982
576,"Osborne, Sandra",Labour,10_11,2010-05-20,12.4,travel,Own Car MP,2704
576,"Osborne, Sandra",Labour,10_11,2011-02-02,1,general admin,Other,67640
576,"Osborne, Sandra",Labour,10_11,2010-11-01,4.5,general admin,Other,46563
576,"Osborne, Sandra",Labour,10_11,2011-02-04,499.84,constituency rental,Const Office Gas,67666
576,"Osborne, Sandra",Labour,10_11,2010-11-17,1,general admin,Other,55730
576,"Osborne, Sandra",Labour,10_11,2010-10-06,14.4,travel,Own Car MP,39057
576,"Osborne, Sandra",Labour,10_11,2010-07-12,6.5,travel,Public Tr RAIL - SGL,19403
576,"Osborne, Sandra",Labour,10_11,2010-10-19,4.95,travel,Food & Drink @ Parliament,48703
576,"Osborne, Sandra",Labour,10_11,2011-03-04,16,travel,Own Car MP,72862
576,"Osborne, Sandra",Labour,10_11,2010-06-17,6.5,travel,Public Tr RAIL - SGL,6500
576,"Osborne, Sandra",Labour,10_11,2010-11-30,421.83,general admin,Other,55734
576,"Osborne, Sandra",Labour,10_11,2011-01-31,6.6,travel,Public Tr RAIL - SGL,67186
576,"Osborne, Sandra",Labour,10_11,2010-09-06,11.2,travel,Own Car MP,39057
576,"Osborne, Sandra",Labour,10_11,2010-06-23,6.7,travel,Public Tr RAIL - SGL,11210
576,"Osborne, Sandra",Labour,10_11,2010-05-18,12.4,travel,Own Car MP,2704
576,"Osborne, Sandra",Labour,10_11,2011-02-09,232,travel,Public Tr RAIL - RTN,74003
576,"Osborne, Sandra",Labour,10_11,2010-08-19,2.6,general admin,Other,46563
576,"Osborne, Sandra",Labour,10_11,2011-03-15,2.08,general admin,Other,77419
576,"Osborne, Sandra",Labour,10_11,2011-03-12,147.85,travel,Public Tr RAIL - RTN,82013
576,"Osborne, Sandra",Labour,10_11,2010-09-12,4.4,travel,Own Car MP,39057
576,"Osborne, Sandra",Labour,10_11,2010-12-11,6.4,travel,Own Car MP,72862
576,"Osborne, Sandra",Labour,10_11,2011-03-25,19.2,travel,Own Car MP,89908
576,"Osborne, Sandra",Labour,10_11,2010-06-07,246,travel,Public Tr RAIL - RTN,2699
576,"Osborne, Sandra",Labour,10_11,2010-12-01,37.62,accommodation,Television Licence,57748
576,"Osborne, Sandra",Labour,10_11,2010-09-03,-115,travel,Public Tr RAIL - SGL,37650
576,"Osborne, Sandra",Labour,10_11,2011-03-11,405.56,constituency rental,Contents Insurance,82982
576,"Osborne, Sandra",Labour,10_11,2011-03-10,7.1,travel,Public Tr RAIL - SGL,82013
576,"Osborne, Sandra",Labour,10_11,2011-03-17,15,general admin,Venue Hire,82982
576,"Osborne, Sandra",Labour,10_11,2011-01-11,6.9,travel,Public Tr RAIL - SGL,66700
576,"Osborne, Sandra",Labour,10_11,2011-02-02,1305,accommodation,Accommodation Rent,67187
576,"Osborne, Sandra",Labour,10_11,2010-10-01,155,accommodation,Council Tax,39059
576,"Osborne, Sandra",Labour,10_11,2010-10-13,25,travel,Parking MP,44389
576,"Osborne, Sandra",Labour,10_11,2010-07-28,2150.74,constituency rental,Const Office Hire of Premises,18634
576,"Osborne, Sandra",Labour,10_11,2010-08-23,6.45,general admin,Other,46235
576,"Osborne, Sandra",Labour,10_11,2010-09-01,282.8,constituency rental,Const Office Water,26332
576,"Osborne, Sandra",Labour,10_11,2010-12-05,86.5,travel,Public Tr RAIL - SGL,62058
576,"Osborne, Sandra",Labour,10_11,2010-06-24,26.84,general admin,Payment Telephone/Mobile,27914
