id,list_name,party,session,date,value,category,description,claim_number
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-06-28,90,general admin,Payment Telephone/Mobile,30345
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-31,0.01,general admin,Install/Maint Office Equip.,60157
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-06-04,34.99,general admin,Other,32281
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-30,70,general admin,Install/Maint Office Equip.,60157
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-01-06,306.25,constituency rental,Const Office Electricity,66958
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-02-03,101,accommodation,Interim Hotel London Area,78229
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-03-24,188,accommodation,Interim Hotel London Area,83851
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-07-05,130,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-08-21,260,accommodation,Interim Hotel London Area,30340
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-15,72.1,general admin,Photocopier Hire,41359
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-01-10,260,accommodation,Interim Hotel London Area,60161
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-11-26,195.84,general admin,Telephone/Mobile Hire,53882
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-10,58.75,general admin,Install/Maint Office Equip.,60157
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-02-16,61,accommodation,Interim Hotel London Area,78229
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-26,47.4,general admin,Telephone/Mobile Hire,41359
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-01-20,935.18,general admin,Payment Telephone/Mobile,65374
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-02-09,206.5,accommodation,Interim Hotel London Area,78229
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-05-26,260,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-07,23,staffing,Professional Services (Staff.),35092
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-10,80.54,general admin,Other,41359
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-30,1380,general admin,Training MP Staff,41359
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-08-26,586.08,general admin,Payment Telephone/Mobile,30345
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-06-20,390,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-03-02,130,accommodation,Interim Hotel London Area,78229
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-30,574.81,general admin,Photocopier Hire,65629
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-01-20,738.38,general admin,Payment Telephone/Mobile,65374
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-08-10,35,general admin,Professional Services,41359
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-02-17,92.18,constituency rental,Const Office Electricity,74275
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-11-05,415.04,general admin,Other,47634
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-10-28,130,accommodation,Interim Hotel London Area,47625
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-06-07,28.99,general admin,Other,32281
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-31,505,general admin,Install/Maint Office Equip.,60157
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-11-29,72.1,general admin,Photocopier Hire,51316
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-03-28,548,constituency rental,Const Office Other Fuel,91154
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-09,390,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-01,260,accommodation,Interim Hotel London Area,51825
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-01,145.5,general admin,Television Licence Purchase,41359
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-11-29,452.38,general admin,Website - Hosting,51329
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-07,260,accommodation,Interim Hotel London Area,55387
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-11-29,72.1,general admin,Photocopier Hire,51316
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-10-23,1058,general admin,Computer HW Purchase,52423
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-03-29,65.32,constituency rental,Const Office Electricity,91154
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-06-22,130,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-01-31,250,general admin,Professional Services,65346
4129,"Paisley, Ian",Democratic Unionist,10_11,2011-03-31,222.5,accommodation,Interim Hotel London Area,83851
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-12-14,72.1,general admin,Photocopier Hire,60157
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-07-26,76.69,general admin,Payment Telephone/Mobile,30345
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-09-16,390,accommodation,Interim Hotel London Area,32260
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-05-20,390,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-06-16,260,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-07-15,130,accommodation,Interim Hotel London Area,28904
4129,"Paisley, Ian",Democratic Unionist,10_11,2010-07-27,130,accommodation,Interim Hotel London Area,28904
