id,list_name,party,session,date,value,category,description,claim_number
33,"Pickles, Eric",Conservative,11_12,2012-02-24,66.67,office costs,Mobile Usage/Rental,0000154722
33,"Pickles, Eric",Conservative,10_11,2011-03-30,191.09,general admin,Telephone/Mobile Hire,79768
33,"Pickles, Eric",Conservative,10_11,2010-07-26,186.02,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2010-07-26,110.43,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2010-07-26,6.58,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2011-03-09,191.42,general admin,Payment Telephone/Mobile,75407
33,"Pickles, Eric",Conservative,10_11,2010-07-26,67.37,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2010-07-26,12.32,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2011-03-25,75.56,general admin,Other,67115
33,"Pickles, Eric",Conservative,10_11,2011-03-30,13.99,general admin,Other,79768
33,"Pickles, Eric",Conservative,10_11,2010-07-26,14.97,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2010-07-27,3877.5,staffing,Pooled Staffing Services,18148
33,"Pickles, Eric",Conservative,10_11,2011-03-09,229.13,general admin,Computer HW Purchase,75407
33,"Pickles, Eric",Conservative,10_11,2011-03-25,54.49,general admin,Printer Purchase,67115
33,"Pickles, Eric",Conservative,10_11,2010-09-10,21.58,general admin,Other,39724
33,"Pickles, Eric",Conservative,10_11,2011-03-09,230.88,general admin,Other,75407
33,"Pickles, Eric",Conservative,10_11,2011-03-25,94.59,general admin,Other,67115
33,"Pickles, Eric",Conservative,10_11,2011-03-25,404.85,general admin,Payment Telephone/Mobile,67115
33,"Pickles, Eric",Conservative,10_11,2010-09-28,358.82,general admin,Telephone/Mobile Hire,18135
33,"Pickles, Eric",Conservative,10_11,2010-10-01,274.72,general admin,Contact Cards,39724
33,"Pickles, Eric",Conservative,11_12,2011-10-12,180.64,office costs,Payment Telephone/Mobile,123541
33,"Pickles, Eric",Conservative,11_12,2011-05-27,600,office costs,Other,93167
33,"Pickles, Eric",Conservative,11_12,2011-05-18,43.98,general admin,Other,90790
33,"Pickles, Eric",Conservative,11_12,2011-10-26,338.41,office costs,Mobile Usage/Rental,126233
33,"Pickles, Eric",Conservative,11_12,2011-11-04,48.99,office costs,Other,0000136885
33,"Pickles, Eric",Conservative,11_12,2011-05-18,1219.2,general admin,Computer HW Purchase,90790
33,"Pickles, Eric",Conservative,11_12,2011-11-24,159.76,office costs,Mobile Usage/Rental,0000136885
33,"Pickles, Eric",Conservative,11_12,2011-12-15,113.96,office costs,Other,0000138537
33,"Pickles, Eric",Conservative,11_12,2012-01-24,66.67,office costs,Mobile Usage/Rental,0000154722
33,"Pickles, Eric",Conservative,11_12,2012-03-26,75.79,office costs,Const Office Tel. Usage/Rental,0000168358
33,"Pickles, Eric",Conservative,11_12,2011-11-16,337,office costs,Other,0000136885
33,"Pickles, Eric",Conservative,11_12,2012-01-24,161.02,office costs,Mobile Usage/Rental,0000154722
33,"Pickles, Eric",Conservative,11_12,2011-08-18,636,office costs,Legal Expenses Insurance,Payment to Supplier
33,"Pickles, Eric",Conservative,11_12,2012-03-26,162.2,office costs,Const Office Tel. Usage/Rental,0000168358
33,"Pickles, Eric",Conservative,11_12,2011-06-29,20,general admin,Other,100736
33,"Pickles, Eric",Conservative,11_12,2012-02-24,172.78,office costs,Mobile Usage/Rental,0000154722
33,"Pickles, Eric",Conservative,11_12,2011-11-22,73.2,office costs,Other,0000136885
33,"Pickles, Eric",Conservative,11_12,2011-05-18,388.79,general admin,Mobile Usage/Rental,90790
33,"Pickles, Eric",Conservative,11_12,2011-06-29,175.17,general admin,Mobile Usage/Rental,100736
33,"Pickles, Eric",Conservative,11_12,2011-11-24,65.12,office costs,Mobile Usage/Rental,0000136885
33,"Pickles, Eric",Conservative,11_12,2011-12-15,235.72,office costs,Mobile Usage/Rental,0000138537
33,"Pickles, Eric",Conservative,11_12,2012-02-17,99.96,office costs,Office Furniture Purchase,0000154722
33,"Pickles, Eric",Conservative,11_12,2011-06-03,3960,office costs,Professional Services,Payment to Supplier
33,"Pickles, Eric",Conservative,11_12,2011-10-12,26.99,office costs,Other,123541
33,"Pickles, Eric",Conservative,12_13,2012-08-24,64.8,office costs,Const Office Tel. Usage/Rental,0000210899
33,"Pickles, Eric",Conservative,12_13,2012-05-24,177.4,office costs,Const Office Tel. Usage/Rental,0000184888
33,"Pickles, Eric",Conservative,12_13,2012-07-24,67.04,office costs,Const Office Tel. Usage/Rental,0000195529
33,"Pickles, Eric",Conservative,12_13,2013-01-10,158.47,office costs,Const Office Tel. Usage/Rental,234202
33,"Pickles, Eric",Conservative,12_13,2012-07-24,80.9,office costs,Const Office Tel. Usage/Rental,0000195529
33,"Pickles, Eric",Conservative,12_13,2012-06-25,66.61,office costs,Const Office Tel. Usage/Rental,0000184888
33,"Pickles, Eric",Conservative,12_13,2012-12-10,177.73,office costs,Const Office Tel. Usage/Rental,234202
33,"Pickles, Eric",Conservative,12_13,2012-12-24,224.9,office costs,Other Equip Purchase,234202
33,"Pickles, Eric",Conservative,12_13,2012-08-24,287.78,office costs,Const Office Tel. Usage/Rental,0000210899
33,"Pickles, Eric",Conservative,12_13,2013-01-10,66.08,office costs,Const Office Tel. Usage/Rental,234202
33,"Pickles, Eric",Conservative,12_13,2013-02-25,65.16,office costs,Const Office Tel. Usage/Rental,0000249395
33,"Pickles, Eric",Conservative,12_13,2013-02-05,30.37,office costs,Other,0000249395
33,"Pickles, Eric",Conservative,12_13,2013-03-25,145.88,office costs,Const Office Tel. Usage/Rental,260012
33,"Pickles, Eric",Conservative,12_13,2012-09-24,169.55,office costs,Const Office Tel. Usage/Rental,0000210899
33,"Pickles, Eric",Conservative,12_13,2012-10-24,292.13,office costs,Const Office Tel. Usage/Rental,0000219776
33,"Pickles, Eric",Conservative,12_13,2012-05-07,3960,office costs,Professional Services: Direct,Payment to Supplier
33,"Pickles, Eric",Conservative,12_13,2012-11-26,163.43,office costs,Const Office Tel. Usage/Rental,0000223776
33,"Pickles, Eric",Conservative,12_13,2013-03-13,59.87,office costs,Other Equip Purchase,260012
33,"Pickles, Eric",Conservative,12_13,2012-11-30,59.87,office costs,Other Equip Purchase,234202
33,"Pickles, Eric",Conservative,12_13,2012-05-24,64.8,office costs,Const Office Tel. Usage/Rental,0000184888
33,"Pickles, Eric",Conservative,12_13,2012-04-24,172.54,office costs,Const Office Tel. Usage/Rental,0000168358
33,"Pickles, Eric",Conservative,12_13,2012-07-31,13.99,office costs,Stationery Purchase,0000203578
33,"Pickles, Eric",Conservative,12_13,2012-04-10,25.99,office costs,Other,0000189396
33,"Pickles, Eric",Conservative,12_13,2012-06-25,163.42,office costs,Const Office Tel. Usage/Rental,0000184888
33,"Pickles, Eric",Conservative,12_13,2013-02-25,148.64,office costs,Const Office Tel. Usage/Rental,0000249395
33,"Pickles, Eric",Conservative,12_13,2012-10-17,600,office costs,Professional Services,0000219776
33,"Pickles, Eric",Conservative,12_13,2012-04-05,654.56,office costs,Other,0000168358
33,"Pickles, Eric",Conservative,12_13,2012-10-24,65.04,office costs,Const Office Tel. Usage/Rental,0000219776
33,"Pickles, Eric",Conservative,12_13,2013-03-25,66.02,office costs,Const Office Tel. Usage/Rental,260012
33,"Pickles, Eric",Conservative,12_13,2012-09-24,68.54,office costs,Const Office Tel. Usage/Rental,0000210899
33,"Pickles, Eric",Conservative,12_13,2012-04-24,64.92,office costs,Const Office Tel. Usage/Rental,0000168358
33,"Pickles, Eric",Conservative,12_13,2012-11-26,64.8,office costs,Const Office Tel. Usage/Rental,0000223776
33,"Pickles, Eric",Conservative,12_13,2013-01-12,42.06,office costs,Other Equip Purchase,234202
33,"Pickles, Eric",Conservative,12_13,2012-12-10,64.8,office costs,Const Office Tel. Usage/Rental,234202
33,"Pickles, Eric",Conservative,12_13,2012-08-09,604.2,office costs,Legal Expenses Insurance,Payment to Supplier
33,"Pickles, Eric",Conservative,13_14,2013-08-09,577.7,office costs,Legal Expenses Insurance,Payment to Supplier
33,"Pickles, Eric",Conservative,13_14,2013-11-25,64.93,office costs,Const Office Tel. Usage/Rental,0000316210
33,"Pickles, Eric",Conservative,13_14,2013-08-26,202.44,office costs,Const Office Tel. Usage/Rental,299545
33,"Pickles, Eric",Conservative,13_14,2013-06-10,161.9,office costs,Const Office Tel. Usage/Rental,277884
33,"Pickles, Eric",Conservative,13_14,2013-09-24,66.47,office costs,Const Office Tel. Usage/Rental,299545
33,"Pickles, Eric",Conservative,13_14,2013-09-24,155.42,office costs,Const Office Tel. Usage/Rental,299545
33,"Pickles, Eric",Conservative,13_14,2013-05-22,64.99,office costs,Other Equip Purchase,277884
33,"Pickles, Eric",Conservative,13_14,2013-05-10,12,office costs,Other Equip Purchase,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-05-15,68.58,office costs,Const Office Tel. Usage/Rental,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-08-26,66.46,office costs,Const Office Tel. Usage/Rental,299545
33,"Pickles, Eric",Conservative,13_14,2013-05-09,30,office costs,Other Equip Purchase,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-05-15,36,office costs,Other Equip Purchase,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-05-01,32.26,office costs,Other Equip Purchase,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-10-24,64.8,office costs,Const Office Tel. Usage/Rental,0000316210
33,"Pickles, Eric",Conservative,13_14,2013-11-25,27.7,office costs,Other Equip Purchase,0000316210
33,"Pickles, Eric",Conservative,13_14,2013-10-24,154.75,office costs,Const Office Tel. Usage/Rental,0000316210
33,"Pickles, Eric",Conservative,13_14,2013-05-15,14.9,office costs,Other Equip Purchase,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-05-15,24,office costs,Other Equip Purchase,0000265192
33,"Pickles, Eric",Conservative,13_14,2013-04-24,148.66,office costs,Const Office Tel. Usage/Rental,260012
33,"Pickles, Eric",Conservative,13_14,2013-06-10,64.8,office costs,Const Office Tel. Usage/Rental,277884
33,"Pickles, Eric",Conservative,13_14,2014-03-31,122621.21,staffing,Payroll,n/a
33,"Pickles, Eric",Conservative,13_14,2013-04-26,14.99,office costs,Other Equip Purchase,277884
33,"Pickles, Eric",Conservative,13_14,2013-06-05,3960,staffing,Pooled Services: Direct,Payment to Supplier
33,"Pickles, Eric",Conservative,14_15,2014-08-09,577.7,office costs,Legal Exp/Emp Practice Insur.,Payment To Supplier
33,"Pickles, Eric",Conservative,14_15,2014-05-26,156.26,office costs,Tel/Mobile Purchase,361108
33,"Pickles, Eric",Conservative,14_15,2014-09-02,10.8,office costs,Const Office Tel. Usage/Rental,379989
33,"Pickles, Eric",Conservative,14_15,2014-08-22,600,office costs,Professional Services,379989
33,"Pickles, Eric",Conservative,14_15,2014-05-02,187.09,office costs,Other,361108
33,"Pickles, Eric",Conservative,14_15,2014-05-26,57.49,office costs,Tel/Mobile Purchase,361108
33,"Pickles, Eric",Conservative,14_15,2014-08-25,155.42,office costs,Const Office Tel. Usage/Rental,379989
33,"Pickles, Eric",Conservative,14_15,2014-08-25,54.13,office costs,Const Office Tel. Usage/Rental,379989
33,"Pickles, Eric",Conservative,14_15,2014-04-08,2620,staffing,Pooled Services: Direct,Payment to Supplier
33,"Pickles, Eric",Conservative,14_15,2014-07-30,87.08,office costs,Other,379989
33,"Pickles, Eric",Conservative,14_15,2014-04-24,59.14,office costs,Tel/Mobile Purchase,361108
33,"Pickles, Eric",Conservative,14_15,2014-04-24,156.07,office costs,Tel/Mobile Purchase,361108
