id,list_name,party,session,date,value,category,description,claim_number
209,"Randall, John",Conservative,10_11,2010-07-26,2408.75,staffing,Pooled Staffing Services,17380
209,"Randall, John",Conservative,10_11,2010-10-21,1458.35,constituency rental,Const Office Rent,41559
209,"Randall, John",Conservative,10_11,2011-03-14,1438.35,constituency rental,Const Office Rent,76406
209,"Randall, John",Conservative,11_12,2011-08-09,636,office costs,Legal Expenses Insurance,Payment to Supplier
209,"Randall, John",Conservative,11_12,2011-05-09,575.34,office costs,Const Office Rent,88989
209,"Randall, John",Conservative,11_12,2011-06-03,3960,staffing,Pooled Staffing Services,Payment to Supplier
209,"Randall, John",Conservative,12_13,2012-08-09,604.2,office costs,Legal Expenses Insurance,Payment to Supplier
209,"Randall, John",Conservative,12_13,2012-05-07,3960,staffing,Pooled Services: Direct,Payment to Supplier
209,"Randall, John",Conservative,13_14,2014-02-13,226.07,travel,Public Tr AIR,0000339271
209,"Randall, John",Conservative,13_14,2014-02-16,39,travel,Parking,0000339271
209,"Randall, John",Conservative,13_14,2014-03-31,79738.87,staffing,Payroll,n/a
209,"Randall, John",Conservative,13_14,2013-06-05,3960,staffing,Pooled Services: Direct,Payment to Supplier
209,"Randall, John",Conservative,13_14,2013-08-09,577.7,office costs,Legal Expenses Insurance,Payment to Supplier
209,"Randall, John",Conservative,14_15,2014-09-21,189.36,travel,Hotel Outside UK,386275
209,"Randall, John",Conservative,14_15,2014-08-09,577.7,office costs,Legal Exp/Emp Practice Insur.,Payment To Supplier
209,"Randall, John",Conservative,14_15,2014-09-21,23.44,travel,Taxi,386275
209,"Randall, John",Conservative,14_15,2014-09-26,91.24,travel,Hotel Outside UK,386275
209,"Randall, John",Conservative,14_15,2014-09-26,503.4,travel,Public Tr AIR,386275
209,"Randall, John",Conservative,14_15,2014-09-21,10.44,travel,Food & Drink,386275
209,"Randall, John",Conservative,14_15,2014-04-08,2620,staffing,Pooled Services: Direct,Payment to Supplier
209,"Randall, John",Conservative,14_15,2014-09-21,6.77,travel,Taxi,386275
