id,list_name,party,session,date,value,category,description,claim_number
4049,"Reckless, Mark",UK Independence Party,12_13,2012-04-27,27,travel,Own Car MP,0000175502
4049,"Reckless, Mark",UK Independence Party,12_13,2013-02-18,16.6,travel,Public Tr RAIL MP Staff - RTN,0000244848
4049,"Reckless, Mark",UK Independence Party,12_13,2013-03-01,12.9,travel,Public Tr RAIL - SGL,0000252152
4049,"Reckless, Mark",UK Independence Party,12_13,2013-02-21,520,office costs,Const Office Rent,Payment to Supplier
4049,"Reckless, Mark",UK Independence Party,12_13,2012-12-19,520,office costs,Const Office Rent,Payment to Supplier
4049,"Reckless, Mark",UK Independence Party,12_13,2013-02-15,13.95,travel,Own Vehicle Car,0000243884
4049,"Reckless, Mark",UK Independence Party,12_13,2013-03-01,13,travel,Public Tr RAIL - SGL,0000252152
4049,"Reckless, Mark",UK Independence Party,12_13,2013-03-02,11.7,travel,Own Vehicle Car,0000249294
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-29,7.98,general admin,Stationery Purchase,68124
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-14,35,general admin,Advertising,76548
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-20,5,staffing,Food & Drink Intern/Volunteer,64408
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-22,10,constituency rental,Const Office Internet Rental,32939
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-30,3877.5,staffing,Pooled Staffing Services,35215
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-02,322.83,general admin,Stationery Purchase,68356
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-22,47.5,travel,Public Tr RAIL Other MP Staff,54994
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-05,133.14,constituency rental,Const Office Tel. Usage/Rental,46164
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-17,34.69,general admin,Stationery Purchase,71612
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-24,49.33,general admin,Telephone/Mobile Purchase,50267
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-16,11.75,general admin,Website - Design/Production,68085
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-24,520,constituency rental,Const Office Rent,50257
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-23,82.07,general admin,Stationery Purchase,35232
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-30,35,general admin,Other,35273
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-06,300,constituency rental,Const Office Rent,32939
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-15,63.11,general admin,Stationery Purchase,57498
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-09,30,travel,Taxi MP,68144
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-01,257,miscellaneous expenses,Contingency,58528
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-24,117.48,general admin,Shredder Purchase,50286
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-24,520,constituency rental,Const Office Rent,Payment to Supplier
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-09,94.59,general admin,Stationery Purchase,28963
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-01,10,constituency rental,Const Office Internet Rental,32939
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-09,4.38,general admin,Stationery Purchase,85154
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-24,588.4,constituency rental,Const Office Rent,45823
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-26,15.2,travel,Public Tr RAIL Other,69724
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-16,45.77,constituency rental,Const Office Tel. Usage/Rental,58526
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-29,9.48,general admin,Stationery Purchase,85154
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-03,112.14,general admin,Stationery Purchase,28957
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-15,258.5,travel,Hotel Late Sitting,74991
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-27,66,general admin,Stationery Purchase,68101
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-24,106.67,general admin,Stationery Purchase,50282
4049,"Reckless, Mark",UK Independence Party,10_11,2010-10-01,153.93,general admin,Stationery Purchase,58520
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-11,60,general admin,Venue Hire,76539
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-07,12.2,staffing,Public Tr RAIL Other Int/Volnt,64380
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-07,4,travel,Public Tr UND MP Staff,76533
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-05,74.13,constituency rental,Const Office Tel. Usage/Rental,68110
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-24,171.5,general admin,Office Furniture Purchase,50267
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-28,520,constituency rental,Const Office Rent,Payment to Supplier
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-29,130,travel,Hotel Late Sitting,85109
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-10,129.6,travel,Hotel Late Sitting > 11,68138
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-15,4,travel,Taxi MP,85130
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-04,12.15,travel,Public Tr RAIL Other MP Staff,68352
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-16,13.4,general admin,Other,49208
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-19,8,travel,Taxi MP,85139
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-10,35.52,general admin,Payment Telephone/Mobile,71543
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-26,520,constituency rental,Const Office Rent,Payment to Supplier
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-04,43.13,constituency rental,Const Office Tel. Usage/Rental,45801
4049,"Reckless, Mark",UK Independence Party,10_11,2010-09-03,64.53,general admin,Stationery Purchase,28954
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-09,11.8,travel,Public Tr RAIL Other,69722
4049,"Reckless, Mark",UK Independence Party,10_11,2010-08-31,5,constituency rental,Const Office Internet Rental,32939
4049,"Reckless, Mark",UK Independence Party,10_11,2011-01-28,121.58,general admin,Stationery Purchase,68104
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-22,5,constituency rental,Const Office Internet Rental,32939
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-30,3,miscellaneous expenses,Contingency,68128
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-18,6.6,travel,Public Tr UND MP Staff,80767
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-21,67.17,general admin,Stationery Purchase,76555
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-01,5,travel,Taxi MP,85134
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-14,130,travel,Hotel Late Sitting,85121
4049,"Reckless, Mark",UK Independence Party,10_11,2010-11-22,19,travel,Public Tr RAIL Other MP Staff,55018
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-25,520,constituency rental,Const Office Rent,Payment to Supplier
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-10,32.95,general admin,Payment Telephone/Mobile,68096
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-16,114.38,travel,Hotel Late Sitting > 11,85163
4049,"Reckless, Mark",UK Independence Party,10_11,2011-02-04,129.6,travel,Hotel Late Sitting,85095
4049,"Reckless, Mark",UK Independence Party,10_11,2010-12-01,45,general admin,Other,58522
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-07,12.15,travel,Public Tr RAIL Other MP Staff,76533
4049,"Reckless, Mark",UK Independence Party,10_11,2011-03-07,129.6,travel,Hotel Late Sitting,85115
