id,list_name,party,session,date,value,category,description,claim_number
14,"Redwood, John",Conservative,12_13,2012-06-11,158.5,office costs,Stationery Purchase,0000181953
14,"Redwood, John",Conservative,10_11,2011-01-31,108,general admin,Stationery Purchase,66210
14,"Redwood, John",Conservative,10_11,2010-09-21,668.88,accommodation,Service Charges,31992
14,"Redwood, John",Conservative,10_11,2010-12-06,52.5,constituency rental,Const Office Rent,53555
14,"Redwood, John",Conservative,10_11,2011-02-28,322.83,general admin,Stationery Purchase,73121
14,"Redwood, John",Conservative,10_11,2010-09-09,135,constituency rental,Const Office Rent,29003
14,"Redwood, John",Conservative,10_11,2011-01-17,82.9,general admin,Stationery Purchase,63129
14,"Redwood, John",Conservative,10_11,2011-03-08,137.57,accommodation,Service Charges,76834
14,"Redwood, John",Conservative,10_11,2011-03-16,48.61,general admin,Telephone/Mobile Hire,79194
14,"Redwood, John",Conservative,10_11,2010-12-06,930,staffing,Professional Services (Staff.),53558
14,"Redwood, John",Conservative,10_11,2011-03-31,37.5,constituency rental,Const Office Rent,89214
14,"Redwood, John",Conservative,10_11,2011-02-14,48,general admin,Telephone/Mobile Hire,73121
14,"Redwood, John",Conservative,10_11,2010-09-09,1830,staffing,Professional Services (Staff.),29013
14,"Redwood, John",Conservative,10_11,2010-12-20,47,general admin,Telephone/Mobile Hire,63129
14,"Redwood, John",Conservative,10_11,2010-10-26,47.06,general admin,Telephone/Mobile Hire,42400
14,"Redwood, John",Conservative,10_11,2010-09-21,47,general admin,Telephone/Mobile Hire,31996
14,"Redwood, John",Conservative,10_11,2010-12-06,19,general admin,Other,53560
14,"Redwood, John",Conservative,10_11,2010-08-24,47.02,general admin,Payment Telephone/Mobile,24650
14,"Redwood, John",Conservative,10_11,2011-01-26,37.5,constituency rental,Const Office Rent,66205
14,"Redwood, John",Conservative,10_11,2010-09-09,26.41,accommodation,Electricity,26626
14,"Redwood, John",Conservative,10_11,2011-03-16,82.28,accommodation,Telephone Usage/Rental,76834
14,"Redwood, John",Conservative,10_11,2010-12-14,682.85,accommodation,Service Charges,57554
14,"Redwood, John",Conservative,10_11,2010-11-02,125.02,general admin,Stationery Purchase,45096
14,"Redwood, John",Conservative,10_11,2011-01-28,61.31,accommodation,Electricity,76834
14,"Redwood, John",Conservative,10_11,2010-09-21,94.59,general admin,Stationery Purchase,31996
14,"Redwood, John",Conservative,10_11,2010-07-16,35,general admin,Other,14646
14,"Redwood, John",Conservative,10_11,2011-03-31,11,general admin,Other,99318
14,"Redwood, John",Conservative,10_11,2010-09-09,39,general admin,Other,29007
14,"Redwood, John",Conservative,10_11,2010-12-14,50,accommodation,Ground Rent,57554
