id,list_name,party,session,date,value,category,description,claim_number
1191,"Rifkind, Malcolm",Independent,10_11,2010-10-20,69,general admin,Other,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-05-07,0,general admin,Removal Costs,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-27,35,general admin,Other,55042
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-10,70.97,office costs,Mobile Usage/Rental,111886
1191,"Rifkind, Malcolm",Independent,10_11,2010-07-01,0,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,5.88,general admin,Other,22964
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-30,14.85,general admin,Hospitality,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-05,0.97,general admin,Postage Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-17,481.91,general admin,Stationery Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,7.97,general admin,Stationery Purchase,22964
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-31,88.8,office costs,Stationery Purchase,84608
1191,"Rifkind, Malcolm",Independent,10_11,2010-10-31,2,general admin,Other,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,71.5,general admin,Computer HW Purchase,22964
1191,"Rifkind, Malcolm",Independent,10_11,2010-10-16,13.53,general admin,Other,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-05-07,0,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-11,2.49,general admin,Stationery Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,202.78,general admin,Stationery Purchase,22964
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-09,37.5,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-31,76.42,office costs,Payment Telephone/Mobile,84608
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-31,57.68,office costs,Payment Telephone/Mobile,84608
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,166.09,general admin,Payment Telephone/Mobile,22964
1191,"Rifkind, Malcolm",Independent,10_11,2010-12-01,185.39,general admin,Stationery Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-31,477.3,office costs,Other,82755
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-30,1584.33,constituency rental,Const Office Hire of Premises,35487
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-10,68.76,general admin,Payment Telephone/Mobile,55042
1191,"Rifkind, Malcolm",Independent,10_11,2011-01-28,16.22,general admin,Other,64437
1191,"Rifkind, Malcolm",Independent,10_11,2010-10-11,65.62,general admin,Payment Telephone/Mobile,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-30,3,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-12,6.42,general admin,Stationery Purchase,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-26,236,general admin,Professional Services,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-30,909.35,constituency rental,Const Office Hire of Premises,35487
1191,"Rifkind, Malcolm",Independent,10_11,2010-10-21,3.96,general admin,Postage Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-05-07,0,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-10,78.5,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-31,29.38,general admin,Stationery Purchase,80658
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-03,308.44,general admin,Website - Hosting,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-24,94,general admin,Stationery Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,86.01,general admin,Payment Telephone/Mobile,22964
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-13,235,general admin,Stationery Purchase,22964
1191,"Rifkind, Malcolm",Independent,10_11,2010-08-10,64.1,general admin,Payment Telephone/Mobile,35327
1191,"Rifkind, Malcolm",Independent,10_11,2011-03-31,62.96,office costs,Payment Telephone/Mobile,84608
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-08,0,general admin,Other,35327
1191,"Rifkind, Malcolm",Independent,10_11,2011-02-17,247.3,general admin,Stationery Purchase,80658
1191,"Rifkind, Malcolm",Independent,10_11,2010-12-09,0.6,general admin,Postage Purchase,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-09-10,48.41,general admin,Payment Telephone/Mobile,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-05-12,15,general admin,Removal Costs,35327
1191,"Rifkind, Malcolm",Independent,10_11,2010-11-15,0,general admin,Other,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-10-10,57,general admin,Other,55042
1191,"Rifkind, Malcolm",Independent,10_11,2010-12-14,94,general admin,Stationery Purchase,56586
1191,"Rifkind, Malcolm",Independent,10_11,2010-05-07,15,general admin,Removal Costs,35327
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-27,96,office costs,Stationery Purchase,130942
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-27,5.52,office costs,Postage Purchase,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-31,39.99,office costs,IT/Other Equipment Hire,0000166385
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-16,0.49,office costs,Other,111912
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-03,0.5,office costs,Other,0000134142
1191,"Rifkind, Malcolm",Independent,11_12,2011-04-06,21.82,office costs,Stationery Purchase,111886
1191,"Rifkind, Malcolm",Independent,11_12,2011-05-10,83.65,office costs,Mobile Usage/Rental,110469
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-07,151.2,office costs,Stationery Purchase,0000151051
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-05,36.98,office costs,Other,130942
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-24,0.5,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-19,1,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-04-17,169.32,office costs,Stationery Purchase,111886
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-11,65.89,office costs,Stationery Purchase,125061
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-07,1.55,office costs,Other,0000151051
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-21,54.86,office costs,Mobile Usage/Rental,0000153253
1191,"Rifkind, Malcolm",Independent,11_12,2011-05-06,240,staffing,Professional Services (Staff.),88631
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-17,1.2,office costs,Hospitality,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-04-11,80.78,office costs,Mobile Usage/Rental,111886
1191,"Rifkind, Malcolm",Independent,11_12,2011-07-18,75,office costs,Other,110490
1191,"Rifkind, Malcolm",Independent,11_12,2011-06-10,58.38,office costs,Mobile Usage/Rental,110469
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-18,1,office costs,Other,0000134142
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-31,4.3,office costs,Other,130942
1191,"Rifkind, Malcolm",Independent,11_12,2012-01-27,48.8,office costs,Mobile Usage/Rental,0000147323
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-04,2027.9,staffing,Professional Services (Staff.),110447
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-24,1,office costs,Other,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-10,96,office costs,Payment Telephone/Mobile,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-29,55.22,office costs,Tel/Mobile Purchase,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-03,52.33,office costs,Mobile Usage/Rental,0000149970
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-31,25,staffing,Public Tr UND Int/Volntr,0000123900
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-10,143,office costs,Mobile Usage/Rental,130942
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-17,33.5,office costs,Mobile Usage/Rental,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-07-11,2.48,office costs,Postage Purchase,110508
1191,"Rifkind, Malcolm",Independent,11_12,2011-04-29,51,office costs,Other,111886
1191,"Rifkind, Malcolm",Independent,11_12,2012-01-27,3.45,office costs,Other,0000147323
1191,"Rifkind, Malcolm",Independent,11_12,2011-05-12,492.15,office costs,Other,110508
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-07,1,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2012-01-27,80.79,office costs,Stationery Purchase,0000147323
1191,"Rifkind, Malcolm",Independent,11_12,2011-12-06,1,office costs,Other,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2011-06-08,960,staffing,Professional Services (Staff.),110476
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-26,1,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-04,1.1,office costs,Postage Purchase,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-25,3.1,office costs,Other,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2011-06-19,12,office costs,Other,111912
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-17,64.79,office costs,Mobile Usage/Rental,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-09,83.22,miscellaneous expenses,Contingency,111911
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-03,338.46,office costs,Stationery Purchase,0000149970
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-09,1.1,office costs,Postage Purchase,130942
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-11,20.64,office costs,Other,0000153253
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-07,4.82,office costs,Postage Purchase,0000151051
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-08,1,office costs,Other,130942
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-13,1,office costs,Other,0000134142
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-22,37.48,office costs,Stationery Purchase,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-07,0.5,office costs,Other,0000151051
1191,"Rifkind, Malcolm",Independent,11_12,2011-09-05,0.98,office costs,Other,0000134142
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-31,700,office costs,Const Office Rent,0000165504
1191,"Rifkind, Malcolm",Independent,11_12,2012-01-31,0.5,office costs,Other,0000153253
1191,"Rifkind, Malcolm",Independent,11_12,2011-07-12,9.3,office costs,Other,110508
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-17,10.8,office costs,Mobile Usage/Rental,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-05,18.21,office costs,Other,130942
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-12,43,miscellaneous expenses,Contingency,123871
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-31,14.99,office costs,Other Equip Purchase,0000166385
1191,"Rifkind, Malcolm",Independent,11_12,2011-07-01,5.45,office costs,Postage Purchase,111912
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-04,115,office costs,Stationery Purchase,111912
1191,"Rifkind, Malcolm",Independent,11_12,2012-01-27,15.36,office costs,Stationery Purchase,0000147323
1191,"Rifkind, Malcolm",Independent,11_12,2011-07-11,74.32,office costs,Mobile Usage/Rental,110469
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-23,16.49,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-02,505.51,office costs,Stationery Purchase,130942
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-31,24.99,office costs,IT/Other Equipment Hire,0000166385
1191,"Rifkind, Malcolm",Independent,11_12,2012-01-27,8.8,office costs,Other,0000147323
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-07,1.65,office costs,Postage Purchase,0000151051
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-05,3.1,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-11,23,miscellaneous expenses,Contingency,123871
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-29,622.8,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-18,35,office costs,Other,130942
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-07,1,office costs,Other,0000151051
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-05,7.4,office costs,Other,110508
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-08,0.5,office costs,Other,0000153253
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-19,1.1,office costs,Postage Purchase,130942
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-22,2.07,office costs,Postage Purchase,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2012-03-13,1,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-18,3.44,office costs,Other,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-07-07,96,office costs,Other,110490
1191,"Rifkind, Malcolm",Independent,11_12,2011-11-22,0.5,office costs,Other,0000136925
1191,"Rifkind, Malcolm",Independent,11_12,2011-06-09,71,office costs,Other,110490
1191,"Rifkind, Malcolm",Independent,11_12,2011-09-02,1.96,office costs,Postage Purchase,125061
1191,"Rifkind, Malcolm",Independent,11_12,2011-08-10,64.79,office costs,Mobile Usage/Rental,111912
1191,"Rifkind, Malcolm",Independent,11_12,2012-02-27,0.5,office costs,Other,0000165511
1191,"Rifkind, Malcolm",Independent,11_12,2011-10-31,2100,office costs,Const Office Hire of Premises,132224
1191,"Rifkind, Malcolm",Independent,12_13,2012-08-24,160,staffing,Professional Services (Staff.),0000200824
1191,"Rifkind, Malcolm",Independent,12_13,2013-01-25,11.5,office costs,Other,0000242866
1191,"Rifkind, Malcolm",Independent,12_13,2012-08-20,109.32,office costs,Stationery Purchase,0000200827
1191,"Rifkind, Malcolm",Independent,12_13,2012-10-30,12.47,office costs,Stationery Purchase,0000217547
1191,"Rifkind, Malcolm",Independent,12_13,2012-06-10,2.47,office costs,Other,0000182656
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-15,46.04,office costs,Tel/Mobile Purchase,0000174184
1191,"Rifkind, Malcolm",Independent,12_13,2012-04-30,2.7,office costs,Postage Purchase,0000174184
1191,"Rifkind, Malcolm",Independent,12_13,2012-06-27,6.18,office costs,Stationery Purchase,0000193107
1191,"Rifkind, Malcolm",Independent,12_13,2013-03-25,189.26,office costs,Stationery Purchase,Payment to Supplier
1191,"Rifkind, Malcolm",Independent,12_13,2013-03-20,4,office costs,Other,0000251469
1191,"Rifkind, Malcolm",Independent,12_13,2012-12-13,86.77,office costs,Stationery Purchase,Payment to Supplier
1191,"Rifkind, Malcolm",Independent,12_13,2013-03-26,248.2,office costs,Newspapers/Journals,0000252497
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-24,74.19,office costs,Stationery Purchase,0000182656
1191,"Rifkind, Malcolm",Independent,12_13,2013-01-14,5.49,office costs,Stationery Purchase,0000242866
1191,"Rifkind, Malcolm",Independent,12_13,2012-06-15,178.25,office costs,Tel/Mobile Purchase,0000193107
1191,"Rifkind, Malcolm",Independent,12_13,2012-04-17,138.28,office costs,Tel/Mobile Purchase,0000166385
1191,"Rifkind, Malcolm",Independent,12_13,2012-08-24,96.98,office costs,Software Purchase,0000205031
1191,"Rifkind, Malcolm",Independent,12_13,2012-08-24,32.38,office costs,Other,0000205031
1191,"Rifkind, Malcolm",Independent,12_13,2013-01-11,96,office costs,Stationery Purchase,0000242866
1191,"Rifkind, Malcolm",Independent,12_13,2013-01-29,74.4,office costs,Contact Cards,0000242866
1191,"Rifkind, Malcolm",Independent,12_13,2013-03-25,101.45,office costs,Stationery Purchase,Payment to Supplier
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-05,14.37,office costs,Stationery Purchase,0000174184
1191,"Rifkind, Malcolm",Independent,12_13,2012-11-29,2.4,office costs,Other,0000223778
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-31,80.96,office costs,Stationery Purchase,0000182656
1191,"Rifkind, Malcolm",Independent,12_13,2013-03-25,95.28,office costs,Stationery Purchase,Payment to Supplier
1191,"Rifkind, Malcolm",Independent,12_13,2013-01-11,306.5,office costs,Newspapers/Journals,0000242866
1191,"Rifkind, Malcolm",Independent,12_13,2012-08-01,1.9,office costs,Postage Purchase,0000200827
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-21,0.5,office costs,Other,0000182656
1191,"Rifkind, Malcolm",Independent,12_13,2012-07-01,700,office costs,Professional Services,0000219806
1191,"Rifkind, Malcolm",Independent,12_13,2012-07-02,3,office costs,Other,0000193107
1191,"Rifkind, Malcolm",Independent,12_13,2013-02-24,4.78,office costs,Other,0000251469
1191,"Rifkind, Malcolm",Independent,12_13,2012-11-10,103.92,office costs,Stationery Purchase,0000223778
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-18,59,office costs,Newspapers/Journals,0000182656
1191,"Rifkind, Malcolm",Independent,12_13,2012-11-13,57.02,office costs,Const Office Tel. Usage/Rental,0000223778
1191,"Rifkind, Malcolm",Independent,12_13,2013-03-19,8.91,office costs,Postage Purchase,0000251469
1191,"Rifkind, Malcolm",Independent,12_13,2012-12-13,20.28,office costs,Stationery Purchase,Payment to Supplier
1191,"Rifkind, Malcolm",Independent,12_13,2012-04-17,550,staffing,Professional Services (Staff.),0000166375
1191,"Rifkind, Malcolm",Independent,12_13,2012-12-13,86.77,office costs,Stationery Purchase,Payment to Supplier
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-18,96,office costs,Stationery Purchase,0000182656
1191,"Rifkind, Malcolm",Independent,12_13,2012-06-28,319.09,office costs,Other,0000193107
1191,"Rifkind, Malcolm",Independent,12_13,2012-04-24,75,office costs,Newspapers/Journals,0000174184
1191,"Rifkind, Malcolm",Independent,12_13,2012-06-15,1.28,office costs,Postage Purchase,0000193107
1191,"Rifkind, Malcolm",Independent,12_13,2012-12-19,45.82,office costs,Const Office Tel. Usage/Rental,0000242866
1191,"Rifkind, Malcolm",Independent,12_13,2012-05-04,42.01,office costs,Stationery Purchase,0000174184
