id,list_name,party,session,date,value,category,description,claim_number
307,"Robinson, Geoffrey",Labour,12_13,2012-12-10,89.39,office costs,Stationery Purchase,Payment to Supplier
307,"Robinson, Geoffrey",Labour,12_13,2012-06-23,93.15,travel,Own Vehicle Car,0000190647
307,"Robinson, Geoffrey",Labour,10_11,2010-07-26,5,travel,Public Tr RAIL - SGL,27410
307,"Robinson, Geoffrey",Labour,10_11,2010-09-22,45.6,travel,Public Tr RAIL - SGL,37866
307,"Robinson, Geoffrey",Labour,10_11,2011-01-14,112,travel,Own Car MP Staff,0000134389
307,"Robinson, Geoffrey",Labour,10_11,2010-12-23,96,travel,Own Car MP,62563
307,"Robinson, Geoffrey",Labour,10_11,2011-02-23,27.15,travel,Public Tr RAIL - RTN,74238
307,"Robinson, Geoffrey",Labour,10_11,2010-11-22,40.1,travel,Public Tr RAIL MP Staff - RTN,17314
307,"Robinson, Geoffrey",Labour,10_11,2010-11-22,52.75,travel,Public Tr RAIL - RTN,17314
307,"Robinson, Geoffrey",Labour,10_11,2010-11-22,42.25,travel,Public Tr RAIL - RTN,17314
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,483.6,general admin,Stationery Purchase,69574
307,"Robinson, Geoffrey",Labour,10_11,2010-08-24,293.1,travel,Public Tr AIR,37866
307,"Robinson, Geoffrey",Labour,10_11,2010-11-29,133.18,travel,Own Car MP Staff,52289
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-12-17,64,travel,Public Tr RAIL - SGL,98172
307,"Robinson, Geoffrey",Labour,10_11,2010-07-26,79.7,travel,Public Tr RAIL - RTN,27410
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-07-01,39.5,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2010-11-29,133.18,travel,Own Car MP Staff,52289
307,"Robinson, Geoffrey",Labour,10_11,2010-07-15,24.95,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2010-12-15,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-12-23,96,travel,Own Car MP,62563
307,"Robinson, Geoffrey",Labour,10_11,2010-12-03,112,travel,Own Car MP Staff,0000134389
307,"Robinson, Geoffrey",Labour,10_11,2010-12-23,96,travel,Own Car MP,62563
307,"Robinson, Geoffrey",Labour,10_11,2011-01-03,128,travel,Public Tr RAIL - RTN,62562
307,"Robinson, Geoffrey",Labour,10_11,2010-07-13,41.1,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2010-07-26,79.1,travel,Public Tr RAIL - RTN,27410
307,"Robinson, Geoffrey",Labour,10_11,2010-08-23,216.44,travel,Public Tr RAIL - RTN,27410
307,"Robinson, Geoffrey",Labour,10_11,2010-12-23,96,travel,Own Car MP,62563
307,"Robinson, Geoffrey",Labour,10_11,2010-09-16,10.8,travel,Public Tr RAIL - SGL,37866
307,"Robinson, Geoffrey",Labour,10_11,2010-06-30,70.95,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,409.8,general admin,Stationery Purchase,69574
307,"Robinson, Geoffrey",Labour,10_11,2011-01-31,44,travel,Public Tr RAIL - RTN,74238
307,"Robinson, Geoffrey",Labour,10_11,2010-12-23,96,travel,Own Car MP,62563
307,"Robinson, Geoffrey",Labour,10_11,2010-07-14,91.65,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2011-03-10,22,travel,Public Tr RAIL - SGL,82249
307,"Robinson, Geoffrey",Labour,10_11,2010-12-31,189.93,general admin,Landline Hire,69584
307,"Robinson, Geoffrey",Labour,10_11,2011-03-10,44,travel,Public Tr RAIL - RTN,82249
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,369.99,general admin,Stationery Purchase,69574
307,"Robinson, Geoffrey",Labour,10_11,2010-11-29,133.18,travel,Own Car MP Staff,52289
307,"Robinson, Geoffrey",Labour,10_11,2010-11-29,133.18,travel,Own Car MP Staff,52289
307,"Robinson, Geoffrey",Labour,10_11,2011-01-28,30.85,travel,Public Tr RAIL - SGL,74238
307,"Robinson, Geoffrey",Labour,10_11,2010-10-15,25.6,travel,Public Tr RAIL - SGL,44609
307,"Robinson, Geoffrey",Labour,10_11,2011-01-12,219.5,general admin,Payment Telephone/Mobile,84025
307,"Robinson, Geoffrey",Labour,10_11,2010-07-02,25.6,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,431.66,general admin,Other,85389
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-09-22,64,travel,Public Tr RAIL - SGL,37866
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,1199.57,general admin,Other,85389
307,"Robinson, Geoffrey",Labour,10_11,2010-06-22,39.5,travel,Public Tr RAIL - RTN,11369
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-11-29,133.18,travel,Own Car MP Staff,52289
307,"Robinson, Geoffrey",Labour,10_11,2010-11-22,74.7,travel,Public Tr RAIL - RTN,17314
307,"Robinson, Geoffrey",Labour,10_11,2011-03-03,22,travel,Public Tr RAIL - SGL,82249
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,781.78,general admin,Other,85389
307,"Robinson, Geoffrey",Labour,10_11,2011-03-14,76.7,general admin,Other,85393
307,"Robinson, Geoffrey",Labour,10_11,2011-03-25,716.52,general admin,Stationery Purchase,96552
307,"Robinson, Geoffrey",Labour,10_11,2010-07-29,73,travel,Public Tr RAIL MP Staff - SGL,27410
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,105,general admin,Other,85393
307,"Robinson, Geoffrey",Labour,10_11,2010-07-29,11,travel,Public Tr RAIL MP Staff - SGL,27410
307,"Robinson, Geoffrey",Labour,10_11,2011-03-15,44,travel,Public Tr RAIL - RTN,82249
307,"Robinson, Geoffrey",Labour,10_11,2010-12-23,96,travel,Own Car MP,62563
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,98.64,general admin,Other,85386
307,"Robinson, Geoffrey",Labour,10_11,2011-01-28,40.1,travel,Public Tr RAIL - SGL,74238
307,"Robinson, Geoffrey",Labour,10_11,2010-08-24,0,travel,Public Tr AIR,0000037866
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-09-10,64,travel,Public Tr RAIL - SGL,37866
307,"Robinson, Geoffrey",Labour,10_11,2010-08-17,33.55,travel,Public Tr RAIL - SGL,27410
307,"Robinson, Geoffrey",Labour,10_11,2011-02-17,22,travel,Public Tr RAIL - SGL,74238
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2010-07-16,75.45,travel,Public Tr RAIL - RTN,19624
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
307,"Robinson, Geoffrey",Labour,10_11,2011-02-28,157.5,general admin,Other,85393
307,"Robinson, Geoffrey",Labour,10_11,2010-08-31,25.6,travel,Public Tr RAIL - SGL,37866
307,"Robinson, Geoffrey",Labour,10_11,2010-11-17,82.8,travel,Own Car MP Staff,57079
