id,list_name,party,session,date,value,category,description,claim_number
1447,"Rosindell, Andrew",Conservative,12_13,2013-01-08,200,office costs,Postage Purchase,0000237015
1447,"Rosindell, Andrew",Conservative,12_13,2012-11-30,13.05,travel,Own Vehicle Car,0000236863
1447,"Rosindell, Andrew",Conservative,12_13,2012-11-30,8.5,travel,Public Tr RAIL MP Staff - RTN,0000229633
1447,"Rosindell, Andrew",Conservative,10_11,2010-07-31,40,travel,Taxi MP,31285
1447,"Rosindell, Andrew",Conservative,10_11,2010-07-12,2.4,travel,Own Car MP,27853
1447,"Rosindell, Andrew",Conservative,10_11,2011-01-07,8.74,general admin,Stationery Purchase,69062
1447,"Rosindell, Andrew",Conservative,10_11,2011-01-28,7.42,general admin,Stationery Purchase,69062
1447,"Rosindell, Andrew",Conservative,10_11,2010-09-24,238.63,general admin,Payment Telephone/Mobile,31268
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-12,1938,general admin,Contact Cards,51245
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-26,4.8,travel,Own Car MP,83400
1447,"Rosindell, Andrew",Conservative,10_11,2010-12-03,7.6,travel,Own Car MP,69069
1447,"Rosindell, Andrew",Conservative,10_11,2010-09-02,15.2,travel,Own Car MP,27853
1447,"Rosindell, Andrew",Conservative,10_11,2010-10-19,9.14,general admin,Postage Purchase,31268
1447,"Rosindell, Andrew",Conservative,10_11,2010-10-16,4.8,travel,Own Car MP,40815
1447,"Rosindell, Andrew",Conservative,10_11,2011-03-31,130,general admin,Other,83396
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-12,5.34,general admin,Postage Purchase,51245
1447,"Rosindell, Andrew",Conservative,10_11,2011-03-25,6.88,general admin,Stationery Purchase,83393
1447,"Rosindell, Andrew",Conservative,10_11,2010-11-14,2.4,travel,Own Car MP,51285
1447,"Rosindell, Andrew",Conservative,10_11,2011-03-06,4.8,travel,Own Car MP,83400
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-17,95.53,general admin,Stationery Purchase,83396
1447,"Rosindell, Andrew",Conservative,10_11,2010-05-23,2,travel,Own Car MP,27853
1447,"Rosindell, Andrew",Conservative,10_11,2010-06-23,19.59,constituency rental,Const Office Tel. Usage/Rental,29409
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-12,378.01,general admin,Payment Telephone/Mobile,51245
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-12,141,general admin,Stationery Purchase,51245
1447,"Rosindell, Andrew",Conservative,10_11,2010-07-22,89.64,general admin,Payment Telephone/Mobile,29352
1447,"Rosindell, Andrew",Conservative,10_11,2010-12-11,2.4,travel,Own Car MP,69069
1447,"Rosindell, Andrew",Conservative,10_11,2010-08-14,3.2,travel,Own Car MP,27853
1447,"Rosindell, Andrew",Conservative,10_11,2010-06-27,6.77,general admin,Stationery Purchase,29352
1447,"Rosindell, Andrew",Conservative,10_11,2010-09-12,4,travel,Own Car MP,31278
1447,"Rosindell, Andrew",Conservative,10_11,2011-01-20,13.66,general admin,Other,69062
1447,"Rosindell, Andrew",Conservative,10_11,2010-10-08,15.2,travel,Own Car MP,40815
1447,"Rosindell, Andrew",Conservative,10_11,2011-03-25,42.26,general admin,Other,83393
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-28,118.2,general admin,Stationery Purchase,83396
1447,"Rosindell, Andrew",Conservative,10_11,2011-02-12,64,general admin,Postage Purchase,51245
1447,"Rosindell, Andrew",Conservative,10_11,2010-06-13,46.34,general admin,Stationery Purchase,29352
1447,"Rosindell, Andrew",Conservative,10_11,2010-09-30,360.72,general admin,Stationery Purchase,31268
1447,"Rosindell, Andrew",Conservative,10_11,2011-03-25,8,travel,Public Tr OTHER MP Staff,0000127135
1447,"Rosindell, Andrew",Conservative,10_11,2010-12-05,3.2,travel,Own Car MP,69069
