id,list_name,party,session,date,value,category,description,claim_number
237,"Sanders, Adrian",Liberal Democrat,11_12,2011-07-04,10,travel,Food & Drink @ Parliament,108434
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-05-22,7.2,office costs,Postage Purchase,0000180024
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-12-11,5.8,office costs,Other,0000230919
237,"Sanders, Adrian",Liberal Democrat,12_13,2013-01-10,2.14,office costs,Other,0000240981
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-04-04,2,office costs,Other,0000174157
237,"Sanders, Adrian",Liberal Democrat,12_13,2013-01-23,7.5,office costs,Const Office Tel. Usage/Rental,0000240981
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-04-12,2.2,travel,Parking,0000170099
237,"Sanders, Adrian",Liberal Democrat,12_13,2013-01-17,3.73,travel,Own Vehicle Car,0000240976
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-05-08,10,travel,Congestion Zone/Toll,0000180022
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-12-29,1.8,travel,Own Vehicle Car,0000230922
237,"Sanders, Adrian",Liberal Democrat,12_13,2012-06-01,0.93,accommodation,Telephone Usage/Rental,0000186690
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-06-13,160,general admin,Postage Purchase,4185
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-21,225,travel,Public Tr RAIL - RTN,77690
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,3.32,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,3.2,travel,Own Car MP,36412
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,10,travel,Food & Drink @ Parliament,53442
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-01,20.6,staffing,Public Tr OTHER Int/Volntr,36160
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,3.32,travel,Own Car MP,53444
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,13.28,travel,Own Car MP,9862
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-07,62,accommodation,Council Tax,28141
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,2,travel,Parking MP,58687
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-05,1.4,general admin,Other,74538
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-03,17.2,travel,Taxi MP,27485
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-05,12.68,general admin,Photocopier Hire,27764
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,6.4,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-05,10,travel,Food & Drink @ Parliament,67852
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-26,1.9,travel,Parking MP,71882
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-03,62,accommodation,Council Tax,45300
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-31,47.92,general admin,Payment Telephone/Mobile,20129
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,2,travel,Parking MP,53447
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-05,1.8,travel,Parking MP,27778
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-06-02,36,travel,Own Car MP,1815
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-14,913.25,accommodation,Accommodation Rent,13528
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-13,13.45,travel,Food & Drink @ Parliament,39732
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,9.6,travel,Own Car MP,53444
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,4.09,general admin,Other,36405
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-03,8.8,travel,Own Car MP,67307
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-01,3.2,travel,Own Car MP,44856
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-03,3.32,travel,Own Car MP,67307
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,32.19,general admin,Payment Telephone/Mobile,58689
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-04,87.42,general admin,Stationery Purchase,53407
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-18,4.8,travel,Own Car MP,31551
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,7.2,travel,Own Car MP,36412
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-18,12.8,travel,Own Car MP,31551
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,3.32,travel,Own Car MP,53444
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-17,62.6,travel,Public Tr RAIL - SGL,54856
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,6.4,travel,Own Car MP,36412
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-31,630,general admin,Computer HW Purchase,80764
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,10.4,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-05,97.34,general admin,Payment Telephone/Mobile,67854
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-05,4.7,travel,Public Tr RAIL - SGL,67857
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-07,1.29,general admin,Other,11517
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-20,68.6,travel,Public Tr RAIL - SGL,66943
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,3.2,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,3.6,travel,Parking MP,53447
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-05,2,travel,Parking MP,27778
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-01,44.85,travel,Public Tr RAIL MP Staff - RTN,33527
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-04,222.57,general admin,Other,53407
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-15,215,travel,Public Tr RAIL - RTN,54856
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-25,34.5,staffing,Food & Drink Intern/Volunteer,33530
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-26,0.6,travel,Parking MP,71882
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,13.28,travel,Own Car MP,9862
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-01,9.6,travel,Own Car MP,44856
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-07,62,accommodation,Council Tax,53779
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,3.32,travel,Own Car MP,53444
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-02,3.31,general admin,Stationery Purchase,44927
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,3.32,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,209,travel,Public Tr RAIL - RTN,9858
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,3.2,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-26,75.79,general admin,Payment Telephone/Mobile,71883
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-02,9.58,general admin,Postage Purchase,44927
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,0.8,travel,Own Car MP,36412
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-01,111.3,staffing,Public Tr OTHER Int/Volntr,36160
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-11,215,travel,Public Tr RAIL - RTN,44629
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-17,63.7,travel,Public Tr RAIL MP Staff - RTN,79739
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,7.2,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,32.9,general admin,Other,36405
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-20,247.66,general admin,Stationery Purchase,63536
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,3.32,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,3.2,travel,Own Car MP,53444
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,6.4,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-12,6.6,travel,Food & Drink @ Parliament,12708
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-06,10.41,accommodation,Telephone Usage/Rental,10455
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-03,444,travel,Public Tr RAIL - RTN,82270
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-01,12.8,travel,Own Car MP,44856
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-12,7.4,travel,Food & Drink @ Parliament,12708
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-12,8.33,accommodation,Telephone Usage/Rental,39429
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-08,8.51,accommodation,Telephone Usage/Rental,74917
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-05-11,209,travel,Public Tr RAIL - RTN,717
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,7.06,general admin,Postage Purchase,36405
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,8,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-21,42.5,travel,Public Tr RAIL - SGL,66943
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-06-13,11.32,general admin,Payment Internet,4181
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,10,travel,Food & Drink @ Parliament,58688
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,3.32,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-03,3.32,travel,Own Car MP,67307
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-06-13,9.55,general admin,Photocopier Hire,4181
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-31,9.69,general admin,Stationery Purchase,20129
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,14.4,travel,Public Tr Underground MP,9864
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-04,468.87,constituency rental,Const Office Electricity,36582
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-08,215,travel,Public Tr RAIL - RTN,54856
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,3.2,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-25,1.4,general admin,Postage Purchase,80841
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,2.4,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,11.2,travel,Own Car MP,58685
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-02,8,travel,Own Car MP,36412
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,9.6,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-12-05,15,travel,Food & Drink @ Parliament,53442
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-08-01,8,travel,Own Car MP,20156
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-22,80.74,general admin,Payment Telephone/Mobile,80841
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-25,178.9,staffing,Public Tr RAIL Other Int/Volnt,33532
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,1.2,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-01,215,travel,Public Tr RAIL - RTN,54856
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-21,86,staffing,Own Vehicle Car Intern/Vlntr,71791
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-05,160,general admin,Postage Purchase,27764
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-03,1.01,accommodation,Telephone Usage/Rental,45300
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-30,6,general admin,Other,65231
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-08,1.94,accommodation,Telephone Usage/Rental,68210
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-05,8,general admin,Other,74538
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-10-18,45.35,travel,Public Tr RAIL MP Staff - RTN,44629
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,22,travel,Own Car MP,9862
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,25.9,general admin,Payment Telephone/Mobile,9868
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-12,7.65,travel,Food & Drink @ Parliament,12708
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-21,209,travel,Public Tr RAIL - RTN,79736
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-01,198.2,staffing,Public Tr OTHER Int/Volntr,67547
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-04,8,general admin,Other,9868
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-03,20.14,accommodation,Electricity,45303
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-05,6.79,general admin,Other,74538
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-09-05,55.95,general admin,Computer HW Purchase,27764
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-02,2,travel,Parking MP,58687
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-01,3.2,travel,Own Car MP,44856
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-06-13,116.73,general admin,Stationery Purchase,4181
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-03,6,travel,Own Car MP,67307
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-01-17,10,travel,Public Tr RAIL - RTN,66943
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-06-02,10,travel,Own Car MP,1815
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-07-14,145.5,accommodation,Television Licence,13528
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-05-08,209,travel,Public Tr RAIL - RTN,717
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-02-28,4,travel,Own Car MP,71884
237,"Sanders, Adrian",Liberal Democrat,10_11,2011-03-05,70.5,general admin,Other,74538
237,"Sanders, Adrian",Liberal Democrat,10_11,2010-11-01,4.8,travel,Own Car MP,44856
