id,list_name,party,session,date,value,category,description,claim_number
1552,"Seabeck, Alison",Labour,12_13,2013-03-27,252,travel,Public Tr RAIL - RTN,0000272067
1552,"Seabeck, Alison",Labour,12_13,2013-03-16,8,travel,Taxi,0000257444
1552,"Seabeck, Alison",Labour,10_11,2011-01-20,8.6,travel,Taxi MP,72848
1552,"Seabeck, Alison",Labour,10_11,2010-11-03,70.5,general admin,Shredder Hire,32539
1552,"Seabeck, Alison",Labour,10_11,2011-03-28,562,accommodation,Mortgage Interest,79127
1552,"Seabeck, Alison",Labour,10_11,2011-01-26,26.5,constituency rental,Const Office Hire of Premises,69344
1552,"Seabeck, Alison",Labour,10_11,2010-05-19,594.5,travel,Public Tr Underground MP,5074
1552,"Seabeck, Alison",Labour,10_11,2011-03-24,539.68,accommodation,Gas,79122
1552,"Seabeck, Alison",Labour,10_11,2010-08-26,396.92,constituency rental,Const Office Rent,32570
1552,"Seabeck, Alison",Labour,10_11,2011-01-27,229,travel,Public Tr RAIL - RTN,73983
1552,"Seabeck, Alison",Labour,10_11,2011-01-21,120,accommodation,Approved Security Measures,69342
1552,"Seabeck, Alison",Labour,10_11,2010-07-30,4.52,constituency rental,Const Office Electricity,32565
1552,"Seabeck, Alison",Labour,10_11,2011-01-12,20.61,general admin,Payment Telephone/Mobile,60950
1552,"Seabeck, Alison",Labour,10_11,2010-12-16,19.03,accommodation,Telephone Usage/Rental,57025
1552,"Seabeck, Alison",Labour,10_11,2010-07-01,562,accommodation,Mortgage Interest,10470
1552,"Seabeck, Alison",Labour,10_11,2010-11-21,9.3,travel,Taxi MP,51125
1552,"Seabeck, Alison",Labour,10_11,2010-08-17,72.25,general admin,Install/Maint Office Equip.,32539
1552,"Seabeck, Alison",Labour,10_11,2010-12-07,15,travel,Food & Drink @ Parliament,57688
1552,"Seabeck, Alison",Labour,10_11,2011-03-01,64,accommodation,Buildings Insurance,72850
1552,"Seabeck, Alison",Labour,10_11,2010-05-10,59.19,general admin,Payment Telephone/Mobile,5051
1552,"Seabeck, Alison",Labour,10_11,2010-07-29,229,travel,Public Tr RAIL - RTN,27214
1552,"Seabeck, Alison",Labour,10_11,2010-06-21,3.9,travel,Food & Drink @ Parliament,9185
1552,"Seabeck, Alison",Labour,10_11,2010-06-09,16.35,general admin,Shredder Hire,5051
1552,"Seabeck, Alison",Labour,10_11,2010-11-15,21.04,general admin,Payment Telephone/Mobile,51120
1552,"Seabeck, Alison",Labour,10_11,2010-07-06,130.2,accommodation,Gas,10460
1552,"Seabeck, Alison",Labour,10_11,2010-10-01,396.92,constituency rental,Const Office Rent,42363
1552,"Seabeck, Alison",Labour,10_11,2010-12-17,54.07,general admin,Payment Telephone/Mobile,60952
1552,"Seabeck, Alison",Labour,10_11,2010-10-29,8.8,travel,Taxi MP,51125
1552,"Seabeck, Alison",Labour,10_11,2011-03-01,20.04,accommodation,Telephone Usage/Rental,72851
1552,"Seabeck, Alison",Labour,10_11,2010-10-30,7.9,travel,Taxi MP,51125
1552,"Seabeck, Alison",Labour,10_11,2010-07-23,352.5,general admin,Removal Costs,32534
1552,"Seabeck, Alison",Labour,10_11,2010-07-27,10.26,general admin,Payment Telephone/Mobile,18207
1552,"Seabeck, Alison",Labour,10_11,2010-09-07,9.25,travel,Food & Drink @ Parliament,42598
1552,"Seabeck, Alison",Labour,10_11,2010-06-15,145.5,accommodation,Television Licence,18201
1552,"Seabeck, Alison",Labour,10_11,2010-10-13,6.58,general admin,Stationery Purchase,42595
1552,"Seabeck, Alison",Labour,10_11,2010-09-14,98.5,travel,Public Tr RAIL - SGL,37635
1552,"Seabeck, Alison",Labour,10_11,2010-09-04,106.89,accommodation,Gas,32585
1552,"Seabeck, Alison",Labour,10_11,2011-03-28,21.88,general admin,Payment Telephone/Mobile,79121
1552,"Seabeck, Alison",Labour,10_11,2011-03-29,15,travel,Food & Drink @ Parliament,90167
1552,"Seabeck, Alison",Labour,10_11,2010-10-26,64,accommodation,Home Contents Insurance,42604
1552,"Seabeck, Alison",Labour,10_11,2010-12-23,239,travel,Public Tr RAIL - RTN,62041
1552,"Seabeck, Alison",Labour,10_11,2010-10-01,7.9,travel,Taxi MP,45960
1552,"Seabeck, Alison",Labour,10_11,2011-02-10,174.5,travel,Public Tr RAIL - RTN,73983
1552,"Seabeck, Alison",Labour,10_11,2011-01-02,33.5,general admin,Payment Telephone/Mobile,60955
1552,"Seabeck, Alison",Labour,10_11,2011-02-08,173.5,travel,Public Tr RAIL MP Staff - RTN,73983
1552,"Seabeck, Alison",Labour,10_11,2010-06-29,151.54,general admin,Stationery Purchase,8661
1552,"Seabeck, Alison",Labour,10_11,2011-03-29,229,travel,Public Tr RAIL - RTN,90864
1552,"Seabeck, Alison",Labour,10_11,2010-10-07,8.5,travel,Taxi MP,45960
1552,"Seabeck, Alison",Labour,10_11,2010-07-27,51.84,accommodation,Electricity,18201
1552,"Seabeck, Alison",Labour,10_11,2010-09-14,209,travel,Public Tr RAIL - RTN,37635
1552,"Seabeck, Alison",Labour,10_11,2011-01-04,82.8,travel,Own Car MP,72854
1552,"Seabeck, Alison",Labour,10_11,2010-10-16,10.08,general admin,Payment Telephone/Mobile,45667
1552,"Seabeck, Alison",Labour,10_11,2010-10-20,15,constituency rental,Const Office Hire of Premises,42585
1552,"Seabeck, Alison",Labour,10_11,2010-07-27,64.78,accommodation,Buildings Insurance,18201
1552,"Seabeck, Alison",Labour,10_11,2010-11-27,40.45,general admin,Payment Telephone/Mobile,51122
1552,"Seabeck, Alison",Labour,10_11,2010-05-28,96,travel,Own Car MP,15319
1552,"Seabeck, Alison",Labour,10_11,2010-07-06,70.5,general admin,Shredder Hire,18207
1552,"Seabeck, Alison",Labour,10_11,2010-06-03,209,travel,Public Tr RAIL - RTN,11193
1552,"Seabeck, Alison",Labour,10_11,2011-01-12,199.18,accommodation,Water,60943
1552,"Seabeck, Alison",Labour,10_11,2010-11-17,72.76,general admin,Payment Telephone/Mobile,51122
1552,"Seabeck, Alison",Labour,10_11,2011-02-11,8,travel,Taxi MP,79734
1552,"Seabeck, Alison",Labour,10_11,2010-11-03,15,constituency rental,Const Office Hire of Premises,45666
1552,"Seabeck, Alison",Labour,10_11,2010-10-21,8.5,travel,Taxi MP,51125
1552,"Seabeck, Alison",Labour,10_11,2010-07-12,8.6,travel,Food & Drink @ Parliament,18209
1552,"Seabeck, Alison",Labour,10_11,2010-05-10,62.73,general admin,Payment Telephone/Mobile,5051
1552,"Seabeck, Alison",Labour,10_11,2010-11-26,9.1,travel,Taxi MP,57682
1552,"Seabeck, Alison",Labour,10_11,2011-03-01,396.92,constituency rental,Const Office Rent,72852
1552,"Seabeck, Alison",Labour,10_11,2010-08-23,250.21,accommodation,Approved Security Measures,36438
1552,"Seabeck, Alison",Labour,10_11,2011-02-14,37.15,general admin,Stationery Purchase,72855
1552,"Seabeck, Alison",Labour,10_11,2010-07-06,5.4,travel,Food & Drink @ Parliament,18209
1552,"Seabeck, Alison",Labour,10_11,2011-03-01,562,accommodation,Mortgage Interest,72850
1552,"Seabeck, Alison",Labour,10_11,2010-07-22,25.96,general admin,Removal Costs,32534
1552,"Seabeck, Alison",Labour,10_11,2010-06-15,801.66,constituency rental,Const Office Rent,5070
1552,"Seabeck, Alison",Labour,10_11,2010-10-11,34.26,general admin,Payment Telephone/Mobile,42587
1552,"Seabeck, Alison",Labour,10_11,2010-07-30,7.74,constituency rental,Const Office Gas,32565
1552,"Seabeck, Alison",Labour,10_11,2010-11-30,15,travel,Food & Drink @ Parliament,57688
1552,"Seabeck, Alison",Labour,10_11,2010-06-24,165.5,travel,Public Tr RAIL - RTN,11193
1552,"Seabeck, Alison",Labour,10_11,2011-02-13,11.45,general admin,Payment Telephone/Mobile,69349
1552,"Seabeck, Alison",Labour,10_11,2010-07-30,21,constituency rental,Const Office Hire of Premises,32573
1552,"Seabeck, Alison",Labour,10_11,2011-01-21,8,travel,Taxi MP,72848
1552,"Seabeck, Alison",Labour,10_11,2010-12-20,10.72,general admin,Stationery Purchase,57678
1552,"Seabeck, Alison",Labour,10_11,2010-09-03,35,general admin,Other,32539
1552,"Seabeck, Alison",Labour,10_11,2010-10-14,9.1,travel,Taxi MP,51125
1552,"Seabeck, Alison",Labour,10_11,2010-11-16,15,travel,Food & Drink @ Parliament,51124
1552,"Seabeck, Alison",Labour,10_11,2011-02-13,37.23,general admin,Payment Telephone/Mobile,69348
1552,"Seabeck, Alison",Labour,10_11,2010-12-23,81.5,travel,Public Tr RAIL - SGL,62041
1552,"Seabeck, Alison",Labour,10_11,2010-07-20,5.6,travel,Food & Drink @ Parliament,18211
1552,"Seabeck, Alison",Labour,10_11,2011-01-18,20.04,accommodation,Telephone Usage/Rental,72851
1552,"Seabeck, Alison",Labour,10_11,2010-05-07,359.84,general admin,Install/Maint Office Equip.,5051
1552,"Seabeck, Alison",Labour,10_11,2010-09-22,213,accommodation,Council Tax,32578
1552,"Seabeck, Alison",Labour,10_11,2011-03-30,74.4,general admin,Stationery Purchase,79770
1552,"Seabeck, Alison",Labour,10_11,2010-12-16,562,accommodation,Mortgage Interest,57022
