id,list_name,party,session,date,value,category,description,claim_number
1582,"Shapps, Grant",Conservative,11_12,2011-10-19,15,staffing,Public Tr RAIL Int/Volntr - RT,128022
1582,"Shapps, Grant",Conservative,11_12,2012-02-08,5,staffing,Food & Drink Int/Volntr,0000156752
1582,"Shapps, Grant",Conservative,12_13,2012-09-20,1.5,staffing,Food & Drink Int/Volntr,0000213702
1582,"Shapps, Grant",Conservative,12_13,2012-12-11,34.2,travel,Own Vehicle Car MP Staff,0000236376
1582,"Shapps, Grant",Conservative,12_13,2012-10-13,9.9,travel,Own Vehicle Car,0000228200
1582,"Shapps, Grant",Conservative,12_13,2013-01-09,0.8,staffing,Food & Drink Int/Volntr,0000243738
1582,"Shapps, Grant",Conservative,12_13,2013-02-11,33.22,office costs,Stationery Purchase,Payment to Supplier
1582,"Shapps, Grant",Conservative,12_13,2013-03-12,14.15,staffing,Public Tr RAIL Other Int/Volnt,0000257519
1582,"Shapps, Grant",Conservative,12_13,2012-11-19,12.55,staffing,Public Tr RAIL Other Int/Volnt,0000233464
1582,"Shapps, Grant",Conservative,12_13,2013-01-03,0.15,staffing,Food & Drink Int/Volntr,0000243738
1582,"Shapps, Grant",Conservative,12_13,2012-06-05,72.91,office costs,Const Office Tel. Usage/Rental,0000184554
1582,"Shapps, Grant",Conservative,12_13,2013-03-19,0.8,staffing,Food & Drink Int/Volntr,0000257450
1582,"Shapps, Grant",Conservative,10_11,2010-09-17,3.3,travel,Taxi MP Staff,46892
1582,"Shapps, Grant",Conservative,10_11,2010-12-30,18,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2010-12-31,14.8,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2010-12-21,74.5,general admin,Payment Telephone/Mobile,62445
1582,"Shapps, Grant",Conservative,10_11,2011-03-08,18.4,travel,Own Car MP Staff,90365
1582,"Shapps, Grant",Conservative,10_11,2010-10-22,5.6,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2011-03-14,45.05,office costs,Payment Telephone/Mobile,0000079241
1582,"Shapps, Grant",Conservative,10_11,2010-09-14,299.91,general admin,Payment Internet,46242
1582,"Shapps, Grant",Conservative,10_11,2011-03-08,6.3,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2011-01-04,27.6,staffing,Public Tr RAIL Other Int/Volnt,59362
1582,"Shapps, Grant",Conservative,10_11,2011-01-22,16.8,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-01-06,6.9,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-12-15,6.45,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2011-02-08,18.4,travel,Own Car MP Staff,74772
1582,"Shapps, Grant",Conservative,10_11,2011-01-14,18,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-03-25,16.8,travel,Own Car MP,93142
1582,"Shapps, Grant",Conservative,10_11,2010-09-21,141.99,general admin,Payment Telephone/Mobile,46262
1582,"Shapps, Grant",Conservative,10_11,2010-08-21,177.12,general admin,Payment Telephone/Mobile,31128
1582,"Shapps, Grant",Conservative,10_11,2010-05-29,10.4,travel,Own Car MP,14867
1582,"Shapps, Grant",Conservative,10_11,2010-07-24,15.6,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2010-07-09,16.8,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2011-03-17,3.3,travel,Taxi MP Staff,90346
1582,"Shapps, Grant",Conservative,10_11,2011-01-18,27.6,staffing,Public Tr UND Int/Volntr,71549
1582,"Shapps, Grant",Conservative,10_11,2010-10-29,17.2,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2011-01-28,2.5,staffing,Public Tr RAIL Int/Volntr - SG,71549
1582,"Shapps, Grant",Conservative,10_11,2011-01-17,6.7,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2010-12-10,5.1,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2010-12-14,5.05,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2011-03-03,24.35,general admin,Stationery Purchase,74462
1582,"Shapps, Grant",Conservative,10_11,2011-03-01,5.5,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2010-11-16,14.8,travel,Public Tr RAIL Other MP Staff,57486
1582,"Shapps, Grant",Conservative,10_11,2011-01-27,96.7,general admin,Stationery Purchase,73165
1582,"Shapps, Grant",Conservative,10_11,2010-09-24,18,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2011-01-11,18.4,travel,Own Car MP Staff,74772
1582,"Shapps, Grant",Conservative,10_11,2010-11-21,74.2,general admin,Payment Telephone/Mobile,62445
1582,"Shapps, Grant",Conservative,10_11,2011-01-24,6.85,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-07-16,18,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2011-01-12,6.35,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-05-21,50.11,general admin,Payment Telephone/Mobile,31016
1582,"Shapps, Grant",Conservative,10_11,2010-10-01,15.6,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2010-12-03,14.8,travel,Public Tr RAIL Other MP Staff,57486
1582,"Shapps, Grant",Conservative,10_11,2011-01-04,6.35,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2011-03-15,130,miscellaneous expenses,Contingency,93136
1582,"Shapps, Grant",Conservative,10_11,2010-05-14,15.2,travel,Own Car MP,14867
1582,"Shapps, Grant",Conservative,10_11,2011-03-15,18.4,travel,Own Car MP Staff,90365
1582,"Shapps, Grant",Conservative,10_11,2011-01-07,5.2,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-09-28,89.97,general admin,Payment Internet,50103
1582,"Shapps, Grant",Conservative,10_11,2011-03-12,18,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2010-11-24,4.15,travel,Food & Drink MP Staff,57435
1582,"Shapps, Grant",Conservative,10_11,2010-12-06,5,travel,Food & Drink MP Staff,57435
1582,"Shapps, Grant",Conservative,10_11,2011-01-11,6.5,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-02-02,6.3,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-07-25,7.6,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2011-02-08,27.6,staffing,Public Tr UND Int/Volntr,71549
1582,"Shapps, Grant",Conservative,10_11,2010-08-27,15.2,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2011-02-08,6.2,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-03-09,6.15,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2011-01-20,6.65,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-03-02,130,miscellaneous expenses,Contingency,76096
1582,"Shapps, Grant",Conservative,10_11,2011-03-25,5.15,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2011-03-30,5.05,staffing,Food & Drink Intern/Volunteer,79877
1582,"Shapps, Grant",Conservative,10_11,2010-07-30,15.2,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2011-03-22,27.6,staffing,Public Tr UND Int/Volntr,79255
1582,"Shapps, Grant",Conservative,10_11,2010-12-06,14.8,travel,Public Tr RAIL Other MP Staff,57486
1582,"Shapps, Grant",Conservative,10_11,2011-03-04,16.8,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-02-21,5.55,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-10-24,48.82,general admin,Payment Telephone/Mobile,56182
1582,"Shapps, Grant",Conservative,10_11,2011-03-26,7.2,travel,Own Car MP,93142
1582,"Shapps, Grant",Conservative,10_11,2011-02-11,3.5,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-12-14,70.65,general admin,Payment Internet,58995
1582,"Shapps, Grant",Conservative,10_11,2011-03-29,6.05,staffing,Food & Drink Intern/Volunteer,79877
1582,"Shapps, Grant",Conservative,10_11,2010-12-08,130,miscellaneous expenses,Contingency,62453
1582,"Shapps, Grant",Conservative,10_11,2010-07-10,10.8,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2011-03-10,5.95,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2010-09-24,11.2,travel,Public Tr RAIL MP Staff - RTN,46453
1582,"Shapps, Grant",Conservative,10_11,2011-01-20,15.2,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-02-17,6.55,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-03-18,5.25,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2010-12-09,5.1,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2011-03-03,4.8,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2010-08-19,5000,constituency rental,Const Office Hire of Premises,31114
1582,"Shapps, Grant",Conservative,10_11,2011-01-08,115,general admin,Computer HW Purchase,62447
1582,"Shapps, Grant",Conservative,10_11,2011-03-19,15.2,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2010-09-11,11.2,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2010-11-24,1.15,travel,Food & Drink MP Staff,57435
1582,"Shapps, Grant",Conservative,10_11,2011-01-25,7.7,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-07-22,169.11,general admin,Payment Internet,31106
1582,"Shapps, Grant",Conservative,10_11,2011-02-22,27.6,staffing,Public Tr UND Int/Volntr,79255
1582,"Shapps, Grant",Conservative,10_11,2011-01-11,27.6,staffing,Public Tr UND Int/Volntr,71549
1582,"Shapps, Grant",Conservative,10_11,2010-11-20,45,general admin,Computer HW Purchase,62456
1582,"Shapps, Grant",Conservative,10_11,2010-10-30,6.8,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2010-09-01,4.6,travel,Public Tr RAIL MP Staff - RTN,48373
1582,"Shapps, Grant",Conservative,10_11,2010-06-21,101.51,general admin,Payment Telephone/Mobile,14863
1582,"Shapps, Grant",Conservative,10_11,2010-06-12,10,travel,Own Car MP,14867
1582,"Shapps, Grant",Conservative,10_11,2010-12-07,14.8,travel,Public Tr RAIL Other MP Staff,57486
1582,"Shapps, Grant",Conservative,10_11,2010-12-28,18,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2010-10-02,5.2,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2010-05-28,10.8,travel,Own Car MP,14867
1582,"Shapps, Grant",Conservative,10_11,2010-11-18,14.8,travel,Public Tr RAIL Other MP Staff,57486
1582,"Shapps, Grant",Conservative,10_11,2010-09-28,7,travel,Public Tr RAIL MP Staff - RTN,46433
1582,"Shapps, Grant",Conservative,10_11,2011-02-07,6.65,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-07-21,64.37,general admin,Stationery Purchase,31171
1582,"Shapps, Grant",Conservative,10_11,2010-12-15,14.8,travel,Public Tr RAIL Other MP Staff,57486
1582,"Shapps, Grant",Conservative,10_11,2011-02-10,4.7,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-02-22,5.9,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-02-11,12.4,travel,Public Tr RAIL MP Staff - RTN,71569
1582,"Shapps, Grant",Conservative,10_11,2010-10-15,58.33,general admin,Stationery Purchase,46267
1582,"Shapps, Grant",Conservative,10_11,2011-02-21,104,general admin,Payment Telephone/Mobile,76094
1582,"Shapps, Grant",Conservative,10_11,2010-06-19,14,travel,Own Car MP,14867
1582,"Shapps, Grant",Conservative,10_11,2010-07-21,73.38,general admin,Payment Telephone/Mobile,31128
1582,"Shapps, Grant",Conservative,10_11,2011-03-08,27.6,staffing,Public Tr UND Int/Volntr,79255
1582,"Shapps, Grant",Conservative,10_11,2011-01-25,18.4,travel,Own Car MP Staff,74772
1582,"Shapps, Grant",Conservative,10_11,2010-06-18,16.8,travel,Own Car MP,14867
1582,"Shapps, Grant",Conservative,10_11,2010-11-16,130,miscellaneous expenses,Contingency,52965
1582,"Shapps, Grant",Conservative,10_11,2011-01-19,6.55,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-09-17,15.2,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2011-03-30,130,miscellaneous expenses,Contingency,93136
1582,"Shapps, Grant",Conservative,10_11,2010-07-31,12,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2010-12-05,784.99,general admin,Computer HW Purchase,62455
1582,"Shapps, Grant",Conservative,10_11,2010-09-10,13.2,travel,Own Car MP,46280
1582,"Shapps, Grant",Conservative,10_11,2011-01-27,5.8,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2010-10-18,72.84,general admin,Payment Telephone/Mobile,46234
1582,"Shapps, Grant",Conservative,10_11,2010-11-12,11.2,travel,Public Tr RAIL MP Staff - RTN,48373
1582,"Shapps, Grant",Conservative,10_11,2010-09-28,4.6,travel,Public Tr RAIL MP Staff - RTN,46881
1582,"Shapps, Grant",Conservative,10_11,2011-02-03,6.3,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-01-21,75.76,general admin,Payment Telephone/Mobile,76093
1582,"Shapps, Grant",Conservative,10_11,2011-03-17,5,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2011-03-24,35.16,general admin,Payment Telephone/Mobile,90367
1582,"Shapps, Grant",Conservative,10_11,2010-09-14,122.83,general admin,Computer HW Purchase,46254
1582,"Shapps, Grant",Conservative,10_11,2011-01-26,6.2,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-02-15,27.6,staffing,Public Tr UND Int/Volntr,71549
1582,"Shapps, Grant",Conservative,10_11,2010-12-08,3.8,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2011-01-26,130,miscellaneous expenses,Contingency,76096
1582,"Shapps, Grant",Conservative,10_11,2011-01-04,18.4,travel,Own Car MP Staff,74772
1582,"Shapps, Grant",Conservative,10_11,2011-01-06,16.8,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-03-22,5.55,staffing,Food & Drink Intern/Volunteer,79259
1582,"Shapps, Grant",Conservative,10_11,2010-08-07,6.4,travel,Own Car MP,31078
1582,"Shapps, Grant",Conservative,10_11,2010-12-29,16.8,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-01-31,6.4,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-03-30,18.4,travel,Own Car MP Staff,90365
1582,"Shapps, Grant",Conservative,10_11,2010-12-13,5,staffing,Food & Drink Intern/Volunteer,59366
1582,"Shapps, Grant",Conservative,10_11,2011-01-18,6.5,staffing,Food & Drink Intern/Volunteer,71560
1582,"Shapps, Grant",Conservative,10_11,2011-03-30,33.17,general admin,Stationery Purchase,82747
1582,"Shapps, Grant",Conservative,10_11,2010-12-15,5.75,travel,Food & Drink MP Staff,57435
1582,"Shapps, Grant",Conservative,10_11,2010-12-12,89.93,general admin,Computer HW Purchase,62448
1582,"Shapps, Grant",Conservative,10_11,2010-08-28,52.24,general admin,Computer SW Purchase,31173
1582,"Shapps, Grant",Conservative,10_11,2010-11-02,130,miscellaneous expenses,Contingency,52948
1582,"Shapps, Grant",Conservative,10_11,2011-01-04,18,travel,Own Car MP,77593
1582,"Shapps, Grant",Conservative,10_11,2011-02-02,130,miscellaneous expenses,Contingency,76096
