id,list_name,party,session,date,value,category,description,claim_number
411,"Sheerman, Barry",Labour,11_12,2012-03-15,7,travel,Taxi MP,0000171637
411,"Sheerman, Barry",Labour,11_12,2012-01-23,581,accommodation,Accommodation Rent,0000151317
411,"Sheerman, Barry",Labour,12_13,2012-04-16,6.76,office costs,Postage Purchase,0000174962
411,"Sheerman, Barry",Labour,12_13,2012-07-06,86.77,office costs,Stationery Purchase,0000188671
411,"Sheerman, Barry",Labour,12_13,2012-08-09,604.2,office costs,Legal Expenses Insurance,Payment to Supplier
411,"Sheerman, Barry",Labour,12_13,2013-02-15,21.45,staffing,Food & Drink Int/Volntr,0000250337
411,"Sheerman, Barry",Labour,12_13,2012-10-22,12.8,staffing,Public Tr RAIL Other Int/Volnt,0000229752
411,"Sheerman, Barry",Labour,12_13,2013-01-10,4.85,staffing,Food & Drink Int/Volntr,0000235943
411,"Sheerman, Barry",Labour,12_13,2013-03-11,5.4,staffing,Food & Drink Int/Volntr,0000264095
411,"Sheerman, Barry",Labour,12_13,2012-11-23,20.95,staffing,Food & Drink Int/Volntr,0000229720
411,"Sheerman, Barry",Labour,10_11,2011-01-27,50.8,travel,Public Tr RAIL - SGL,80876
411,"Sheerman, Barry",Labour,10_11,2011-01-16,113,accommodation,Gas,64994
411,"Sheerman, Barry",Labour,10_11,2010-10-12,5,general admin,Other,41521
411,"Sheerman, Barry",Labour,10_11,2011-02-17,102.83,constituency rental,Const Office Tel. Usage/Rental,71498
411,"Sheerman, Barry",Labour,10_11,2011-01-22,83.5,travel,Public Tr RAIL - RTN,80876
411,"Sheerman, Barry",Labour,10_11,2011-01-20,112.85,travel,Public Tr RAIL - SGL,80876
411,"Sheerman, Barry",Labour,10_11,2010-10-02,55.25,travel,Public Tr RAIL MP Staff - RTN,43786
411,"Sheerman, Barry",Labour,10_11,2010-06-14,73.6,travel,Public Tr RAIL MP Staff - SGL,12207
411,"Sheerman, Barry",Labour,10_11,2010-06-10,40.69,general admin,Telephone/Mobile Hire,12265
411,"Sheerman, Barry",Labour,10_11,2010-06-29,6795,constituency rental,Const Office Rent,12184
411,"Sheerman, Barry",Labour,10_11,2011-02-25,45,general admin,Venue Hire,80830
411,"Sheerman, Barry",Labour,10_11,2010-07-26,50,general admin,Venue Hire,26165
411,"Sheerman, Barry",Labour,10_11,2011-02-17,47.57,constituency rental,Const Office Tel. Usage/Rental,71498
411,"Sheerman, Barry",Labour,10_11,2011-01-10,9.42,general admin,Stationery Purchase,71495
411,"Sheerman, Barry",Labour,10_11,2010-11-17,108.64,general admin,Stationery Purchase,53608
411,"Sheerman, Barry",Labour,10_11,2010-11-25,581,accommodation,Accommodation Rent,53598
411,"Sheerman, Barry",Labour,10_11,2010-11-25,36.82,general admin,Advertising,60037
411,"Sheerman, Barry",Labour,10_11,2011-01-12,44.29,general admin,Payment Telephone/Mobile,64995
411,"Sheerman, Barry",Labour,10_11,2010-10-24,125.02,general admin,Stationery Purchase,53608
411,"Sheerman, Barry",Labour,10_11,2010-07-09,45.23,general admin,Telephone/Mobile Hire,12265
411,"Sheerman, Barry",Labour,10_11,2010-11-03,31.77,constituency rental,Const Office Tel. Usage/Rental,53640
411,"Sheerman, Barry",Labour,10_11,2010-10-12,13.76,general admin,Stationery Purchase,46532
411,"Sheerman, Barry",Labour,10_11,2011-01-26,58.75,general admin,Website - Hosting,64995
411,"Sheerman, Barry",Labour,10_11,2010-05-20,581,accommodation,Accommodation Rent,12244
411,"Sheerman, Barry",Labour,10_11,2010-10-20,20,general admin,Other,41521
411,"Sheerman, Barry",Labour,10_11,2010-07-19,140,accommodation,Council Tax,26175
411,"Sheerman, Barry",Labour,10_11,2011-03-29,89.5,travel,Public Tr RAIL MP Staff - RTN,80822
411,"Sheerman, Barry",Labour,10_11,2011-03-17,205.55,accommodation,Accommodation Rent,77118
411,"Sheerman, Barry",Labour,10_11,2010-08-25,125.02,general admin,Stationery Purchase,27910
411,"Sheerman, Barry",Labour,10_11,2010-07-23,4.84,general admin,Hospitality,24834
411,"Sheerman, Barry",Labour,10_11,2010-10-17,113,accommodation,Electricity,41531
411,"Sheerman, Barry",Labour,10_11,2010-10-20,581,accommodation,Accommodation Rent,41531
411,"Sheerman, Barry",Labour,10_11,2010-06-30,60,general admin,Other,12377
411,"Sheerman, Barry",Labour,10_11,2010-07-14,2.35,general admin,Stationery Purchase,24834
411,"Sheerman, Barry",Labour,10_11,2010-07-18,25.76,accommodation,Telephone Usage/Rental,26175
411,"Sheerman, Barry",Labour,10_11,2010-07-29,24.99,general admin,Computer SW Purchase,24834
411,"Sheerman, Barry",Labour,10_11,2011-02-16,105.27,constituency rental,Const Office Tel. Usage/Rental,71498
411,"Sheerman, Barry",Labour,10_11,2010-12-20,581,accommodation,Accommodation Rent,60036
411,"Sheerman, Barry",Labour,10_11,2010-10-24,55.25,travel,Public Tr RAIL MP Staff - SGL,43799
411,"Sheerman, Barry",Labour,10_11,2010-10-20,581,accommodation,Accommodation Rent,41513
411,"Sheerman, Barry",Labour,10_11,2010-07-13,23.03,general admin,Other,24834
411,"Sheerman, Barry",Labour,10_11,2011-03-25,225.7,travel,Public Tr RAIL - RTN,91115
411,"Sheerman, Barry",Labour,10_11,2011-03-25,78.4,travel,Own Car MP,89401
411,"Sheerman, Barry",Labour,10_11,2011-02-02,104.02,accommodation,Telephone Usage/Rental,71494
411,"Sheerman, Barry",Labour,10_11,2010-08-03,127.95,constituency rental,Const Office Tel. Usage/Rental,27919
