id,list_name,party,session,date,value,category,description,claim_number
3997,"Shelbrooke, Alec",Conservative,12_13,2012-12-13,62.4,office costs,Const Office Tel. Usage/Rental,0000231851
3997,"Shelbrooke, Alec",Conservative,12_13,2012-12-11,149.85,office costs,Const Office Rent,Payment to Supplier
3997,"Shelbrooke, Alec",Conservative,12_13,2012-11-24,12.29,travel,Own Vehicle Car MP Staff,0000229699
3997,"Shelbrooke, Alec",Conservative,12_13,2012-12-18,52.07,office costs,Stationery Purchase,Payment to Supplier
3997,"Shelbrooke, Alec",Conservative,12_13,2012-04-01,-274.24,accommodation,Accommodation Rent,0000261124
3997,"Shelbrooke, Alec",Conservative,12_13,2012-06-18,90.45,travel,Own Vehicle Car MP Staff,0000183291
3997,"Shelbrooke, Alec",Conservative,12_13,2012-06-11,62.4,office costs,Const Office Tel. Usage/Rental,0000184794
3997,"Shelbrooke, Alec",Conservative,12_13,2013-03-13,124.5,travel,Public Tr RAIL - RTN,0000255473
3997,"Shelbrooke, Alec",Conservative,12_13,2012-11-01,90.45,travel,Own Vehicle Car,0000220018
3997,"Shelbrooke, Alec",Conservative,12_13,2012-10-17,33.48,office costs,Const Office Tel. Usage/Rental,0000205072
3997,"Shelbrooke, Alec",Conservative,10_11,2010-06-07,148,travel,Public Tr RAIL - RTN,11199
3997,"Shelbrooke, Alec",Conservative,10_11,2010-08-10,302,constituency rental,Const Office Rent,32123
3997,"Shelbrooke, Alec",Conservative,10_11,2011-02-14,163,travel,Public Tr RAIL - RTN,73989
3997,"Shelbrooke, Alec",Conservative,10_11,2011-03-11,21.96,travel,Own Car MP Staff,82856
3997,"Shelbrooke, Alec",Conservative,10_11,2011-01-31,66.84,general admin,Stationery Purchase,67168
3997,"Shelbrooke, Alec",Conservative,10_11,2011-02-08,15,travel,Food & Drink @ Parliament,79642
3997,"Shelbrooke, Alec",Conservative,10_11,2010-09-17,15.77,general admin,Stationery Purchase,31365
3997,"Shelbrooke, Alec",Conservative,10_11,2010-11-01,302,constituency rental,Const Office Rent,52481
3997,"Shelbrooke, Alec",Conservative,10_11,2010-11-05,1.92,travel,Own Car MP Staff,52493
3997,"Shelbrooke, Alec",Conservative,10_11,2010-05-24,142,travel,Public Tr RAIL - RTN,3886
3997,"Shelbrooke, Alec",Conservative,10_11,2010-10-11,61.1,general admin,Telephone/Mobile Hire,43047
3997,"Shelbrooke, Alec",Conservative,10_11,2010-06-10,194.2,travel,Public Tr RAIL - RTN,3885
3997,"Shelbrooke, Alec",Conservative,10_11,2011-01-31,163,travel,Public Tr RAIL - RTN,73989
3997,"Shelbrooke, Alec",Conservative,10_11,2010-11-25,78.4,travel,Own Car MP,52474
3997,"Shelbrooke, Alec",Conservative,10_11,2010-06-29,3877.5,staffing,Pooled Staffing Services,8465
3997,"Shelbrooke, Alec",Conservative,10_11,2010-10-11,12.8,travel,Own Car MP Staff,52487
3997,"Shelbrooke, Alec",Conservative,10_11,2010-07-08,60.33,general admin,Stationery Purchase,11948
