id,list_name,party,session,date,value,category,description,claim_number
1393,"Simmonds, Mark",Conservative,11_12,2011-05-16,2,travel,Parking MP,90340
1393,"Simmonds, Mark",Conservative,11_12,2012-03-13,8.75,travel,Own Car MP,0000158150
1393,"Simmonds, Mark",Conservative,11_12,2012-02-20,33.6,office costs,Telephone/Mobile Hire,0000153085
1393,"Simmonds, Mark",Conservative,11_12,2011-11-03,10,travel,Congestion Zone/Toll MP,128591
1393,"Simmonds, Mark",Conservative,12_13,2012-06-08,31.3,office costs,Stationery Purchase,Payment to Supplier
1393,"Simmonds, Mark",Conservative,12_13,2012-05-24,144.83,office costs,Stationery Purchase,0000179186
1393,"Simmonds, Mark",Conservative,12_13,2012-07-16,47.25,travel,Own Vehicle Car,0000209397
1393,"Simmonds, Mark",Conservative,12_13,2012-10-19,38.75,travel,Public Tr RAIL MP Staff - RTN,0000219326
1393,"Simmonds, Mark",Conservative,12_13,2012-10-19,51.5,travel,Public Tr RAIL MP Staff - RTN,0000219326
1393,"Simmonds, Mark",Conservative,12_13,2012-05-09,275.48,office costs,Const Office Tel. Usage/Rental,0000179186
1393,"Simmonds, Mark",Conservative,12_13,2012-11-08,66,travel,Public Tr RAIL MP Staff - RTN,0000227469
1393,"Simmonds, Mark",Conservative,10_11,2010-06-23,137.49,general admin,Stationery Purchase,7017
1393,"Simmonds, Mark",Conservative,10_11,2010-07-24,48,travel,Own Car MP,20756
1393,"Simmonds, Mark",Conservative,10_11,2011-03-18,93.65,travel,Public Tr RAIL MP Staff - RTN,82128
1393,"Simmonds, Mark",Conservative,10_11,2010-05-30,98.23,general admin,Advertising,5364
1393,"Simmonds, Mark",Conservative,10_11,2011-03-29,10,travel,Congestion Zone/Toll MP,79543
1393,"Simmonds, Mark",Conservative,10_11,2011-01-19,390,accommodation,Interim Hotel London Area,63173
1393,"Simmonds, Mark",Conservative,10_11,2011-03-15,63.95,general admin,Other,76697
1393,"Simmonds, Mark",Conservative,10_11,2010-09-03,15,general admin,Other,27587
1393,"Simmonds, Mark",Conservative,10_11,2010-08-11,66.23,general admin,Stationery Purchase,22604
1393,"Simmonds, Mark",Conservative,10_11,2010-10-19,63,general admin,Other,41012
1393,"Simmonds, Mark",Conservative,10_11,2010-08-24,75,general admin,Other,24838
